日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,81,良,56,113,14,1.5,23,112
2015-01-01,96,良,72,117,24,1.5,24,116
2015-01-02,108,轻度污染,82,122,18,1.6,25,134
2015-01-03,94,良,70,112,21,1.6,29,108
2015-01-04,105,轻度污染,79,111,8,1.7,34,58
2015-01-05,46,优,33,43,9,1.5,20,49
2015-01-06,40,优,28,39,7,1.5,21,24
2015-01-07,67,良,49,71,11,1.7,12,54
2015-01-08,64,良,47,66,14,1.8,13,72
2015-01-09,90,良,67,93,17,1.5,16,64
2015-01-10,53,良,38,49,7,1.2,13,44
2015-01-11,27,优,16,16,4,1.2,10,53
2015-01-12,22,优,12,17,5,1.1,8,44
2015-01-13,50,优,33,50,8,1.2,12,76
2015-01-14,66,良,48,69,10,1.4,16,82
2015-01-15,84,良,63,90,14,1.5,22,92
2015-01-16,85,良,63,89,10,1.5,21,93
2015-01-17,111,轻度污染,84,121,14,1.6,20,85
2015-01-18,113,轻度污染,86,116,8,1.7,17,97
2015-01-19,127,轻度污染,97,125,11,1.6,17,88
2015-01-20,121,轻度污染,92,135,10,1.7,25,98
2015-01-21,148,轻度污染,113,154,13,1.6,20,100
2015-01-22,148,轻度污染,114,165,17,1.9,23,113
2015-01-23,115,轻度污染,87,121,8,1.6,23,77
2015-01-24,57,良,32,63,6,1.2,15,73
2015-01-25,70,良,51,82,8,1.4,20,55
2015-01-26,70,良,51,77,9,1.3,17,43
2015-01-27,58,良,41,59,5,1.2,18,40
2015-01-28,55,良,39,56,5,1.3,14,65
2015-01-29,54,良,34,58,5,1,13,59
2015-01-30,39,优,24,39,3,1.1,10,29
2015-01-31,48,优,32,48,2,0.8,10,22
2015-02-01,44,优,31,39,2,0.8,11,19
2015-02-02,65,良,47,59,3,1,16,35
2015-02-03,98,良,74,84,5,1.4,18,22
2015-02-04,37,优,21,37,4,1.2,10,29
2015-02-05,85,良,63,76,12,1.2,9,53
2015-02-06,121,轻度污染,92,118,23,1.4,14,84
2015-02-07,142,轻度污染,109,92,10,1.5,19,75
2015-02-08,116,轻度污染,88,125,17,1.4,16,97
2015-02-09,115,轻度污染,87,137,16,1.3,24,95
2015-02-10,123,轻度污染,93,139,10,1,24,83
2015-02-11,142,轻度污染,109,124,9,1.1,16,67
2015-02-12,104,轻度污染,78,98,9,1,17,85
2015-02-13,146,轻度污染,112,117,5,1.3,26,73
2015-02-14,69,良,50,68,3,1,17,62
2015-02-15,77,良,56,81,4,0.9,14,58
2015-02-16,61,良,44,60,7,1,10,50
2015-02-17,63,良,45,60,9,0.8,11,60
2015-02-18,84,良,62,78,5,0.8,9,43
2015-02-19,119,轻度污染,90,114,11,0.8,3,66
2015-02-20,62,良,40,73,2,0.7,3,62
2015-02-21,51,良,30,51,2,0.7,6,51
2015-02-22,35,优,24,34,3,0.7,5,32
2015-02-23,37,优,26,36,6,0.7,8,27
2015-02-24,31,优,20,31,5,0.6,7,32
2015-02-25,35,优,20,35,5,0.6,8,42
2015-02-26,47,优,24,47,7,0.7,6,42
2015-02-27,42,优,26,42,8,0.6,6,40
2015-02-28,38,优,20,38,6,0.6,7,37
2015-03-01,43,优,25,43,2,0.8,8,44
2015-03-02,54,良,38,45,3,0.9,12,44
2015-03-03,31,优,22,30,2,1,11,41
2015-03-04,45,优,31,38,2,0.8,10,40
2015-03-05,26,优,18,21,1,1,9,25
2015-03-06,25,优,17,24,1,1,6,24
2015-03-07,28,优,20,26,1,1,8,22
2015-03-08,58,良,36,65,9,1.1,14,27
2015-03-09,51,良,36,48,3,1.1,10,16
2015-03-10,33,优,23,30,1,1.1,9,21
2015-03-11,11,优,7,9,1,1.1,8,21
2015-03-12,29,优,19,29,2,1,11,31
2015-03-13,28,优,20,24,7,1.3,15,23
2015-03-14,52,良,35,54,8,1.5,20,30
2015-03-15,52,良,35,53,9,1.2,16,31
2015-03-16,57,良,33,63,11,1,14,45
2015-03-17,55,良,32,61,9,0.9,13,44
2015-03-18,51,良,27,52,6,0.6,7,45
2015-03-19,66,良,43,81,13,0.8,15,57
2015-03-20,56,良,34,62,9,0.7,11,41
2015-03-21,69,良,50,75,7,1,10,37
2015-03-22,62,良,44,65,11,1,10,50
2015-03-23,58,良,41,65,6,0.9,11,55
2015-03-24,21,优,13,21,3,1,8,34
2015-03-25,38,优,27,38,4,1,7,41
2015-03-26,71,良,51,69,7,1,12,44
2015-03-27,77,良,63,83,8,1.2,16,58
2015-03-28,51,良,30,53,7,0.8,12,56
2015-03-29,44,优,28,44,7,0.7,10,50
2015-03-30,45,优,22,45,13,0.8,13,39
2015-03-31,42,优,20,42,9,0.8,11,32
2015-04-01,34,优,15,34,4,0.7,5,39
2015-04-02,41,优,19,41,4,0.7,5,42
2015-04-03,49,优,25,49,5,0.7,8,42
2015-04-04,47,优,24,47,3,0.7,5,40
2015-04-05,44,优,25,44,5,0.7,6,38
2015-04-06,35,优,21,35,4,0.7,4,36
2015-04-07,47,优,33,43,4,1,8,32
2015-04-08,31,优,20,31,3,1,7,38
2015-04-09,28,优,19,27,2,1,8,35
2015-04-10,22,优,15,22,2,0.9,7,29
2015-04-11,42,优,28,42,4,0.9,8,43
2015-04-12,59,良,38,68,7,0.9,12,76
2015-04-13,70,良,49,90,7,0.9,16,94
2015-04-14,75,良,55,91,14,0.8,13,89
2015-04-15,66,良,48,82,6,0.6,13,73
2015-04-16,58,良,32,67,5,0.5,9,51
2015-04-17,53,良,27,56,4,0.5,9,44
2015-04-18,55,良,30,61,3,0.5,4,41
2015-04-19,54,良,27,57,2,0.5,4,36
2015-04-20,53,良,30,55,4,0.7,7,48
2015-04-21,49,优,28,49,5,0.8,9,55
2015-04-22,63,良,45,62,9,0.8,12,56
2015-04-23,73,良,54,75,6,0.7,12,52
2015-04-24,85,良,63,93,5,0.7,14,46
2015-04-25,65,良,47,74,4,0.5,8,55
2015-04-26,78,良,57,81,6,0.6,10,81
2015-04-27,54,良,36,58,4,0.5,5,66
2015-04-28,44,优,26,44,5,0.4,5,35
2015-04-29,41,优,19,41,4,0.4,5,22
2015-04-30,30,优,15,30,3,0.3,3,23
2015-05-01,29,优,14,29,2,0.3,2,26
2015-05-02,37,优,17,37,3,0.3,3,30
2015-05-03,39,优,20,39,3,0.4,3,37
2015-05-04,34,优,19,34,4,0.4,4,35
2015-05-05,50,优,30,50,5,0.6,7,45
2015-05-06,44,优,25,44,4,0.5,4,40
2015-05-07,50,优,29,51,5,0.5,9,44
2015-05-08,36,优,18,36,3,0.4,3,30
2015-05-09,42,优,28,42,3,0.6,8,35
2015-05-10,43,优,25,43,6,0.6,7,54
2015-05-11,34,优,18,34,3,0.5,6,45
2015-05-12,42,优,21,42,5,0.6,6,43
2015-05-13,51,良,25,52,8,0.6,9,34
2015-05-14,29,优,11,29,8,0.4,5,15
2015-05-15,33,优,13,33,6,0.4,5,31
2015-05-16,23,优,14,23,4,0.6,9,44
2015-05-17,29,优,15,29,4,0.6,10,37
2015-05-18,32,优,16,32,3,0.5,7,51
2015-05-19,40,优,19,40,2,0.4,8,48
2015-05-20,28,优,14,28,3,0.4,7,50
2015-05-21,26,优,13,26,3,0.5,6,50
2015-05-22,34,优,17,34,4,0.5,9,67
2015-05-23,33,优,16,31,3,0.5,7,65
2015-05-24,27,优,15,27,3,0.6,9,46
2015-05-25,51,良,24,52,8,0.7,12,52
2015-05-26,41,优,16,41,3,0.5,8,76
2015-05-27,40,优,14,37,3,0.5,5,80
2015-05-28,40,优,16,40,3,0.5,6,56
2015-05-29,41,优,16,41,4,0.4,6,63
2015-05-30,38,优,16,38,4,0.5,7,63
2015-05-31,33,优,14,32,4,0.5,8,65
2015-06-01,39,优,17,39,6,0.5,7,64
