日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,130,轻度污染,99,159,24,1.8,64,139
2014-01-01,129,轻度污染,98,153,24,1.7,63,142
2014-01-02,114,轻度污染,86,130,10,1.4,54,135
2014-01-03,106,轻度污染,79,122,13,1.5,50,117
2014-01-04,156,中度污染,119,170,24,1.8,55,154
2014-01-05,171,中度污染,129,176,35,1.7,53,156
2014-01-06,138,轻度污染,105,149,16,1.7,29,147
2014-01-07,83,良,61,114,10,1.4,30,105
2014-01-08,87,良,65,110,12,1.7,42,34
2014-01-09,66,良,48,71,13,1.9,34,56
2014-01-10,94,良,70,98,25,1.8,47,88
2014-01-11,84,良,63,93,19,1.6,47,118
2014-01-12,102,轻度污染,77,124,13,1.9,53,88
2014-01-13,67,良,48,75,9,1.8,32,53
2014-01-14,69,良,50,72,11,1.7,27,100
2014-01-15,75,良,55,83,17,1.6,36,116
2014-01-16,86,良,63,99,13,1.8,50,143
2014-01-17,131,轻度污染,100,147,14,1.6,56,159
2014-01-18,89,良,66,116,17,1,40,139
2014-01-19,120,轻度污染,91,129,18,1.2,50,151
2014-01-20,124,轻度污染,94,139,16,1.2,48,166
2014-01-21,140,轻度污染,107,153,26,1.2,36,129
2014-01-22,79,良,48,88,13,0.9,26,135
2014-01-23,83,良,61,111,9,1.1,46,135
2014-01-24,67,良,42,74,6,1.1,33,120
2014-01-25,54,良,38,58,5,0.9,22,87
2014-01-26,76,良,56,72,8,1.1,27,125
2014-01-27,68,良,50,80,5,1,12,121
2014-01-28,57,良,36,65,4,1.1,16,96
2014-01-29,72,良,50,76,3,1.4,24,126
2014-01-30,66,良,46,68,3,1.3,17,119
2014-01-31,117,轻度污染,89,99,8,1.2,11,133
2014-02-01,48,优,32,47,3,1,6,96
2014-02-02,44,优,31,43,2,1,7,83
2014-02-03,48,优,33,47,4,1.2,13,87
2014-02-04,52,良,36,54,3,1.3,13,97
2014-02-05,39,优,15,26,2,1.2,6,77
2014-02-06,34,优,13,19,2,1.1,6,67
2014-02-07,28,优,13,28,2,1.5,10,43
2014-02-08,38,优,27,33,3,1.5,24,33
2014-02-09,18,优,12,18,3,1.6,25,4
2014-02-10,33,优,23,29,3,1.5,16,35
2014-02-11,70,良,51,60,6,1.7,17,39
2014-02-12,59,良,42,51,4,1.5,24,39
2014-02-13,32,优,23,29,2,1.6,21,22
2014-02-14,66,良,48,56,20,1.4,18,80
2014-02-15,79,良,58,73,11,1.1,30,67
2014-02-16,83,良,61,86,8,1.5,49,17
2014-02-17,78,良,57,98,10,1.5,32,59
2014-02-18,54,良,33,57,3,1.6,35,46
2014-02-19,21,优,12,21,2,1.3,21,39
2014-02-20,43,优,27,43,9,1,27,63
2014-02-21,59,良,30,68,13,0.9,22,102
2014-02-22,81,良,60,90,16,0.8,50,88
2014-02-23,70,良,51,77,16,0.9,41,92
2014-02-24,59,良,39,69,9,1.1,29,83
2014-02-25,58,良,36,66,5,1.2,28,58
2014-02-26,52,良,31,54,3,0.9,19,64
2014-02-27,58,良,41,67,8,1,25,79
2014-02-28,47,优,20,47,3,0.9,10,68
2014-03-01,44,优,15,44,2,0.9,10,46
2014-03-02,63,良,38,76,12,1.2,36,35
2014-03-03,73,良,53,76,13,1.6,54,8
2014-03-04,75,良,55,57,9,1.3,50,20
