»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,75,¡º,48,99,187,1.4,54,23
2013-12-03,85,¡º,63,120,213,1.8,55,40
2013-12-04,88,¡º,64,125,231,1.7,50,39
2013-12-05,114,«·∂»Œ€»æ,86,166,234,2.2,62,28
2013-12-06,72,¡º,51,95,191,1.4,46,42
2013-12-07,93,¡º,69,135,260,2.2,60,28
2013-12-08,106,«·∂»Œ€»æ,79,143,208,2,49,32
2013-12-09,49,”≈,12,49,66,0.5,18,48
2013-12-10,60,¡º,26,70,167,0.9,19,38
2013-12-11,54,¡º,11,58,62,0.5,16,49
2013-12-12,57,¡º,32,64,107,1.1,29,47
2013-12-13,65,¡º,46,80,112,1.4,37,43
2013-12-14,65,¡º,44,81,128,1.3,39,41
2013-12-15,68,¡º,44,87,116,1.4,38,41
2013-12-16,146,«·∂»Œ€»æ,112,176,137,2.6,49,29
2013-12-17,224,÷ÿ∂»Œ€»æ,174,213,94,3.5,60,26
2013-12-18,93,¡º,69,90,87,1.9,36,34
2013-12-19,405,—œ÷ÿŒ€»æ,357,99,128,1.5,33,33
2013-12-20,102,«·∂»Œ€»æ,77,115,120,1.5,38,40
2013-12-21,131,«·∂»Œ€»æ,100,164,159,2.4,59,30
2013-12-22,156,÷–∂»Œ€»æ,119,218,182,5.1,64,31
2013-12-23,153,÷–∂»Œ€»æ,117,171,146,2.9,53,39
2013-12-24,129,«·∂»Œ€»æ,99,174,169,3.3,59,30
2013-12-26,72,¡º,52,38,28,0.4,9,49
2013-12-27,221,÷ÿ∂»Œ€»æ,171,50,100,1,19,43
2013-12-28,201,÷ÿ∂»Œ€»æ,151,48,78,0.7,19,42
2013-12-29,132,«·∂»Œ€»æ,101,61,72,0.9,14,40
2013-12-30,69,¡º,31,88,36,0.7,14,52
2013-12-31,74,¡º,33,98,23,0.6,12,58
2014-01-01,60,¡º,37,71,55,1,22,54
2014-01-02,75,¡º,55,96,124,2.1,37,36
2014-01-03,75,¡º,55,85,99,1.2,39,40
2014-01-04,100,¡º,75,109,124,1.6,33,32
2014-01-05,77,¡º,55,104,159,1.4,46,26
2014-01-06,143,«·∂»Œ€»æ,108,237,186,2.3,72,21
2014-01-07,210,÷ÿ∂»Œ€»æ,123,357,259,2.8,68,19
2014-01-08,126,«·∂»Œ€»æ,76,201,93,2.1,33,41
2014-01-09,86,¡º,29,122,142,1.4,36,33
2014-01-10,111,«·∂»Œ€»æ,44,172,214,1.6,42,22
2014-01-11,101,«·∂»Œ€»æ,53,153,213,1.5,46,24
2014-01-12,77,¡º,28,103,98,1.2,36,34
2014-01-13,105,«·∂»Œ€»æ,37,159,189,1.6,44,23
2014-01-14,131,«·∂»Œ€»æ,54,212,183,2.3,47,23
2014-01-15,145,«·∂»Œ€»æ,71,240,257,2.8,56,17
2014-01-16,170,÷–∂»Œ€»æ,129,223,244,2.6,60,25
2014-01-17,120,«·∂»Œ€»æ,80,189,193,2.1,34,36
2014-01-18,91,¡º,39,132,183,1.8,47,25
2014-01-19,166,÷–∂»Œ€»æ,126,246,103,2.3,34,43
2014-01-20,65,¡º,14,80,32,1.4,14,35
2014-01-21,74,¡º,22,98,124,1.4,36,23
2014-01-22,93,¡º,62,136,165,1.9,45,28
2014-01-23,121,«·∂»Œ€»æ,78,191,176,2.5,49,30
2014-01-24,204,÷ÿ∂»Œ€»æ,154,223,175,2.8,54,28
2014-01-25,93,¡º,53,137,107,1.5,43,30
2014-01-26,137,«·∂»Œ€»æ,89,225,186,2.6,64,26
2014-01-27,136,«·∂»Œ€»æ,96,222,156,2,46,34
2014-01-28,117,«·∂»Œ€»æ,67,183,151,1.8,51,23
2014-01-29,131,«·∂»Œ€»æ,77,212,135,1.9,38,36
2014-01-30,108,«·∂»Œ€»æ,80,167,122,1.5,37,31
2014-01-31,206,÷ÿ∂»Œ€»æ,156,273,146,2.6,57,27
2014-02-01,226,÷ÿ∂»Œ€»æ,176,348,222,3,70,25
2014-02-02,226,÷ÿ∂»Œ€»æ,176,342,142,2.6,46,43
2014-02-03,143,«·∂»Œ€»æ,109,164,40,1.4,26,34
2014-02-04,96,¡º,40,143,72,1.2,28,33
2014-02-05,92,¡º,64,134,37,1.7,29,24
2014-02-06,135,«·∂»Œ€»æ,103,160,53,1.6,32,28
2014-02-07,137,«·∂»Œ€»æ,103,223,25,2.3,37,27
2014-02-08,158,÷–∂»Œ€»æ,120,204,90,2.2,34,47
2014-02-09,51,¡º,16,53,63,1,25,45
2014-02-10,80,¡º,42,109,140,1.5,38,27
2014-02-11,108,«·∂»Œ€»æ,78,165,178,2,49,24
2014-02-12,124,«·∂»Œ€»æ,93,197,224,2.7,62,21
2014-02-13,272,÷ÿ∂»Œ€»æ,222,350,204,3,84,20
2014-02-14,221,÷ÿ∂»Œ€»æ,171,284,136,2.5,50,34
2014-02-15,172,÷–∂»Œ€»æ,131,288,176,2.6,59,38
2014-02-16,442,—œ÷ÿŒ€»æ,339,542,196,3.6,81,29
2014-02-17,272,÷ÿ∂»Œ€»æ,222,268,73,2.4,45,37
2014-02-18,151,÷–∂»Œ€»æ,116,186,83,2.1,46,34
2014-02-19,176,÷–∂»Œ€»æ,133,227,102,2.3,54,24
2014-02-20,196,÷–∂»Œ€»æ,147,278,113,2.3,58,24
2014-02-21,272,÷ÿ∂»Œ€»æ,222,371,107,3.3,78,24
2014-02-22,317,—œ÷ÿŒ€»æ,247,434,109,3.9,80,21
2014-02-23,408,—œ÷ÿŒ€»æ,300,508,144,4.5,100,24
2014-02-24,438,—œ÷ÿŒ€»æ,313,538,116,4.7,94,17
2014-02-25,310,—œ÷ÿŒ€»æ,246,428,94,4.3,81,24
2014-02-26,375,—œ÷ÿŒ€»æ,325,325,80,3.2,59,31
2014-02-27,64,¡º,43,77,60,0.8,27,36
2014-02-28,76,¡º,55,101,58,1.4,34,32
2014-03-01,110,«·∂»Œ€»æ,83,136,81,1.7,30,33
2014-03-02,106,«·∂»Œ€»æ,80,150,86,2,29,36
2014-03-03,106,«·∂»Œ€»æ,75,162,98,2,40,38
2014-03-04,85,¡º,63,119,44,1.2,33,41
2014-03-05,97,¡º,72,140,52,1.1,41,34
2014-03-06,85,¡º,53,119,66,1.3,43,36
2014-03-07,120,«·∂»Œ€»æ,66,190,106,1.9,64,28
2014-03-08,110,«·∂»Œ€»æ,83,161,90,1.5,53,38
2014-03-09,127,«·∂»Œ€»æ,68,203,101,1.7,50,41
2014-03-10,203,÷ÿ∂»Œ€»æ,153,321,102,2.4,76,35
2014-03-11,197,÷–∂»Œ€»æ,148,272,83,2.1,58,43
2014-03-12,115,«·∂»Œ€»æ,87,152,34,0.9,35,39
2014-03-13,83,¡º,43,115,57,1,33,41
2014-03-14,84,¡º,26,118,66,1,31,41
2014-03-15,108,«·∂»Œ€»æ,63,165,108,1.5,36,49
2014-03-16,170,÷–∂»Œ€»æ,94,290,136,2.2,65,37
2014-03-17,269,÷ÿ∂»Œ€»æ,132,399,79,1.6,47,42
2014-03-18,185,÷–∂»Œ€»æ,73,320,62,1.3,41,39
2014-03-19,144,«·∂»Œ€»æ,74,239,38,1,33,38
2014-03-20,58,¡º,23,67,44,0.7,27,43
2014-03-21,75,¡º,39,101,79,1.4,36,43
2014-03-22,95,¡º,49,140,110,1.6,42,45
2014-03-23,142,«·∂»Œ€»æ,88,235,81,1.6,58,52
2014-03-24,146,«·∂»Œ€»æ,112,199,82,1.6,50,56
2014-03-25,155,÷–∂»Œ€»æ,105,259,135,2.5,67,50
2014-03-26,191,÷–∂»Œ€»æ,143,260,105,2.7,50,57
2014-03-27,193,÷–∂»Œ€»æ,145,291,96,2.6,66,40
2014-03-28,129,«·∂»Œ€»æ,90,208,25,0.9,30,48
2014-03-29,93,¡º,37,136,47,1,36,51
2014-03-30,106,«·∂»Œ€»æ,59,162,74,1.1,46,53
2014-03-31,60,¡º,42,70,22,0.7,21,50
2014-04-01,91,¡º,68,107,30,1,25,51
