»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,81,¡º,34,112,54,0.9,62,46
2015-01-01,82,¡º,41,114,83,1.1,58,37
2015-01-02,75,¡º,40,100,79,1.1,57,48
2015-01-03,95,¡º,52,139,75,1.7,71,44
2015-01-04,98,¡º,45,147,67,1.5,69,37
2015-01-05,84,¡º,44,118,68,1,55,40
2015-01-06,89,¡º,54,128,45,0.6,58,47
2015-01-07,92,¡º,47,134,51,1.2,69,39
2015-01-08,88,¡º,41,126,53,1.3,63,41
2015-01-09,92,¡º,51,134,36,2,65,45
2015-01-10,102,«·∂»Œ€»æ,52,153,27,1.6,62,50
2015-01-11,75,¡º,40,99,23,1.1,54,50
2015-01-12,90,¡º,44,131,19,1.5,50,41
2015-01-13,95,¡º,41,141,34,1,45,42
2015-01-14,82,¡º,34,113,28,0.9,35,53
2015-01-15,94,¡º,46,139,16,2.1,47,36
2015-01-16,83,¡º,37,116,21,1.4,44,46
2015-01-17,72,¡º,31,94,46,1,47,52
2015-01-18,71,¡º,30,92,44,1,45,44
2015-01-19,76,¡º,39,101,41,1.2,44,44
2015-01-20,64,¡º,29,78,44,0.9,43,38
2015-01-21,77,¡º,41,104,38,1.5,53,42
2015-01-22,79,¡º,40,107,17,1.3,43,29
2015-01-23,77,¡º,45,104,17,1.2,36,40
2015-01-24,80,¡º,41,109,24,1.4,39,45
2015-01-25,88,¡º,55,127,31,1.8,38,48
2015-01-26,88,¡º,32,127,19,0.7,23,43
2015-01-27,79,¡º,35,107,14,0.8,24,42
2015-01-28,59,¡º,23,68,13,0.7,21,48
2015-01-29,60,¡º,19,70,11,0.5,19,54
2015-01-30,66,¡º,28,83,26,0.9,25,50
2015-01-31,52,¡º,27,53,15,0.5,17,53
2015-02-01,56,¡º,29,62,19,0.7,21,53
2015-02-02,62,¡º,30,75,26,0.9,31,41
2015-02-03,56,¡º,25,62,21,0.7,27,37
2015-02-04,51,¡º,15,51,24,0.5,20,51
2015-02-05,39,”≈,14,39,22,0.4,15,53
2015-02-06,46,”≈,12,46,14,0.4,15,54
2015-02-07,39,”≈,16,39,12,0.4,17,54
2015-02-08,43,”≈,14,43,15,0.4,17,50
2015-02-09,47,”≈,15,47,11,0.5,18,47
2015-02-10,47,”≈,18,47,15,0.5,22,56
2015-02-11,47,”≈,17,47,16,0.5,21,45
2015-02-12,52,¡º,26,55,16,0.5,19,65
2015-02-13,63,¡º,41,77,25,0.6,29,58
2015-02-14,99,¡º,47,149,34,1.1,42,58
2015-02-15,77,¡º,45,104,35,0.6,25,58
2015-02-16,84,¡º,48,118,35,0.6,25,53
2015-02-17,100,¡º,49,151,34,0.6,24,55
2015-02-18,91,¡º,46,131,39,0.4,22,56
2015-02-19,136,«·∂»Œ€»æ,67,221,46,0.5,22,57
2015-02-20,137,«·∂»Œ€»æ,64,225,43,0.8,26,56
2015-02-21,112,«·∂»Œ€»æ,48,173,42,0.5,20,56
2015-02-22,115,«·∂»Œ€»æ,55,181,38,0.6,24,46
2015-02-23,126,«·∂»Œ€»æ,63,203,38,0.6,27,60
2015-02-24,108,«·∂»Œ€»æ,59,166,58,0.7,24,57
2015-03-01,160,÷–∂»Œ€»æ,83,269,19,0.4,20,57
2015-03-02,176,÷–∂»Œ€»æ,83,302,22,0.5,23,62
2015-03-03,392,—œ÷ÿŒ€»æ,83,493,25,0.2,18,61
