日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,42,优,15,30,30,2,28,83
2015-01-01,40,优,16,20,34,2.1,22,79
2015-01-02,41,优,13,22,35,2,19,82
2015-01-03,44,优,14,27,43,1.9,17,87
2015-01-04,36,优,11,19,30,2,16,72
2015-01-05,39,优,12,15,25,2.5,17,78
2015-01-06,41,优,18,25,49,2.4,28,81
2015-01-07,33,优,19,29,53,2.1,29,65
2015-01-08,38,优,14,15,23,1.9,21,76
2015-01-09,44,优,14,19,30,2.1,20,88
2015-01-10,41,优,17,33,60,2.4,32,81
2015-01-11,40,优,24,40,84,2.6,38,60
2015-01-12,50,优,25,51,63,2.8,36,67
2015-01-13,66,良,46,82,137,3.2,58,47
2015-01-14,59,良,42,62,71,2.8,44,65
2015-01-15,40,优,14,20,14,2.1,18,79
2015-01-16,47,优,27,47,74,1.8,37,63
2015-01-17,33,优,12,23,12,1.8,16,66
2015-01-18,38,优,15,22,30,2.1,23,76
2015-01-19,51,良,35,51,99,2.3,49,45
2015-01-20,41,优,16,18,23,1,22,82
2015-01-21,42,优,10,16,33,0.7,18,83
2015-01-22,32,优,22,24,61,1,34,61
2015-01-23,36,优,10,13,34,0.8,15,71
2015-01-24,34,优,23,34,79,1.6,28,65
2015-01-25,43,优,18,24,78,1.5,24,85
2015-01-26,42,优,9,9,28,1.3,11,83
2015-01-27,58,良,42,59,160,2.4,50,67
2015-01-28,53,良,37,47,144,2.1,44,63
2015-01-29,37,优,16,14,25,2.1,19,73
2015-01-30,41,优,21,26,45,2.6,29,81
2015-01-31,42,优,12,25,11,2.3,14,84
2015-02-01,47,优,11,33,26,2.5,12,93
2015-02-02,53,良,27,56,84,3.2,30,99
2015-02-03,45,优,15,23,20,2.6,18,90
2015-02-04,44,优,16,25,30,2.5,22,87
2015-02-05,46,优,11,12,15,1.4,14,91
2015-02-06,47,优,14,25,37,0.9,21,94
2015-02-07,45,优,10,17,12,0.5,11,90
2015-02-08,51,良,19,51,32,0.8,18,85
2015-02-09,52,良,17,54,25,0.9,17,89
2015-02-10,52,良,20,54,44,0.8,22,91
2015-02-11,44,优,21,41,43,0.9,21,87
2015-02-12,47,优,12,18,16,0.8,12,94
2015-02-13,46,优,19,29,25,0.6,12,91
2015-02-14,42,优,18,23,29,0.7,15,83
2015-02-15,42,优,14,20,29,0.9,21,83
2015-02-16,46,优,11,15,17,0.7,15,92
2015-02-17,51,良,12,17,37,0.9,17,101
2015-02-18,43,优,25,41,67,1.3,23,85
2015-02-19,44,优,22,32,36,1.2,13,88
2015-02-20,37,优,19,27,33,1.5,30,74
2015-02-21,48,优,11,13,16,1.2,14,95
2015-02-22,45,优,10,14,27,1.2,12,90
2015-02-23,47,优,17,27,30,1.4,14,94
2015-02-24,44,优,18,28,39,1.5,17,88
2015-02-25,46,优,13,18,26,1.4,14,91
2015-02-26,46,优,13,24,36,1.1,13,91
2015-02-27,43,优,17,20,39,1.4,17,85
