日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,53,良,33,55,3,1,23,69
2015-01-01,38,优,26,38,3,0.6,13,38
2015-01-02,34,优,24,34,3,0.6,14,40
2015-01-03,38,优,25,38,4,0.6,17,39
2015-01-04,36,优,22,36,6,0.8,22,37
2015-01-05,33,优,21,33,6,0.7,14,51
2015-01-06,36,优,25,34,5,0.6,10,69
2015-01-07,35,优,20,27,2,0.5,14,69
2015-01-08,35,优,22,22,2,0.5,10,69
2015-01-09,35,优,21,26,2,0.5,10,69
2015-01-10,35,优,22,22,2,0.5,10,70
2015-01-11,28,优,10,22,2,0.4,10,55
2015-01-12,26,优,7,20,2,0.5,8,52
2015-01-13,29,优,21,26,2,0.5,14,54
2015-01-14,34,优,24,25,4,0.6,16,52
2015-01-15,28,优,19,25,5,0.6,16,55
2015-01-16,36,优,25,28,6,0.6,18,63
2015-01-17,32,优,17,20,4,0.5,11,64
2015-01-18,31,优,18,25,4,0.4,14,62
2015-01-19,34,优,22,21,4,0.5,15,68
2015-01-20,30,优,19,25,4,0.4,12,60
2015-01-21,27,优,19,27,4,0.5,10,54
2015-01-22,24,优,15,24,3,0.5,12,46
2015-01-23,27,优,16,27,4,0.6,21,44
2015-01-24,26,优,18,25,5,0.5,14,46
2015-01-25,29,优,20,24,6,0.5,13,44
2015-01-26,28,优,20,26,6,0.6,16,38
2015-01-27,29,优,20,29,6,0.6,15,36
2015-01-28,29,优,18,29,7,0.6,14,41
2015-01-29,31,优,18,31,7,0.5,15,42
2015-01-30,34,优,19,30,7,0.6,13,68
2015-01-31,31,优,18,29,7,0.5,10,62
2015-02-01,33,优,17,22,4,0.3,9,66
2015-02-02,29,优,19,24,3,0.3,10,57
2015-02-03,27,优,16,18,5,0.4,12,53
2015-02-04,24,优,12,21,6,0.4,18,47
2015-02-05,35,优,22,35,5,0.4,16,45
2015-02-06,25,优,17,25,4,0.2,10,43
2015-02-07,40,优,20,40,6,0.4,9,41
2015-02-08,38,优,20,38,7,0.7,10,43
2015-02-09,29,优,19,29,8,0.5,11,42
2015-02-10,25,优,18,23,9,0.3,9,48
2015-02-11,27,优,13,25,7,0.3,10,54
2015-02-12,24,优,13,24,6,0.3,9,45
2015-02-13,28,优,10,20,7,0.3,11,56
2015-02-14,26,优,18,26,12,0.3,9,52
2015-02-15,53,良,18,55,9,0.4,10,48
2015-02-16,51,良,18,52,10,0.3,8,62
2015-02-17,26,优,12,26,8,0.2,8,52
2015-02-18,23,优,13,23,10,0.2,7,45
2015-02-19,41,优,28,41,14,0.3,7,47
2015-02-20,29,优,16,26,10,0.2,6,57
2015-02-21,30,优,13,30,11,0.2,6,53
2015-02-22,32,优,11,30,13,0.2,6,63
2015-02-23,34,优,12,34,11,0.3,8,55
2015-02-24,48,优,19,48,11,0.3,8,46
2015-02-25,30,优,11,30,12,0.3,7,51
2015-02-26,26,优,10,26,13,0.2,7,50
2015-02-27,29,优,11,26,14,0.3,6,58
2015-02-28,38,优,12,18,16,0.2,7,75
2015-03-01,29,优,13,18,19,0.4,6,58
2015-03-02,29,优,10,23,13,0.5,7,57
2015-03-03,27,优,17,26,20,0.5,9,54
2015-03-04,27,优,12,20,20,0.5,8,54
2015-03-05,33,优,11,22,12,0.3,5,65
2015-03-06,39,优,12,23,17,0.3,6,78
2015-03-07,35,优,12,23,2,0.2,5,69
2015-03-08,30,优,12,24,2,0.2,6,60
2015-03-09,29,优,13,25,3,0.2,8,57
2015-03-10,31,优,14,28,9,0.3,6,62
2015-03-11,35,优,13,35,6,0.3,7,55
2015-03-12,30,优,11,24,4,0.3,9,59
2015-03-13,29,优,11,25,5,0.2,6,58
2015-03-14,57,良,20,63,6,0.2,6,55
2015-03-15,33,优,16,33,14,0.2,5,62
2015-03-16,31,优,11,31,10,0.3,7,54
2015-03-17,32,优,15,32,8,0.3,7,57
2015-03-18,31,优,12,24,3,0.5,7,61
2015-03-19,31,优,14,28,3,0.5,8,61
2015-03-20,30,优,16,30,5,0.5,7,59
