»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,54,¡º,36,59,20,1.8,18,73
2015-01-01,46,”≈,33,43,37,1.9,20,78
2015-01-02,66,¡º,47,81,43,2,23,64
2015-01-03,56,¡º,37,61,25,2,23,72
2015-01-04,76,¡º,48,101,12,1.6,11,76
2015-01-05,52,¡º,32,54,8,1.5,9,80
2015-01-06,55,¡º,37,60,28,1.8,18,71
2015-01-07,92,¡º,48,133,25,1.9,18,63
2015-01-08,71,¡º,35,91,31,1.8,17,85
2015-01-09,48,”≈,28,48,19,1.6,14,81
2015-01-10,54,¡º,35,57,23,1.3,18,90
2015-01-11,93,¡º,69,103,47,1.8,31,86
2015-01-12,105,«·∂»Œ€»æ,79,118,52,2,34,83
2015-01-13,112,«·∂»Œ€»æ,85,129,35,1.8,27,83
2015-01-14,60,¡º,42,69,25,1.5,18,70
2015-01-15,45,”≈,26,45,9,1,10,83
2015-01-16,51,¡º,31,52,12,1.2,15,87
2015-01-17,56,¡º,35,61,19,1.2,13,81
2015-01-18,54,¡º,30,58,18,1.1,10,86
2015-01-19,48,”≈,30,48,20,1.1,16,86
2015-01-20,71,¡º,32,91,8,0.4,9,87
2015-01-21,43,”≈,22,38,21,0.5,14,85
2015-01-22,70,¡º,51,84,38,0.9,23,75
2015-01-23,74,¡º,40,98,44,0.9,24,75
2015-01-24,63,¡º,34,76,24,0.7,18,93
2015-01-25,64,¡º,35,77,25,0.7,16,84
2015-01-26,75,¡º,31,101,17,0.3,9,88
2015-01-27,95,¡º,36,140,22,0.6,16,55
2015-01-28,81,¡º,41,113,15,0.5,10,65
2015-01-29,51,¡º,22,51,8,0.3,5,77
2015-01-30,53,¡º,30,55,25,0.6,16,81
2015-01-31,65,¡º,43,80,24,0.8,17,76
2015-02-01,82,¡º,60,98,27,0.8,18,81
2015-02-02,134,«·∂»Œ€»æ,102,132,26,1.1,19,73
2015-02-03,107,«·∂»Œ€»æ,80,101,18,0.9,15,91
2015-02-04,55,¡º,38,59,14,0.5,12,87
2015-02-05,46,”≈,25,46,24,0.6,14,89
2015-02-06,52,¡º,36,53,22,0.6,14,84
2015-02-07,63,¡º,30,76,7,0.4,10,86
2015-02-08,64,¡º,33,77,20,0.7,17,87
2015-02-09,67,¡º,38,84,13,0.7,15,107
2015-02-10,90,¡º,47,130,13,0.8,15,95
2015-02-11,146,«·∂»Œ€»æ,45,242,6,1.1,14,93
2015-02-12,50,”≈,19,49,9,0.6,7,100
2015-02-13,57,¡º,18,50,6,0.6,9,108
2015-02-14,106,«·∂»Œ€»æ,36,161,10,0.7,8,95
2015-02-15,111,«·∂»Œ€»æ,34,173,9,0.7,6,94
2015-02-16,52,¡º,20,53,8,0.7,8,92
2015-02-17,50,”≈,23,50,17,0.8,10,93
2015-02-18,85,¡º,41,119,22,0.7,8,120
2015-02-19,146,«·∂»Œ€»æ,112,238,29,1,13,114
2015-02-20,75,¡º,41,99,8,0.7,6,95
2015-02-21,113,«·∂»Œ€»æ,33,176,5,0.7,3,91
2015-02-22,70,¡º,24,90,16,0.9,8,90
2015-02-23,83,¡º,31,116,21,1.1,9,93
2015-02-24,114,«·∂»Œ€»æ,46,179,7,1.1,8,100
2015-02-25,71,¡º,33,93,5,1,5,95
2015-02-26,62,¡º,23,74,17,0.9,9,87
2015-02-27,100,¡º,43,151,11,0.9,8,80
2015-02-28,52,¡º,20,53,5,0.7,5,85
2015-03-01,52,¡º,18,43,8,0.9,10,102
2015-03-02,167,÷–∂»Œ€»æ,51,284,6,0.6,6,92
2015-03-03,55,¡º,20,60,13,0.6,9,85
2015-03-04,72,¡º,33,93,24,1.2,11,86
2015-03-05,72,¡º,42,95,19,1.4,13,106
2015-03-06,76,¡º,34,101,12,0.7,11,103
2015-03-07,91,¡º,36,132,7,0.5,7,103
2015-03-08,83,¡º,34,115,8,0.5,6,105
2015-03-09,65,¡º,29,81,29,0.7,9,98
2015-03-10,79,¡º,34,109,18,0.8,11,105
2015-03-11,63,¡º,24,75,12,0.7,10,111
2015-03-12,67,¡º,27,80,8,0.5,8,120
2015-03-13,89,¡º,36,128,7,0.4,6,107
2015-03-14,115,«·∂»Œ€»æ,40,180,6,0.4,6,102
2015-03-15,75,¡º,26,99,8,0.5,6,102
2015-03-16,108,«·∂»Œ€»æ,37,167,6,0.5,6,104
2015-03-17,91,¡º,43,132,22,0.7,15,105
2015-03-18,55,¡º,22,60,5,0.6,6,106
2015-03-19,62,¡º,24,73,6,0.6,7,104
2015-03-20,86,¡º,29,122,6,0.7,9,111
2015-03-21,81,¡º,29,111,8,0.6,7,114
2015-03-22,79,¡º,35,109,15,0.7,8,112
2015-03-23,59,¡º,22,67,10,0.6,8,110
2015-03-24,79,¡º,28,99,13,0.6,9,135
2015-03-25,77,¡º,37,101,9,0.7,8,132
2015-03-26,65,¡º,30,65,9,1.9,11,118
2015-03-27,76,¡º,27,63,9,2,14,112
2015-03-28,76,¡º,29,102,7,1.3,9,115
2015-03-29,98,¡º,44,146,7,1.4,8,139
2015-03-30,131,«·∂»Œ€»æ,63,212,23,1.7,13,160
2015-03-31,316,—œ÷ÿŒ€»æ,94,433,13,1.7,12,150
2015-04-01,148,«·∂»Œ€»æ,80,246,5,2.5,11,150
2015-04-02,61,¡º,43,72,5,3.1,11,98
2015-04-03,64,¡º,36,78,3,2.9,10,84
2015-04-04,56,¡º,27,62,3,2.7,8,106
2015-04-05,66,¡º,28,81,6,2.6,8,113
2015-04-06,82,¡º,50,114,14,2.7,12,114
2015-04-07,68,¡º,47,86,14,2.2,13,101
2015-04-08,65,¡º,47,80,5,2.3,15,94
2015-04-09,53,¡º,23,40,3,2.9,8,103
2015-04-10,75,¡º,30,100,4,2.1,5,104
2015-04-11,109,«·∂»Œ€»æ,43,169,4,1.5,5,100
2015-04-12,65,¡º,23,81,4,1.7,5,105
2015-04-13,60,¡º,21,46,11,1.9,8,112
2015-04-14,58,¡º,28,65,8,1.8,11,101
2015-04-15,212,÷ÿ∂»Œ€»æ,78,358,5,1.8,5,103
2015-04-16,116,«·∂»Œ€»æ,40,182,6,1.8,8,111
2015-04-17,124,«·∂»Œ€»æ,55,197,11,1.8,9,123
2015-04-18,81,¡º,37,111,3,1.7,4,120
2015-04-19,58,¡º,29,65,7,1.8,8,99
2015-04-20,53,¡º,24,52,5,1.8,9,104
2015-04-21,55,¡º,23,57,3,1.7,7,106
2015-04-22,67,¡º,23,52,5,1,8,120
2015-04-23,65,¡º,28,65,7,0.4,9,118
2015-04-24,62,¡º,31,62,10,0.4,7,114
2015-04-25,77,¡º,33,67,13,0.4,7,132
2015-04-26,82,¡º,38,96,16,0.6,8,138
2015-04-27,65,¡º,33,80,14,0.4,6,110
2015-04-28,65,¡º,33,80,14,0.4,7,111
2015-04-29,97,¡º,34,79,10,0.6,6,156
2015-04-30,148,«·∂»Œ€»æ,114,201,2,0.6,5,154
2015-05-01,61,¡º,24,68,2,0.6,5,113
2015-05-02,60,¡º,24,52,2,0.6,4,112
2015-05-03,66,¡º,29,81,2,0.6,5,107
2015-05-04,68,¡º,26,85,7,0.7,7,122
2015-05-05,67,¡º,28,84,5,0.7,7,112
2015-05-06,107,«·∂»Œ€»æ,43,163,6,0.7,6,105
2015-05-07,73,¡º,34,96,3,0.7,7,107
2015-05-08,74,¡º,31,98,7,0.8,6,115
2015-05-09,120,«·∂»Œ€»æ,47,190,2,0.8,5,119
2015-05-10,183,÷–∂»Œ€»æ,72,316,2,0.8,4,116
2015-05-11,61,¡º,16,36,2,0.7,6,113
2015-05-12,68,¡º,16,27,2,0.8,7,121
2015-05-13,58,¡º,22,59,3,0.8,5,110
2015-05-14,94,¡º,40,138,3,0.8,5,109
2015-05-15,92,¡º,39,134,4,0.8,4,105
2015-05-16,64,¡º,24,69,4,0.9,7,117
2015-05-17,139,«·∂»Œ€»æ,59,229,5,0.9,6,111
2015-05-18,65,¡º,29,80,3,0.9,6,110
2015-05-19,74,¡º,29,98,9,1,7,112
2015-05-20,76,¡º,31,103,8,0.9,7,108
2015-05-21,67,¡º,35,61,4,1,7,120
2015-05-22,83,¡º,42,63,6,1,9,139
2015-05-23,89,¡º,28,56,5,1,7,147
2015-05-24,88,¡º,28,55,5,1,7,146
2015-05-25,108,«·∂»Œ€»æ,33,74,6,1.1,7,169
2015-05-26,86,¡º,33,53,5,1,8,143
2015-05-27,177,÷–∂»Œ€»æ,134,225,7,0.4,6,123
2015-05-28,77,¡º,50,104,4,0.3,5,101
2015-05-29,55,¡º,37,61,3,0.4,4,99
2015-05-30,67,¡º,32,53,3,0.4,6,120
2015-05-31,73,¡º,40,61,4,0.5,6,128
2015-06-01,108,«·∂»Œ€»æ,63,167,4,0.5,5,115
2015-06-02,71,¡º,44,91,11,0.4,6,117
2015-06-03,64,¡º,42,78,11,0.6,6,111
2015-06-04,100,¡º,45,150,5,0.9,6,103
2015-06-05,73,¡º,41,97,4,0.9,10,121
2015-06-06,91,¡º,48,132,3,1,6,114
2015-06-07,63,¡º,33,76,5,0.7,5,106
2015-06-08,87,¡º,31,63,9,0.6,6,144
2015-06-09,112,«·∂»Œ€»æ,66,174,6,0.6,3,141
2015-06-10,122,«·∂»Œ€»æ,58,193,4,0.4,2,132
2015-06-11,63,¡º,19,39,5,0.5,5,115
2015-06-12,60,¡º,24,70,5,0.5,3,112
2015-06-13,101,«·∂»Œ€»æ,24,66,8,0.5,5,161
2015-06-14,111,«·∂»Œ€»æ,27,55,12,1,6,172
2015-06-15,116,«·∂»Œ€»æ,31,75,11,1.6,6,178
2015-06-16,124,«·∂»Œ€»æ,38,102,13,1.2,10,186
2015-06-17,117,«·∂»Œ€»æ,45,97,6,0.9,7,179
2015-06-18,102,«·∂»Œ€»æ,23,61,9,1,7,162
2015-06-19,82,¡º,32,100,9,1.3,7,138
2015-06-20,84,¡º,33,70,5,0.6,5,141
2015-06-21,100,¡º,30,50,5,0.5,5,160
2015-06-22,119,«·∂»Œ€»æ,34,65,7,0.6,7,181
2015-06-23,107,«·∂»Œ€»æ,38,60,5,0.7,8,168
2015-06-24,103,«·∂»Œ€»æ,43,64,5,0.6,8,163
2015-06-25,98,¡º,52,79,7,0.7,9,157
2015-06-26,119,«·∂»Œ€»æ,38,63,7,1.1,6,181
2015-06-27,119,«·∂»Œ€»æ,40,96,4,1,7,181
2015-06-28,92,¡º,38,71,3,1.2,7,150
2015-06-29,113,«·∂»Œ€»æ,80,175,2,0.9,6,105
2015-06-30,65,¡º,47,77,2,0.8,5,110
2015-07-01,61,¡º,28,37,2,0.8,5,113
2015-07-02,73,¡º,34,49,3,0.8,5,128
2015-07-03,71,¡º,47,64,3,0.9,7,125
2015-07-04,83,¡º,56,80,4,0.9,6,140
2015-07-05,74,¡º,50,62,2,0.8,5,129
2015-07-06,99,¡º,43,47,5,0.9,6,159
2015-07-07,98,¡º,57,89,7,1,8,158
2015-07-08,90,¡º,67,128,5,1,8,146
2015-07-09,80,¡º,36,34,2,0.8,6,136
2015-07-10,111,«·∂»Œ€»æ,41,47,4,0.9,8,172
2015-07-11,115,«·∂»Œ€»æ,64,94,5,1.2,6,177
2015-07-12,113,«·∂»Œ€»æ,82,132,4,1.2,7,174
2015-07-13,79,¡º,56,109,3,0.9,6,130
2015-07-14,79,¡º,48,65,4,0.8,6,135
2015-07-15,68,¡º,34,47,7,0.8,5,122
2015-07-16,71,¡º,36,43,3,0.8,5,125
2015-07-17,72,¡º,35,47,2,0.8,6,126
2015-07-18,77,¡º,28,37,3,0.8,6,132
2015-07-19,80,¡º,31,41,3,0.9,4,136
2015-07-20,101,«·∂»Œ€»æ,52,151,3,0.5,6,151
2015-07-21,86,¡º,41,72,4,0.3,6,143
2015-07-22,74,¡º,38,12,3,1.2,11,128
2015-07-23,79,¡º,34,62,2,0.6,11,134
2015-07-24,86,¡º,22,62,4,0.6,9,143
2015-07-25,89,¡º,25,72,6,0.6,7,146
2015-07-26,95,¡º,26,80,5,0.6,8,153
