日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,38,优,20,29,10,0.4,5,76
2015-01-01,42,优,24,42,8,0.6,7,79
2015-01-02,39,优,27,32,7,0.7,8,75
2015-01-03,36,优,25,27,5,0.7,13,72
2015-01-04,44,优,22,28,8,0.6,4,87
2015-01-05,42,优,25,30,7,0.8,8,84
2015-01-06,42,优,26,35,7,0.6,17,83
2015-01-07,40,优,26,38,9,0.7,7,80
2015-01-08,41,优,26,36,11,0.8,9,82
2015-01-09,39,优,26,24,23,0.8,15,77
2015-01-10,47,优,33,39,22,1,28,69
2015-01-11,59,良,41,68,38,1.2,30,61
2015-01-12,45,优,27,34,19,1.1,14,90
2015-01-13,42,优,24,33,17,1,15,84
2015-01-14,41,优,20,36,22,1,19,82
2015-01-15,43,优,17,31,14,0.9,9,85
2015-01-16,39,优,22,35,19,1,26,77
2015-01-17,37,优,23,30,23,1,24,73
2015-01-18,34,优,17,24,18,1.1,21,68
2015-01-19,35,优,22,34,19,1.1,20,69
2015-01-20,36,优,25,33,18,1.1,27,66
2015-01-21,36,优,25,31,17,1.3,22,70
2015-01-22,39,优,16,30,15,1.2,9,77
2015-01-23,41,优,20,14,13,1.3,12,82
2015-01-24,40,优,18,20,16,1.4,17,79
2015-01-25,38,优,22,28,15,1.5,10,76
2015-01-26,45,优,18,45,21,1.6,20,82
2015-01-27,41,优,19,27,12,1.4,4,82
2015-01-28,40,优,14,16,13,1.6,7,79
2015-01-29,40,优,15,21,13,1.6,7,79
2015-01-30,43,优,18,29,17,1.7,10,86
2015-01-31,41,优,22,37,24,1.9,19,82
2015-02-01,50,优,21,30,20,1.8,18,100
2015-02-02,40,优,19,37,19,1.6,14,79
2015-02-03,42,优,18,29,22,1.4,20,84
2015-02-04,45,优,17,11,21,1.3,10,90
2015-02-05,40,优,23,26,28,1.6,18,80
2015-02-06,35,优,19,26,24,2,23,70
2015-02-07,36,优,24,30,24,2,28,71
2015-02-08,62,良,20,74,15,1.8,9,75
2015-02-09,79,良,16,109,19,1.9,16,80
2015-02-10,38,优,19,35,22,1.8,18,75
2015-02-11,42,优,18,42,18,1.7,16,69
2015-02-12,67,良,20,84,11,1.7,3,72
2015-02-13,39,优,21,39,13,1.5,4,74
2015-02-14,37,优,24,34,15,1.6,3,73
2015-02-15,38,优,20,36,11,1.5,3,76
2015-02-16,43,优,24,43,14,1.6,6,77
2015-02-17,78,良,30,105,14,1.6,6,83
2015-02-18,56,良,22,63,14,1.8,9,81
2015-02-19,43,优,20,40,14,2.1,6,86
2015-02-20,43,优,18,28,11,2.2,9,86
2015-02-21,40,优,16,38,11,2.3,6,80
2015-02-22,40,优,16,33,14,2.4,7,80
2015-02-23,41,优,21,41,16,2.5,7,82
2015-02-24,51,良,16,32,14,2.4,12,101
2015-02-25,51,良,13,28,12,2.4,6,101
2015-02-26,55,良,17,24,13,2.4,3,106
2015-02-27,50,优,15,19,13,2.4,6,100
2015-02-28,44,优,16,28,15,2.5,12,87
2015-03-01,41,优,16,41,14,2.6,14,79
2015-03-02,48,优,15,33,18,2.7,9,96
2015-03-03,49,优,15,41,17,2.6,7,97
2015-03-04,46,优,10,32,18,2.6,11,91
2015-03-05,47,优,14,27,19,2.6,12,94
2015-03-06,54,良,15,24,17,2.7,12,105
2015-03-07,53,良,11,23,17,2.7,14,104
2015-03-08,44,优,9,18,14,2.6,5,88
2015-03-09,68,良,12,23,19,2.7,7,121
2015-03-10,84,良,17,28,20,2.8,12,141
2015-03-11,75,良,16,30,19,2.8,14,130
2015-03-12,40,优,11,27,15,2.8,6,80
2015-03-13,41,优,12,31,17,2.8,8,82
2015-03-14,44,优,14,28,16,2.8,9,87
2015-03-15,43,优,13,26,17,2.9,7,86
2015-03-16,53,良,13,29,17,2.9,10,103
2015-03-17,51,良,12,30,16,2.9,10,101
2015-03-18,49,优,9,25,16,3,10,97
2015-03-19,48,优,12,26,16,3,8,95
2015-03-20,46,优,15,33,18,3,11,92
2015-03-21,50,优,9,41,16,3,9,100
2015-03-22,51,良,14,47,21,3.1,12,101
2015-03-23,43,优,14,43,23,3.1,13,86
2015-03-24,55,良,14,59,17,3.1,9,87
2015-03-25,58,良,17,66,15,3.1,9,84
2015-03-26,51,良,13,52,16,2.8,6,78
2015-03-27,41,优,12,30,15,2.2,5,82
2015-03-28,43,优,15,23,19,2.3,9,85
2015-03-29,43,优,17,27,13,2.3,7,86
2015-03-30,43,优,13,27,14,2.3,5,85
2015-03-31,48,优,16,26,14,2.4,4,96
2015-04-01,47,优,23,39,14,2.4,5,93
2015-04-02,59,良,18,22,11,2.4,3,111
2015-04-03,76,良,21,57,12,2.5,6,131
2015-04-04,79,良,16,29,13,2.5,7,135
2015-04-05,62,良,15,23,15,2.5,8,114
2015-04-06,63,良,13,13,15,2.5,10,115
2015-04-07,63,良,13,23,12,2.5,4,115
2015-04-08,67,良,17,27,14,2.5,5,120
2015-04-09,66,良,18,23,15,2.6,5,119
2015-04-10,60,良,15,22,15,2.6,7,112
2015-04-11,63,良,17,26,16,2.6,10,116
2015-04-12,63,良,13,20,13,2.6,6,116
2015-04-13,74,良,17,31,15,2.6,8,129
2015-04-14,75,良,22,32,16,2.7,13,130
2015-04-15,68,良,23,22,14,2.8,9,122
2015-04-16,68,良,21,25,12,2.7,6,121
2015-04-17,62,良,23,34,12,2.7,6,114
2015-04-18,64,良,29,35,11,2.8,6,117
2015-04-19,44,优,20,29,13,2.7,6,88
2015-04-20,47,优,23,40,11,2.7,3,94
2015-04-21,56,良,27,39,12,2.8,6,107
2015-04-22,70,良,22,32,13,2.8,9,124
2015-04-23,71,良,31,39,13,2.9,9,125
2015-04-24,56,良,27,39,13,2.8,8,107
2015-04-25,58,良,26,49,14,2.9,9,110
2015-04-26,66,良,19,30,12,2.8,6,119
2015-04-27,65,良,47,45,10,2.8,6,114
2015-04-28,77,良,22,32,10,2.9,4,132
2015-04-29,77,良,18,15,8,3.2,6,132
2015-04-30,55,良,39,35,11,2.9,5,100
2015-05-01,57,良,31,37,10,2.9,3,108
2015-05-02,63,良,20,19,8,2.9,3,115
2015-05-03,68,良,16,15,8,3,4,121
2015-05-04,67,良,13,12,7,2.9,3,120
2015-05-05,35,优,23,35,10,2.3,7,66
2015-05-06,39,优,24,39,11,2.3,8,60
2015-05-07,32,优,18,32,13,2.3,12,63
2015-05-08,33,优,20,29,10,2.3,6,65
2015-05-09,38,优,17,27,9,2.3,4,76
2015-05-10,36,优,21,34,10,2.3,5,71
2015-05-11,39,优,17,33,10,2.3,6,77
2015-05-12,39,优,15,31,10,2.3,5,78
2015-05-13,43,优,10,19,9,2.3,5,86
2015-05-14,42,优,9,26,8,2.3,4,83
2015-05-15,41,优,13,27,10,2.4,7,82
2015-05-16,41,优,11,24,12,2.4,6,82
2015-05-17,42,优,15,31,13,2.4,12,83
2015-05-18,46,优,16,46,11,1.5,6,81
2015-05-19,45,优,13,27,9,0.1,4,89
2015-05-20,51,良,15,27,9,0.1,4,101
2015-05-21,49,优,12,20,10,0.1,5,98
2015-05-22,48,优,11,11,9,0.1,5,96
2015-05-23,47,优,11,17,9,0.1,4,93
