»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,115,«·∂»Œ€»æ,77,180,37,2.5,33,64
2015-01-01,99,¡º,74,143,20,2.5,39,60
2015-01-02,128,«·∂»Œ€»æ,97,168,65,2.9,53,29
2015-01-03,155,÷–∂»Œ€»æ,118,200,43,3.1,53,46
2015-01-04,193,÷–∂»Œ€»æ,145,221,69,3.5,66,67
2015-01-05,252,÷ÿ∂»Œ€»æ,202,302,37,3.5,60,41
2015-01-06,208,÷ÿ∂»Œ€»æ,158,245,54,3.8,48,31
2015-01-07,142,«·∂»Œ€»æ,109,169,20,3.4,34,67
2015-01-08,154,÷–∂»Œ€»æ,117,184,20,3.5,44,69
2015-01-09,187,÷–∂»Œ€»æ,141,213,23,3.6,49,44
2015-01-10,192,÷–∂»Œ€»æ,144,217,35,3.6,42,73
2015-01-11,216,÷ÿ∂»Œ€»æ,166,246,26,3.4,51,74
2015-01-12,240,÷ÿ∂»Œ€»æ,190,269,27,3.9,44,50
2015-01-13,108,«·∂»Œ€»æ,82,130,17,3.2,31,55
2015-01-14,174,÷–∂»Œ€»æ,132,192,13,3.5,41,41
2015-01-15,182,÷–∂»Œ€»æ,138,200,13,3.7,43,34
2015-01-16,171,÷–∂»Œ€»æ,130,188,17,3.5,33,79
2015-01-17,143,«·∂»Œ€»æ,109,181,31,3.7,41,71
2015-01-18,118,«·∂»Œ€»æ,89,150,21,3.4,33,81
2015-01-19,160,÷–∂»Œ€»æ,122,195,40,3.8,33,87
2015-01-20,183,÷–∂»Œ€»æ,138,216,87,4.1,52,64
2015-01-21,121,«·∂»Œ€»æ,92,173,24,3.6,35,72
2015-01-22,112,«·∂»Œ€»æ,85,149,43,3.8,35,66
2015-01-23,156,÷–∂»Œ€»æ,119,190,46,4,51,47
2015-01-24,228,÷ÿ∂»Œ€»æ,178,265,45,3.8,73,26
2015-01-25,222,÷ÿ∂»Œ€»æ,172,212,38,3.6,45,78
2015-01-26,293,÷ÿ∂»Œ€»æ,243,307,37,4.2,46,64
2015-01-27,173,÷–∂»Œ€»æ,131,190,26,3.3,29,56
2015-01-28,68,¡º,50,71,16,2.3,19,46
2015-01-29,107,«·∂»Œ€»æ,81,105,23,2.8,22,54
2015-01-30,160,÷–∂»Œ€»æ,122,159,23,3.1,29,76
2015-01-31,180,÷–∂»Œ€»æ,136,177,36,3.3,28,83
2015-02-01,144,«·∂»Œ€»æ,110,154,29,3.2,38,42
2015-02-02,200,÷–∂»Œ€»æ,150,233,17,3.7,43,19
2015-02-03,201,÷ÿ∂»Œ€»æ,151,201,20,3.4,28,66
2015-02-04,188,÷–∂»Œ€»æ,142,200,33,2.9,36,84
2015-02-05,121,«·∂»Œ€»æ,91,147,30,1.7,33,69
2015-02-06,127,«·∂»Œ€»æ,97,152,30,1.6,26,78
2015-02-07,149,«·∂»Œ€»æ,114,172,36,1.6,35,88
2015-02-08,91,¡º,68,125,24,1.6,19,71
2015-02-09,85,¡º,63,110,18,1.4,28,77
2015-02-10,158,÷–∂»Œ€»æ,120,192,25,2,48,70
2015-02-11,168,÷–∂»Œ€»æ,128,212,18,1.9,35,82
2015-02-12,193,÷–∂»Œ€»æ,145,229,25,2.1,42,91
2015-02-13,203,÷ÿ∂»Œ€»æ,153,269,21,2.2,39,108
2015-02-14,199,÷–∂»Œ€»æ,149,231,21,2.4,41,79
2015-02-15,166,÷–∂»Œ€»æ,126,186,20,2.1,23,82
2015-02-16,195,÷–∂»Œ€»æ,146,227,20,2.4,32,79
2015-02-17,162,÷–∂»Œ€»æ,123,219,21,2,18,96
2015-02-18,169,÷–∂»Œ€»æ,129,221,32,2,15,87
2015-02-19,122,«·∂»Œ€»æ,93,149,20,1.5,9,74
2015-02-20,77,¡º,57,74,7,1.7,8,62
2015-02-21,101,«·∂»Œ€»æ,76,105,9,2,12,58
2015-02-22,173,÷–∂»Œ€»æ,131,185,10,2.5,14,34
2015-02-23,164,÷–∂»Œ€»æ,125,199,11,2.6,12,51
2015-02-24,99,¡º,74,128,10,2.4,13,53
2015-02-25,110,«·∂»Œ€»æ,83,141,13,2.4,23,38
2015-02-26,133,«·∂»Œ€»æ,101,154,15,2.2,13,56
2015-02-27,82,¡º,61,101,9,1.9,9,67
2015-02-28,73,¡º,53,78,9,1.8,9,68
2015-03-01,77,¡º,57,92,14,2,13,77
2015-03-02,82,¡º,60,98,17,2,15,76
2015-03-03,112,«·∂»Œ€»æ,64,173,15,1.9,12,79
2015-03-04,72,¡º,37,93,15,1.8,13,64
2015-03-05,67,¡º,40,83,15,1.9,13,64
2015-03-06,82,¡º,60,115,13,2,17,96
2015-03-07,110,«·∂»Œ€»æ,83,130,18,2.1,21,90
2015-03-08,133,«·∂»Œ€»æ,101,156,18,2.4,29,106
2015-03-09,165,÷–∂»Œ€»æ,125,196,18,2.5,27,92
2015-03-10,112,«·∂»Œ€»æ,84,150,21,2.2,17,84
2015-03-11,95,¡º,71,131,17,2.2,19,91
2015-03-12,126,«·∂»Œ€»æ,96,148,19,2.3,14,92
2015-03-13,101,«·∂»Œ€»æ,76,123,19,2.5,29,78
2015-03-14,208,÷ÿ∂»Œ€»æ,158,251,26,2.9,33,86
2015-03-15,224,÷ÿ∂»Œ€»æ,174,275,15,3.2,47,63
2015-03-16,151,÷–∂»Œ€»æ,116,196,14,2.5,28,49
2015-03-17,84,¡º,62,99,16,2.1,26,35
2015-03-18,55,¡º,39,60,7,1.8,17,68
2015-03-19,77,¡º,53,105,8,1.7,17,62
2015-03-20,59,¡º,41,68,8,1.6,16,93
2015-03-21,73,¡º,53,92,15,1.8,22,100
2015-03-22,98,¡º,74,123,31,1.9,24,108
2015-03-23,90,¡º,63,130,20,1.7,22,97
2015-03-24,91,¡º,55,131,20,1.8,26,109
2015-03-25,79,¡º,47,109,21,1.8,30,119
2015-03-26,71,¡º,47,92,14,1.9,26,99
2015-03-27,83,¡º,64,111,16,2.1,27,116
2015-03-28,92,¡º,69,116,33,2,25,116
2015-03-29,98,¡º,73,118,25,2.2,24,83
2015-03-30,81,¡º,60,99,19,2.3,24,74
2015-03-31,73,¡º,54,94,17,2.2,23,77
2015-04-01,64,¡º,41,77,6,1.7,22,55
2015-04-02,44,”≈,22,44,5,1.6,20,81
2015-04-03,63,¡º,44,76,10,1.6,19,94
2015-04-04,107,«·∂»Œ€»æ,80,115,8,1.8,14,87
2015-04-05,123,«·∂»Œ€»æ,93,124,9,1.8,14,87
2015-04-06,128,«·∂»Œ€»æ,97,141,15,1.8,19,91
2015-04-07,88,¡º,65,117,12,1.4,19,56
2015-04-08,69,¡º,50,88,12,1.4,17,86
2015-04-09,79,¡º,58,97,19,1.5,26,100
2015-04-10,76,¡º,56,97,20,1.2,26,117
2015-04-11,79,¡º,58,103,35,1.2,29,115
2015-04-12,67,¡º,25,84,4,0.8,12,109
2015-04-13,68,¡º,31,87,12,1,27,107
2015-04-14,78,¡º,48,105,20,1.3,21,121
2015-04-15,88,¡º,66,121,31,1.7,31,111
2015-04-16,112,«·∂»Œ€»æ,63,173,11,1.4,15,95
2015-04-17,125,«·∂»Œ€»æ,65,200,21,1.7,35,77
2015-04-18,107,«·∂»Œ€»æ,79,164,13,1.8,30,22
2015-04-19,61,¡º,44,71,3,1.5,15,90
2015-04-20,58,¡º,32,61,3,1.1,15,109
2015-04-21,68,¡º,39,85,4,1.3,30,120
2015-04-22,71,¡º,45,93,6,1.3,30,122
2015-04-23,74,¡º,51,99,14,1.1,25,119
2015-04-24,78,¡º,58,105,10,1,23,113
2015-04-25,80,¡º,58,110,6,1.1,30,132
2015-04-26,89,¡º,66,127,12,1.1,20,142
2015-04-27,95,¡º,71,122,17,1.2,18,128
2015-04-28,104,«·∂»Œ€»æ,79,143,13,1.3,12,96
2015-04-29,106,«·∂»Œ€»æ,80,138,15,1.4,13,126
2015-04-30,83,¡º,62,106,20,1.1,22,136
2015-05-01,82,¡º,61,103,29,1.3,18,107
2015-05-02,48,”≈,19,36,5,1,9,95
2015-05-03,58,¡º,37,61,9,1.2,19,110
2015-05-04,88,¡º,65,99,12,1.3,23,83
2015-05-05,72,¡º,53,77,11,1.3,17,93
2015-05-06,83,¡º,62,89,19,1.3,13,99
2015-05-07,104,«·∂»Œ€»æ,78,117,20,1.4,14,121
2015-05-08,56,¡º,35,63,4,1.2,11,88
2015-05-09,62,¡º,44,74,11,1.2,17,106
2015-05-10,80,¡º,59,91,13,1.5,15,126
2015-05-11,65,¡º,28,79,10,0.8,9,111
2015-05-12,74,¡º,33,98,14,0.9,14,92
2015-05-13,83,¡º,54,117,26,1.2,14,99
2015-05-14,101,«·∂»Œ€»æ,76,122,17,1.4,11,82
2015-05-15,104,«·∂»Œ€»æ,50,107,16,1.2,13,164
2015-05-16,85,¡º,60,121,7,1.2,12,126
2015-05-17,84,¡º,62,111,13,1.3,16,94
2015-05-18,74,¡º,54,89,10,1.4,13,114
2015-05-19,119,«·∂»Œ€»æ,90,127,40,1.7,20,154
2015-05-20,105,«·∂»Œ€»æ,79,139,15,1.4,19,126
2015-05-21,90,¡º,49,97,9,1,18,148
2015-05-22,94,¡º,70,112,9,1.2,20,116
2015-05-23,88,¡º,65,95,7,1.2,19,99
2015-05-24,149,«·∂»Œ€»æ,114,141,16,1.5,25,153
2015-05-25,178,÷–∂»Œ€»æ,135,180,35,1.6,24,103
2015-05-26,137,«·∂»Œ€»æ,105,129,15,1.7,14,89
2015-05-27,103,«·∂»Œ€»æ,77,100,11,1.7,8,84
2015-05-28,100,¡º,75,95,6,1.4,9,83
2015-05-29,74,¡º,54,73,4,0.8,8,76
2015-05-30,82,¡º,61,82,8,0.8,11,120
2015-05-31,117,«·∂»Œ€»æ,89,116,34,1.1,15,109
2015-06-01,134,«·∂»Œ€»æ,102,141,35,1.3,18,92
2015-06-02,65,¡º,47,66,3,1.2,12,72
2015-06-03,70,¡º,51,64,7,1.2,16,110
2015-06-04,46,”≈,30,46,9,1.1,10,90
2015-06-05,60,¡º,42,69,22,1.1,12,94
2015-06-06,70,¡º,50,91,11,1.3,15,113
2015-06-07,65,¡º,47,77,16,1.2,15,99
2015-06-08,66,¡º,37,57,7,1.2,10,119
2015-06-09,76,¡º,56,83,8,1.3,10,105
2015-06-10,71,¡º,52,69,17,1.2,10,103
2015-06-11,57,¡º,32,65,5,0.8,13,108
2015-06-12,63,¡º,33,61,18,0.9,14,115
2015-06-13,68,¡º,39,58,7,1,12,122
2015-06-14,71,¡º,52,69,24,1.1,10,105
2015-06-15,71,¡º,52,62,15,1.2,13,123
2015-06-16,58,¡º,37,46,10,1.6,12,110
2015-06-17,53,¡º,16,23,6,1.4,9,104
2015-06-18,63,¡º,29,45,14,1.1,18,116
2015-06-19,68,¡º,41,62,21,1.1,18,121
2015-06-20,91,¡º,68,79,36,1.3,16,121
2015-06-21,76,¡º,50,66,7,1.2,18,131
2015-06-22,87,¡º,40,69,9,1.4,15,144
2015-06-23,47,”≈,22,44,20,1.1,10,93
2015-06-24,43,”≈,22,43,27,1.1,10,71
2015-06-25,32,”≈,8,23,16,0.9,11,64
2015-06-26,38,”≈,19,33,6,1.1,13,75
2015-06-27,37,”≈,14,26,11,0.7,12,74
2015-06-28,32,”≈,11,23,10,0.7,11,64
2015-06-29,44,”≈,27,44,14,0.9,12,71
2015-06-30,27,”≈,11,24,4,0.8,14,54
2015-07-01,86,¡º,21,37,10,0.8,11,143
2015-07-02,86,¡º,32,50,30,1.1,13,143
2015-07-03,76,¡º,47,72,11,1.2,15,131
2015-07-04,62,¡º,27,42,9,0.9,15,114
2015-07-05,64,¡º,25,40,5,0.9,18,117
2015-07-06,52,¡º,19,36,7,0.7,18,102
2015-07-07,89,¡º,22,41,6,0.7,19,147
2015-07-08,92,¡º,40,65,6,1,20,150
2015-07-09,70,¡º,36,61,16,0.9,15,124
2015-07-10,49,”≈,31,49,9,0.9,12,91
2015-07-11,50,”≈,33,50,5,0.9,11,73
