»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,170,÷–∂»Œ€»æ,129,226,82,1.6,76,32
2013-12-03,286,÷ÿ∂»Œ€»æ,236,368,114,2.2,97,28
2013-12-04,292,÷ÿ∂»Œ€»æ,242,390,224,2.5,120,26
2013-12-05,258,÷ÿ∂»Œ€»æ,208,325,107,2.1,86,27
2013-12-06,81,¡º,44,112,57,0.9,46,31
2013-12-07,208,÷ÿ∂»Œ€»æ,158,270,69,1.7,50,60
2013-12-08,204,÷ÿ∂»Œ€»æ,154,252,37,2.4,52,60
2013-12-09,159,÷–∂»Œ€»æ,121,234,51,1.2,35,29
2013-12-10,88,¡º,50,126,104,0.8,46,28
2013-12-11,81,¡º,28,112,40,0.5,28,37
2013-12-12,99,¡º,54,149,79,0.9,45,30
2013-12-13,79,¡º,34,108,55,0.7,37,33
2013-12-14,143,«·∂»Œ€»æ,110,220,119,1.5,73,20
2013-12-15,157,÷–∂»Œ€»æ,120,240,95,1.7,73,28
2013-12-16,146,«·∂»Œ€»æ,92,243,67,1.7,60,21
2013-12-17,97,¡º,52,145,49,1,50,31
2013-12-18,71,¡º,42,93,44,0.8,25,42
2013-12-19,82,¡º,60,114,70,1.1,38,32
2013-12-20,82,¡º,54,114,72,1.2,38,21
2013-12-21,77,¡º,41,105,55,0.9,30,25
2013-12-22,117,«·∂»Œ€»æ,89,180,116,1.3,60,20
2013-12-23,272,÷ÿ∂»Œ€»æ,183,400,222,2.1,94,17
2013-12-24,202,÷ÿ∂»Œ€»æ,152,250,120,1.7,76,41
2013-12-25,192,÷–∂»Œ€»æ,144,299,165,1.8,83,13
2013-12-26,180,÷–∂»Œ€»æ,126,311,110,1.2,45,38
2013-12-27,92,¡º,49,133,129,1,46,37
2013-12-28,110,«·∂»Œ€»æ,62,169,115,1.2,55,27
2013-12-29,106,«·∂»Œ€»æ,65,161,103,1.1,63,25
2013-12-30,140,«·∂»Œ€»æ,93,229,132,1.5,77,31
2013-12-31,145,«·∂»Œ€»æ,99,240,126,1.5,76,44
2014-01-01,137,«·∂»Œ€»æ,92,224,111,1.5,73,34
