»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,97,¡º,43,144,59,2.4,33,34
2014-01-01,68,¡º,33,87,61,2.4,30,35
2014-01-02,71,¡º,33,91,68,2.1,30,38
2014-01-03,75,¡º,52,100,71,2.1,32,39
2014-01-04,79,¡º,59,106,107,3,43,25
2014-01-05,132,«·∂»Œ€»æ,100,141,106,3,45,20
2014-01-06,110,«·∂»Œ€»æ,83,109,84,2.8,34,52
2014-01-07,97,¡º,73,105,72,2.3,22,48
2014-01-08,53,¡º,24,57,48,2.1,17,58
2014-01-09,81,¡º,52,113,85,2.7,34,48
2014-01-10,72,¡º,50,94,73,2.7,32,43
2014-01-11,97,¡º,73,124,82,3.1,39,42
2014-01-12,58,¡º,33,66,46,2.3,19,54
2014-01-13,87,¡º,64,109,95,3.1,39,30
2014-01-14,93,¡º,70,117,108,3.3,42,34
2014-01-15,127,«·∂»Œ€»æ,96,160,99,3.7,37,28
2014-01-16,150,«·∂»Œ€»æ,115,178,117,3.8,45,20
2014-01-17,213,÷ÿ∂»Œ€»æ,163,240,167,3.6,46,21
2014-01-18,100,¡º,75,119,88,2.9,31,47
2014-01-19,85,¡º,63,107,78,3,30,44
2014-01-20,125,«·∂»Œ€»æ,95,132,65,2.8,26,42
2014-01-21,155,÷–∂»Œ€»æ,119,166,155,3.6,40,29
2014-01-22,88,¡º,65,93,76,3.1,30,40
2014-01-23,102,«·∂»Œ€»æ,77,114,63,2.7,22,76
2014-01-24,154,÷–∂»Œ€»æ,118,166,70,3.2,33,76
2014-01-25,104,«·∂»Œ€»æ,78,130,84,2.9,27,57
2014-01-26,72,¡º,38,94,66,3,26,50
2014-01-27,90,¡º,45,130,59,2.7,19,56
2014-01-28,57,¡º,26,65,61,2.6,20,53
2014-01-29,95,¡º,46,139,49,2.7,13,74
2014-01-30,68,¡º,45,87,68,2.7,14,70
2014-01-31,112,«·∂»Œ€»æ,84,136,88,2.6,15,57
2014-02-01,106,«·∂»Œ€»æ,79,130,82,3,30,50
2014-02-02,91,¡º,52,131,57,3.1,17,55
2014-02-03,58,¡º,19,67,45,2.5,11,66
2014-02-04,66,¡º,36,81,56,2.9,18,64
2014-02-05,77,¡º,55,104,105,3.4,31,49
2014-02-06,107,«·∂»Œ€»æ,80,129,105,3.6,30,50
