日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,82,良,61,110,52,1.4,63,85
2013-12-03,112,轻度污染,85,132,58,1.7,65,78
2013-12-04,112,轻度污染,85,131,55,1.7,59,92
2013-12-05,111,轻度污染,84,127,64,1.5,64,91
2013-12-06,142,轻度污染,109,150,63,1.6,71,91
2013-12-07,183,中度污染,138,178,72,1.9,69,88
2013-12-08,161,中度污染,123,161,62,1.7,59,90
2013-12-09,213,重度污染,163,199,64,2,47,84
2013-12-10,171,中度污染,130,162,70,1.9,39,95
2013-12-11,135,轻度污染,103,135,64,1.7,35,79
2013-12-12,146,轻度污染,111,139,58,1.7,43,80
2013-12-13,155,中度污染,119,119,34,1.7,37,58
2013-12-14,134,轻度污染,102,94,32,1.7,35,54
2013-12-15,75,良,55,60,24,1.6,28,47
2013-12-16,19,优,9,13,22,1.7,31,38
2013-12-17,29,优,20,22,29,1.8,30,37
2013-12-18,29,优,18,26,29,1.3,21,58
2013-12-19,47,优,31,47,30,1.2,25,84
2013-12-20,76,良,56,73,37,1.4,31,94
2013-12-21,121,轻度污染,92,114,49,1.7,35,113
2013-12-22,106,轻度污染,79,106,48,1.7,43,100
2013-12-23,109,轻度污染,82,112,50,1.8,54,101
2013-12-24,100,良,75,103,49,1.7,44,88
2013-12-25,121,轻度污染,92,121,50,2,52,102
2013-12-26,136,轻度污染,103,136,56,2,48,118
2013-12-27,205,重度污染,155,192,77,2.2,49,89
2013-12-28,138,轻度污染,105,144,45,2,43,99
2013-12-29,78,良,57,90,42,1.7,48,85
2013-12-30,120,轻度污染,91,130,55,2.3,68,80
2013-12-31,133,轻度污染,101,141,56,2.6,70,83
2014-01-01,145,轻度污染,111,151,58,2.8,73,85
2014-01-02,153,中度污染,117,162,68,3.3,87,86
2014-01-03,173,中度污染,131,170,77,3.1,78,117
2014-01-04,203,重度污染,153,189,61,2.6,66,108
2014-01-05,151,中度污染,116,162,63,2.6,71,96
2014-01-06,188,中度污染,142,193,68,3,88,63
2014-01-07,283,重度污染,233,264,68,3.9,100,25
2014-01-08,85,良,63,67,35,2.9,48,25
2014-01-09,67,良,49,56,39,2.4,28,63
2014-01-10,82,良,61,71,43,2.3,32,56
2014-01-11,106,轻度污染,80,102,50,2.6,44,62
2014-01-12,44,优,31,40,38,2.4,38,31
2014-01-13,53,良,37,47,38,2.2,27,45
2014-01-14,67,良,49,65,43,2.1,31,92
2014-01-15,98,良,73,97,42,2.2,34,92
2014-01-16,126,轻度污染,96,137,49,2.6,59,75
2014-01-17,131,轻度污染,100,140,48,2.4,60,102
2014-01-18,134,轻度污染,102,136,37,2.1,52,119
2014-01-19,138,轻度污染,106,146,40,2.3,59,94
2014-01-20,144,轻度污染,110,144,37,2.4,50,117
2014-01-21,142,轻度污染,108,146,43,2.2,52,88
2014-01-22,96,良,72,106,38,2.1,47,108
2014-01-23,129,轻度污染,98,130,44,2.5,64,104
2014-01-24,174,中度污染,132,172,56,3.4,89,47
2014-01-25,216,重度污染,166,208,46,3.8,96,41
2014-01-26,209,重度污染,159,188,38,4,68,56
2014-01-27,238,重度污染,188,214,49,3.5,62,108
2014-01-28,202,重度污染,152,175,46,3.2,59,101
2014-01-29,121,轻度污染,91,111,29,2.7,50,96
2014-01-30,130,轻度污染,99,117,34,2.7,45,106
2014-01-31,205,重度污染,155,193,49,2.7,33,103
2014-02-01,57,良,41,57,34,2.3,29,74
2014-02-02,71,良,52,67,30,2.5,35,85
2014-02-03,88,良,65,82,22,2.6,38,92
2014-02-04,117,轻度污染,89,104,22,2.6,29,84
2014-02-05,65,良,47,63,30,2.7,26,85
2014-02-06,50,优,35,47,36,2.2,33,75
2014-02-07,24,优,16,22,12,2.4,22,19
2014-02-08,26,优,14,17,15,2.6,19,20
2014-02-09,27,优,8,10,16,2.7,20,28
2014-02-10,56,良,40,43,23,2.7,15,53
2014-02-11,59,良,42,48,26,2.5,15,60
2014-02-12,70,良,51,56,29,2.6,18,57
2014-02-13,54,良,38,40,26,2.9,22,46
2014-02-14,61,良,44,43,26,2.7,17,61
2014-02-15,48,优,33,41,27,2.7,20,60
2014-02-16,38,优,27,29,17,2.9,27,42
2014-02-17,31,优,21,24,18,3.1,30,16
2014-02-18,29,优,7,11,18,2.9,27,27
2014-02-19,26,优,18,20,24,1.8,21,33
2014-02-20,35,优,25,33,22,1.6,17,66
2014-02-21,87,良,64,100,44,1.9,58,47
2014-02-22,88,良,65,84,36,1.8,45,39
2014-02-23,71,良,52,77,26,1.9,45,86
2014-02-24,105,轻度污染,79,107,45,1.8,53,76
2014-02-25,106,轻度污染,80,95,38,1.6,59,43
2014-02-26,36,优,22,36,26,1.4,37,45
2014-02-27,65,良,47,66,30,1.4,43,105
2014-02-28,96,良,72,93,44,1.5,54,50
2014-03-01,45,优,32,38,35,1.5,37,14
2014-03-02,23,优,15,23,27,1.4,28,35
2014-03-03,24,优,17,21,25,1.3,26,27
2014-03-04,21,优,15,20,22,1.6,26,18
2014-03-05,36,优,25,33,25,1.6,25,42
2014-03-06,37,优,26,31,27,1.6,26,32
2014-03-07,19,优,13,17,21,1.3,20,37
2014-03-08,16,优,11,16,22,1.4,22,28
2014-03-09,30,优,21,26,28,1.4,19,46
2014-03-10,58,良,41,46,23,1.3,27,46
2014-03-11,34,优,24,28,28,1.4,32,25
2014-03-12,60,良,43,53,42,2.5,39,10
2014-03-13,48,优,34,39,38,1.5,21,77
2014-03-14,82,良,60,74,42,1.4,29,76
2014-03-15,110,轻度污染,83,100,68,1.6,48,46
2014-03-16,102,轻度污染,76,74,40,1.7,38,26
2014-03-17,109,轻度污染,82,98,58,2.2,49,26
2014-03-18,138,轻度污染,105,134,51,2.7,56,36
2014-03-19,123,轻度污染,93,123,40,2.3,48,55
2014-03-20,76,良,56,93,32,1.7,29,55
2014-03-21,55,良,39,55,29,1.2,24,77
2014-03-22,80,良,59,76,42,1.4,40,79
2014-03-23,116,轻度污染,88,110,58,2,52,76
2014-03-24,124,轻度污染,94,134,62,2.2,53,166
2014-03-25,100,良,75,103,49,1.6,56,119
2014-03-26,113,轻度污染,85,119,55,1.8,57,135
2014-03-27,124,轻度污染,94,124,57,1.8,59,138
2014-03-28,75,良,55,69,36,1.5,51,74
2014-03-29,69,良,50,61,36,1.6,39,60
2014-03-30,60,良,43,54,35,1.6,36,47
2014-03-31,46,优,27,33,27,1.6,24,91
2014-04-01,56,良,40,50,29,1.6,25,80
2014-04-02,77,良,57,69,29,1.7,32,63
2014-04-03,67,良,48,60,34,1.7,26,67
2014-04-04,81,良,57,80,41,1.8,35,137
2014-04-05,107,轻度污染,81,107,58,2.2,41,147
2014-04-06,109,轻度污染,82,93,32,2.4,39,84
2014-04-07,75,良,55,64,33,2.3,32,56
2014-04-08,54,良,38,53,28,2.3,33,80
2014-04-09,59,良,42,63,28,2.4,23,98
2014-04-10,64,良,46,73,37,2.3,34,85
2014-04-11,60,良,43,64,54,1.7,40,96
2014-04-12,68,良,50,73,37,1.8,41,76
2014-04-13,66,良,48,70,30,1.9,26,108
2014-04-14,59,良,30,44,26,2,17,111
2014-04-15,85,良,63,86,39,2,34,97
2014-04-16,77,良,57,81,38,1.9,41,110
2014-04-17,77,良,57,81,36,1.9,39,119
2014-04-18,93,良,69,100,49,2.2,42,149
2014-04-19,87,良,55,78,38,1.9,37,144
2014-04-20,43,优,25,43,31,2,21,84
2014-04-21,74,良,54,78,46,2.1,41,66
2014-04-22,29,优,13,23,24,2.2,19,58
2014-04-23,39,优,28,37,26,2.3,22,51
2014-04-24,47,优,29,47,38,2.4,26,24
2014-04-25,67,良,49,68,41,2.6,31,23
2014-04-26,41,优,29,37,24,2.4,31,37
2014-04-27,38,优,26,35,31,2.1,21,76
2014-04-28,57,良,41,56,35,2,18,97
2014-04-29,74,良,54,81,38,1.9,22,93
2014-04-30,43,优,30,43,18,1.7,19,73
2014-05-01,62,良,45,63,38,2,24,90
2014-05-02,56,良,38,61,38,2.1,26,95
2014-05-03,72,良,45,69,40,2,26,126
2014-05-04,61,良,44,62,34,2.1,35,67
2014-05-05,35,优,17,23,19,1.5,16,70
2014-05-06,54,良,38,51,29,1.7,22,65
2014-05-07,40,优,28,39,24,2,36,35
2014-05-08,46,优,32,45,35,2.3,40,35
2014-05-09,41,优,29,41,37,2.2,31,30
2014-05-10,31,优,20,31,26,1.8,32,39
2014-05-11,32,优,23,31,24,1.8,29,34
2014-05-12,47,优,33,47,31,2,23,49
2014-05-13,67,良,49,67,29,2.5,35,31
2014-05-14,51,良,35,52,23,1.7,24,101
2014-05-15,41,优,22,29,19,1.8,16,82
2014-05-16,60,良,43,60,44,1.7,23,104
2014-05-17,32,优,17,24,23,1.5,27,64
2014-05-18,33,优,23,32,24,1.6,27,61
2014-05-19,31,优,18,31,32,1.5,24,50
2014-05-20,43,优,30,41,24,1.6,15,86
2014-05-21,38,优,26,38,26,1.6,23,54
2014-05-22,25,优,15,20,17,1.5,24,49
2014-05-23,30,优,21,27,19,1.6,25,47
2014-05-24,32,优,22,32,21,1.6,27,48
2014-05-25,41,优,29,39,20,1.4,19,80
2014-05-26,41,优,28,41,29,1.5,17,73
2014-05-27,76,良,55,87,27,1.5,12,110
2014-05-28,55,良,36,60,27,1.4,20,94
2014-05-29,41,优,22,34,21,1.3,18,81
2014-05-30,51,良,32,51,24,1.2,23,99
2014-05-31,68,良,33,49,22,1.2,23,122
2014-06-01,49,优,29,47,25,1,20,98
2014-06-02,44,优,28,44,33,1.1,20,86
2014-06-03,35,优,22,35,16,1.2,13,54
2014-06-04,49,优,33,49,26,1.4,18,62
2014-06-05,47,优,32,47,18,1.4,20,51
2014-06-06,25,优,12,22,18,1.3,24,50
2014-06-07,46,优,30,46,20,1.3,24,69
2014-06-08,92,良,68,94,21,1.5,19,113
2014-06-09,67,良,49,66,24,1.6,16,90
2014-06-10,44,优,29,44,18,1.4,18,73
2014-06-11,75,良,55,71,20,1.4,17,102
2014-06-12,80,良,59,85,28,1.4,24,126
2014-06-13,94,良,63,97,37,1.4,32,153
2014-06-14,109,轻度污染,82,118,36,1.6,29,147
2014-06-15,94,良,70,100,26,1.6,25,114
2014-06-16,77,良,57,86,22,1.8,34,112
2014-06-17,46,优,28,46,14,1.8,23,61
2014-06-18,44,优,26,44,22,1.6,22,71
2014-06-19,39,优,22,33,22,1.4,22,78
2014-06-20,34,优,22,34,19,1.4,24,66
2014-06-21,32,优,20,32,14,1.4,22,47
2014-06-22,37,优,20,34,19,1.5,24,74
2014-06-23,32,优,19,32,17,1.8,16,57
2014-06-24,33,优,18,31,24,1.6,19,66
2014-06-25,36,优,21,36,22,1.1,27,68
2014-06-26,63,良,30,50,20,0.9,25,115
2014-06-27,57,良,33,56,18,0.9,24,108
2014-06-28,105,轻度污染,42,67,19,0.9,17,166
2014-06-29,73,良,37,53,13,1.2,19,127
2014-06-30,40,优,20,35,23,1.4,15,80
2014-07-01,40,优,19,36,21,1.2,17,79
2014-07-02,73,良,26,48,26,0.8,17,127
2014-07-03,67,良,26,46,18,0.9,14,120
2014-07-04,83,良,33,57,18,0.9,16,139
2014-07-05,63,良,29,52,24,0.9,21,116
2014-07-06,134,轻度污染,42,71,38,1,23,197
2014-07-07,61,良,28,45,24,0.9,16,113
2014-07-08,77,良,33,48,25,1.1,17,132
2014-07-09,70,良,26,48,25,1.3,22,124
2014-07-10,134,轻度污染,39,60,19,1.2,19,197
2014-07-11,87,良,23,38,22,0.8,20,144
2014-07-12,49,优,17,33,24,0.7,20,98
2014-07-13,58,良,23,44,28,0.8,21,110
2014-07-14,73,良,31,43,34,0.8,27,127
2014-07-15,77,良,29,47,30,0.8,22,132
2014-07-16,91,良,30,52,30,0.8,32,149
2014-07-17,92,良,37,60,38,0.9,28,150
2014-07-18,38,优,22,38,22,0.8,19,68
2014-07-19,22,优,12,22,13,0.8,15,41
2014-07-20,62,良,19,37,22,1,17,114
2014-07-21,72,良,30,55,19,1.3,20,126
2014-07-22,73,良,38,53,31,1.4,24,128
2014-07-23,80,良,46,71,25,1.1,21,136
2014-07-24,80,良,54,82,23,1.3,31,136
2014-07-25,54,良,37,58,26,1,29,96
2014-07-26,92,良,38,55,24,1,26,150
2014-07-27,48,优,30,45,33,0.9,21,96
2014-07-28,73,良,22,43,48,1,34,127
2014-07-29,93,良,37,66,31,1,28,152
2014-07-30,138,轻度污染,47,76,34,0.9,27,202
2014-07-31,108,轻度污染,54,85,31,1,27,169
2014-08-01,76,良,33,55,40,0.9,23,131
2014-08-02,95,良,44,72,35,1.1,30,154
2014-08-03,93,良,49,79,41,1.4,29,152
2014-08-04,110,轻度污染,54,79,44,1.2,26,171
2014-08-05,144,轻度污染,52,78,35,1.3,26,208
2014-08-06,96,良,38,60,33,1.2,27,155
2014-08-07,105,轻度污染,33,50,28,1,21,166
2014-08-08,120,轻度污染,37,57,25,0.9,25,182
2014-08-09,125,轻度污染,43,68,42,0.9,27,187
2014-08-10,83,良,38,56,26,0.8,24,140
2014-08-11,61,良,27,47,40,0.7,26,113
2014-08-12,62,良,30,49,28,0.7,23,114
2014-08-13,36,优,13,23,21,0.7,16,72
2014-08-14,39,优,18,29,18,0.8,17,78
2014-08-15,53,良,22,39,28,0.9,21,103
2014-08-16,36,优,20,36,22,0.9,20,72
2014-08-17,46,优,20,38,30,0.8,21,92
2014-08-18,83,良,33,61,35,0.8,22,139
2014-08-19,45,优,31,43,26,0.9,15,90
2014-08-20,28,优,10,16,20,0.9,16,55
2014-08-21,42,优,19,39,34,0.8,26,84
2014-08-22,55,良,26,45,36,0.9,26,106
2014-08-23,87,良,38,62,39,0.9,27,144
2014-08-24,73,良,38,60,30,0.9,24,128
2014-08-25,125,轻度污染,42,70,30,0.9,24,187
2014-08-26,90,良,34,56,39,1.1,20,148
2014-08-27,63,良,31,54,41,1,23,116
2014-08-28,49,优,27,48,36,1,19,98
2014-08-29,53,良,20,41,34,1,18,104
2014-08-30,46,优,25,44,31,0.9,16,91
2014-08-31,75,良,24,43,33,1,21,130
2014-09-01,49,优,21,40,30,0.9,23,97
2014-09-02,72,良,25,46,31,1,23,126
2014-09-03,47,优,26,45,31,1,21,94
2014-09-04,58,良,22,38,21,0.9,16,109
2014-09-05,101,轻度污染,36,58,30,1.3,27,161
2014-09-06,70,良,32,53,25,1.2,24,124
2014-09-07,68,良,32,52,35,1.1,19,122
2014-09-08,38,优,25,38,37,1.2,19,64
2014-09-09,48,优,21,35,29,1.2,22,95
2014-09-10,93,良,33,53,35,1.2,27,151
2014-09-11,129,轻度污染,39,63,40,1.3,31,192
2014-09-12,75,良,31,49,38,1.1,23,130
2014-09-13,36,优,18,36,26,1.1,21,69
2014-09-14,43,优,23,43,24,1.1,17,85
2014-09-15,51,良,35,52,19,1.1,13,77
2014-09-16,38,优,25,38,20,1.1,14,70
2014-09-17,26,优,14,26,18,1.1,16,49
2014-09-18,63,良,31,53,31,1.4,20,115
2014-09-19,58,良,29,44,19,1.3,16,110
2014-09-20,39,优,16,25,19,1.3,14,77
2014-09-21,54,良,26,44,31,1.1,18,105
2014-09-22,60,良,33,50,31,1.1,17,112
2014-09-23,55,良,39,57,29,1.1,17,101
2014-09-24,52,良,35,53,23,1.2,19,95
2014-09-25,74,良,44,68,31,1.3,25,129
2014-09-26,140,轻度污染,66,97,42,1.5,38,204
2014-09-27,145,轻度污染,69,99,38,1.2,38,209
2014-09-28,82,良,44,70,35,0.9,35,138
2014-09-29,106,轻度污染,50,80,36,1.1,33,167
2014-09-30,73,良,54,68,28,1.1,20,106
2014-10-01,64,良,46,61,20,1.1,17,117
2014-10-02,69,良,50,71,28,1.2,19,114
2014-10-03,61,良,44,62,32,1.1,17,85
2014-10-04,67,良,49,74,36,1.1,20,120
2014-10-05,78,良,40,65,31,0.9,20,133
2014-10-06,88,良,48,84,40,1,23,145
2014-10-07,99,良,62,91,40,1.1,24,159
2014-10-08,92,良,69,97,39,1.2,32,149
2014-10-09,81,良,60,84,42,1.2,33,129
2014-10-10,76,良,55,81,37,1.1,32,121
2014-10-11,70,良,51,76,26,1.1,23,121
2014-10-12,69,良,50,70,24,1,20,108
2014-10-13,96,良,72,98,29,1.2,21,136
2014-10-14,147,轻度污染,113,147,34,1.4,28,156
2014-10-15,131,轻度污染,100,136,34,1.5,37,152
2014-10-16,111,轻度污染,84,118,42,1.6,41,153
2014-10-17,105,轻度污染,79,120,60,1.6,43,152
2014-10-18,115,轻度污染,87,130,58,1.7,44,170
2014-10-19,134,轻度污染,91,128,62,1.6,44,197
2014-10-20,100,良,75,109,62,1.6,41,140
2014-10-21,96,良,72,101,35,1.5,32,152
2014-10-22,50,优,35,47,20,1.6,20,92
2014-10-23,71,良,45,70,27,1.6,32,125
2014-10-24,82,良,61,93,42,1.7,35,138
2014-10-25,101,轻度污染,76,114,56,1.9,44,157
2014-10-26,122,轻度污染,93,129,66,2.1,42,162
2014-10-27,118,轻度污染,89,124,37,1.9,39,126
2014-10-28,112,轻度污染,84,124,35,1.8,38,169
2014-10-29,108,轻度污染,72,103,37,1.5,38,169
2014-10-30,91,良,57,90,32,0.9,38,149
2014-10-31,113,轻度污染,68,105,33,1,40,174
2014-11-01,108,轻度污染,82,104,29,1.1,32,143
2014-11-02,30,优,20,29,21,1,21,60
2014-11-03,58,良,33,56,29,0.9,22,109
2014-11-04,68,良,50,82,39,0.8,28,111
2014-11-05,124,轻度污染,94,106,44,1.2,41,73
2014-11-06,90,良,67,74,27,1,25,51
2014-11-07,58,良,42,49,18,0.8,21,50
2014-11-08,23,优,12,17,20,1,20,46
2014-11-09,39,优,28,34,18,1,18,65
2014-11-10,25,优,13,18,15,0.9,19,50
2014-11-11,33,优,23,31,14,1,19,28
2014-11-12,24,优,16,24,16,1.1,18,24
2014-11-13,72,良,53,73,35,1,23,88
2014-11-14,77,良,56,82,28,1,26,87
2014-11-15,92,良,69,95,32,1.2,33,83
2014-11-16,89,良,66,86,24,1.2,25,71
2014-11-17,87,良,65,81,27,0.9,22,71
2014-11-18,90,良,67,91,37,0.8,23,84
2014-11-19,99,良,74,108,47,1.1,42,98
2014-11-20,115,轻度污染,87,127,63,1.4,49,94
2014-11-21,137,轻度污染,105,146,71,1.9,53,94
2014-11-22,128,轻度污染,97,133,42,1.9,45,90
2014-11-23,123,轻度污染,93,130,50,1.6,52,106
2014-11-24,102,轻度污染,77,109,39,1.5,48,80
2014-11-25,52,良,37,49,25,1.6,33,40
2014-11-26,50,优,35,49,27,1.5,25,63
2014-11-27,93,良,69,101,46,1.8,43,97
2014-11-28,115,轻度污染,87,114,48,1.7,50,43
2014-11-29,92,良,69,97,52,1.4,44,74
2014-11-30,70,良,51,81,40,1.3,40,52
2014-12-01,33,优,22,33,18,1.2,23,48
2014-12-02,78,良,58,81,29,0.9,20,73
2014-12-03,45,优,32,35,13,1,27,39
2014-12-04,35,优,13,21,20,0.6,20,70
2014-12-05,44,优,25,43,30,0.5,19,87
2014-12-06,57,良,41,64,35,0.7,31,72
2014-12-07,53,良,37,43,28,0.7,26,44
2014-12-08,56,良,39,55,27,0.8,28,71
2014-12-09,85,良,63,90,33,1,36,82
2014-12-10,101,轻度污染,75,95,37,1.1,33,63
2014-12-11,47,优,33,40,24,1,25,35
2014-12-12,65,良,47,80,28,0.8,25,76
2014-12-13,74,良,54,98,30,0.8,33,88
2014-12-14,80,良,59,104,37,1,46,87
2014-12-15,101,轻度污染,76,116,46,1.1,51,39
2014-12-16,94,良,70,102,43,0.9,31,98
2014-12-17,63,良,44,76,34,0.7,24,87
2014-12-18,64,良,44,79,30,1,46,84
2014-12-19,85,良,63,87,41,1.1,56,65
2014-12-20,69,良,50,67,28,1.1,47,83
2014-12-21,73,良,54,75,32,1.2,37,91
2014-12-22,79,良,58,74,32,1.2,41,101
2014-12-23,86,良,64,83,48,1.6,61,65
2014-12-24,70,良,51,78,44,2.1,68,93
2014-12-25,60,良,43,68,40,1.5,55,91
2014-12-26,49,优,35,46,26,1,29,87
2014-12-27,31,优,22,29,15,1.3,29,55
2014-12-28,33,优,14,22,22,1.1,32,66
2014-12-29,34,优,18,34,27,1.3,41,56
2014-12-30,39,优,19,39,30,1.4,46,59
2014-12-31,50,优,25,50,30,1.5,46,65
2015-01-01,56,良,28,50,32,0.9,29,107
2015-01-02,46,优,25,46,32,1.2,37,73
2015-01-03,57,良,36,64,52,1.4,52,80
2015-01-04,119,轻度污染,90,137,76,2.2,80,62
2015-01-05,181,中度污染,137,169,64,1.8,72,27
2015-01-06,133,轻度污染,102,117,44,1.7,48,23
2015-01-07,47,优,33,42,31,1.7,35,23
2015-01-08,58,良,42,57,32,1.2,30,95
2015-01-09,65,良,47,70,32,1.1,39,94
2015-01-10,61,良,44,60,30,1,33,70
2015-01-11,48,优,34,44,22,0.9,30,61
2015-01-12,34,优,24,30,16,0.9,22,47
2015-01-13,25,优,10,14,13,0.9,19,50
2015-01-14,32,优,20,27,17,0.8,20,63
2015-01-15,51,良,33,51,19,0.7,34,81
2015-01-16,53,良,37,55,25,0.8,33,75
2015-01-17,68,良,49,64,25,0.7,36,101
2015-01-18,80,良,59,83,27,0.8,34,102
2015-01-19,76,良,56,86,24,0.9,44,103
2015-01-20,94,良,70,113,45,1.7,66,113
2015-01-21,97,良,73,109,29,1.7,63,98
2015-01-22,69,良,50,82,30,1.2,55,104
2015-01-23,72,良,52,93,39,1.3,66,104
2015-01-24,104,轻度污染,78,118,31,1.3,81,53
2015-01-25,107,轻度污染,81,104,49,1.6,55,80
2015-01-26,66,良,48,76,25,1.3,46,86
2015-01-27,84,良,62,93,35,1.3,43,77
2015-01-28,60,良,43,53,17,1.9,41,50
2015-01-29,40,优,28,40,18,1.5,36,13
2015-01-30,26,优,16,26,18,0.9,28,19
2015-01-31,36,优,25,35,20,0.9,28,37
2015-02-01,38,优,27,36,16,0.8,26,44
2015-02-02,61,良,44,58,19,0.9,27,66
2015-02-03,73,良,53,71,24,0.9,38,45
2015-02-04,26,优,19,25,17,1,32,18
2015-02-05,66,良,48,61,19,0.8,26,68
2015-02-06,83,良,62,89,26,1,35,117
2015-02-07,94,良,70,102,25,1.2,53,53
