»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,147,«·∂»Œ€»æ,113,209,43,2.9,43,63
2014-01-01,180,÷–∂»Œ€»æ,136,226,56,2.9,50,60
2014-01-02,199,÷–∂»Œ€»æ,149,266,49,3.7,57,54
2014-01-03,233,÷ÿ∂»Œ€»æ,183,300,56,3.8,62,44
2014-01-04,251,÷ÿ∂»Œ€»æ,201,308,53,4.3,52,39
2014-01-05,253,÷ÿ∂»Œ€»æ,203,294,36,4.3,45,55
2014-01-06,199,÷–∂»Œ€»æ,149,211,39,3.2,46,59
2014-01-07,106,«·∂»Œ€»æ,80,107,30,3.1,37,47
2014-01-08,93,¡º,69,77,31,3.4,31,34
2014-01-09,59,¡º,40,69,26,2.4,31,37
2014-01-10,106,«·∂»Œ€»æ,80,125,30,1.8,40,41
2014-01-11,118,«·∂»Œ€»æ,89,119,29,1.5,39,35
2014-01-12,127,«·∂»Œ€»æ,97,142,29,1.5,40,34
2014-01-13,171,÷–∂»Œ€»æ,130,180,33,1.5,36,41
2014-01-14,116,«·∂»Œ€»æ,88,129,32,1.5,42,43
2014-01-15,125,«·∂»Œ€»æ,95,135,35,1.5,43,42
2014-01-16,119,«·∂»Œ€»æ,90,137,35,1.7,47,41
2014-01-17,206,÷ÿ∂»Œ€»æ,156,243,41,2.6,47,50
2014-01-18,383,—œ÷ÿŒ€»æ,333,467,63,4,50,42
2014-01-19,301,—œ÷ÿŒ€»æ,251,341,38,3.2,53,48
2014-01-20,151,÷–∂»Œ€»æ,115,243,36,2,42,39
2014-01-21,97,¡º,60,145,36,1.3,41,30
2014-01-22,461,—œ÷ÿŒ€»æ,441,107,28,1.3,41,43
2014-01-23,98,¡º,73,122,26,1.4,45,45
2014-01-24,107,«·∂»Œ€»æ,80,140,31,1.7,47,45
2014-01-25,266,÷ÿ∂»Œ€»æ,216,300,48,2.6,50,36
2014-01-26,90,¡º,67,101,20,0.9,26,46
2014-01-27,70,¡º,50,90,25,1.3,39,40
2014-01-28,141,«·∂»Œ€»æ,108,157,30,1.5,39,47
2014-01-29,123,«·∂»Œ€»æ,94,122,26,1.5,33,50
2014-01-30,231,÷ÿ∂»Œ€»æ,181,262,40,2.8,51,72
2014-01-31,257,÷ÿ∂»Œ€»æ,207,261,32,2.4,50,59
2014-02-01,243,÷ÿ∂»Œ€»æ,193,268,36,2.7,34,57
2014-02-02,207,÷ÿ∂»Œ€»æ,157,255,31,3.3,35,45
2014-02-03,129,«·∂»Œ€»æ,98,178,24,2.1,25,51
2014-02-04,51,¡º,25,52,21,1,23,48
2014-02-05,35,”≈,22,32,30,1.1,34,69
2014-02-06,20,”≈,14,19,17,0.9,19,36
2014-02-07,81,¡º,60,75,36,1.7,30,38
2014-02-08,99,¡º,74,93,32,1.5,24,45
2014-02-09,85,¡º,63,82,22,1.3,22,47
2014-02-10,58,¡º,42,59,28,1.2,20,70
2014-02-11,71,¡º,52,74,30,1.3,27,41
2014-02-12,76,¡º,56,75,20,0.9,29,41
2014-02-13,83,¡º,61,77,22,1.1,28,41
2014-02-14,133,«·∂»Œ€»æ,102,145,37,1.6,34,38
2014-02-15,119,«·∂»Œ€»æ,91,118,23,1.2,29,47
2014-02-16,72,¡º,53,62,16,1,26,38
2014-02-17,62,¡º,45,51,26,1.5,25,41
2014-02-18,58,¡º,42,49,24,1,26,45
2014-02-19,95,¡º,71,103,27,1.3,29,47
2014-02-20,114,«·∂»Œ€»æ,86,140,45,1.7,35,29
2014-02-21,166,÷–∂»Œ€»æ,126,171,32,1.4,30,61
2014-02-22,155,÷–∂»Œ€»æ,119,155,31,1.3,30,56
2014-02-23,100,¡º,75,106,32,1.1,29,57
2014-02-24,122,«·∂»Œ€»æ,92,126,31,1.4,28,78
2014-02-25,49,”≈,34,36,24,1.3,27,46
2014-02-26,51,¡º,34,51,20,1.2,24,52
2014-02-27,89,¡º,66,105,29,1.7,34,41
2014-02-28,48,”≈,34,40,21,1.3,27,36
2014-03-01,58,¡º,41,54,29,1.1,32,44
2014-03-02,103,«·∂»Œ€»æ,78,105,38,1.1,36,58
2014-03-03,83,¡º,61,94,29,1,30,67
2014-03-04,64,¡º,45,78,25,0.9,29,59
2014-03-05,75,¡º,55,78,19,0.7,25,62
2014-03-06,58,¡º,41,60,20,0.6,28,52
2014-03-07,66,¡º,48,68,24,1.1,33,47
2014-03-08,56,¡º,40,54,18,0.8,35,44
2014-03-09,91,¡º,67,101,33,1.3,41,55
2014-03-10,112,«·∂»Œ€»æ,85,127,24,1.1,39,91
2014-03-11,137,«·∂»Œ€»æ,105,140,28,1,43,88
2014-03-12,151,÷–∂»Œ€»æ,116,93,23,1.4,33,66
2014-03-13,71,¡º,52,83,27,1.2,28,55
2014-03-14,94,¡º,70,125,24,1.2,34,61
2014-03-15,95,¡º,71,126,44,1.5,55,82
2014-03-16,105,«·∂»Œ€»æ,79,131,43,1.7,47,84
2014-03-17,101,«·∂»Œ€»æ,76,134,28,1.3,44,67
2014-03-18,138,«·∂»Œ€»æ,104,226,40,2,50,81
2014-03-20,92,¡º,69,112,30,1.4,28,72
2014-03-21,75,¡º,52,100,20,1,31,69
2014-03-22,80,¡º,58,110,25,1,34,81
2014-03-23,88,¡º,65,117,28,0.9,39,76
2014-03-24,107,«·∂»Œ€»æ,81,150,30,1.4,37,61
2014-03-25,92,¡º,68,103,18,1.5,28,52
2014-03-26,93,¡º,69,110,28,1.5,34,78
2014-03-27,111,«·∂»Œ€»æ,84,122,24,1.2,31,92
2014-03-28,99,¡º,74,103,19,1.2,23,77
2014-03-29,116,«·∂»Œ€»æ,87,118,23,1.5,27,53
2014-03-30,97,¡º,73,101,19,1,26,68
2014-03-31,73,¡º,54,85,21,0.9,25,64
2014-04-01,119,«·∂»Œ€»æ,90,140,21,1.1,27,73
2014-04-02,70,¡º,51,91,20,0.8,23,75
2014-04-03,79,¡º,58,101,20,0.9,22,72
2014-04-04,83,¡º,49,115,21,0.9,26,73
2014-04-05,104,«·∂»Œ€»æ,66,159,24,1.4,32,63
2014-04-06,62,¡º,24,74,18,0.6,22,58
2014-04-07,79,¡º,51,109,20,1,27,57
2014-04-08,102,«·∂»Œ€»æ,77,123,24,1.4,29,56
2014-04-09,98,¡º,73,121,19,1.2,25,86
2014-04-10,104,«·∂»Œ€»æ,79,133,20,1,27,83
2014-04-11,113,«·∂»Œ€»æ,85,129,25,1.2,38,81
2014-04-12,55,¡º,39,51,19,1.1,26,37
2014-04-13,50,”≈,31,50,18,0.8,21,52
2014-04-14,80,¡º,59,88,19,0.9,26,81
2014-04-15,89,¡º,66,92,21,0.8,26,76
2014-04-16,86,¡º,64,93,19,0.9,27,65
2014-04-17,83,¡º,61,90,23,1.4,29,43
2014-04-18,75,¡º,55,77,17,1,28,46
2014-04-19,44,”≈,31,40,14,0.9,22,50
2014-04-20,53,¡º,37,56,17,0.8,16,54
2014-04-21,81,¡º,60,74,19,1.1,22,47
2014-04-22,67,¡º,49,71,19,1,21,74
2014-04-23,70,¡º,51,87,20,0.9,25,77
2014-04-24,70,¡º,49,91,25,0.9,27,80
2014-04-25,45,”≈,32,45,15,0.8,17,61
2014-04-26,57,¡º,39,63,17,1.2,16,46
2014-04-27,71,¡º,52,83,18,1.3,16,38
2014-04-28,66,¡º,44,81,29,1.3,24,51
2014-04-29,84,¡º,55,119,25,1.2,27,78
2014-04-30,101,«·∂»Œ€»æ,65,152,26,1.2,28,91
2014-05-01,111,«·∂»Œ€»æ,83,173,26,1.5,31,86
2014-05-02,138,«·∂»Œ€»æ,74,226,35,1.5,37,46
2014-05-03,92,¡º,51,134,23,0.9,27,65
2014-05-04,84,¡º,62,116,19,1.3,35,53
2014-05-05,75,¡º,43,100,22,1,28,77
2014-05-06,82,¡º,55,113,23,1,30,90
2014-05-07,82,¡º,51,114,24,1.2,23,77
2014-05-08,107,«·∂»Œ€»æ,80,155,26,1.3,27,99
2014-05-09,79,¡º,58,109,22,0.9,25,80
2014-05-10,64,¡º,46,68,17,0.9,22,62
2014-05-11,59,¡º,42,61,19,1.3,22,58
2014-05-12,83,¡º,62,113,26,1.4,35,71
2014-05-13,93,¡º,70,132,24,1.3,26,84
2014-05-14,100,¡º,75,130,28,1.5,27,77
2014-05-15,110,«·∂»Œ€»æ,58,171,44,1.6,36,86
2014-05-16,134,«·∂»Œ€»æ,86,218,33,1.6,36,112
2014-05-17,98,¡º,73,141,26,1.1,37,65
2014-05-18,103,«·∂»Œ€»æ,78,113,22,1.2,22,66
2014-05-19,92,¡º,69,105,20,1.2,30,44
2014-05-20,143,«·∂»Œ€»æ,109,175,21,1.5,26,100
2014-05-21,145,«·∂»Œ€»æ,111,211,25,1.7,35,118
2014-05-22,94,¡º,67,139,25,1.1,23,107
2014-05-23,67,¡º,35,84,24,0.9,18,87
2014-05-24,116,«·∂»Œ€»æ,88,163,31,2.3,19,73
2014-05-25,119,«·∂»Œ€»æ,90,134,43,1.7,21,66
2014-05-26,143,«·∂»Œ€»æ,90,236,41,1.7,32,109
2014-05-27,192,÷–∂»Œ€»æ,120,334,32,1.7,28,120
2014-05-28,218,÷ÿ∂»Œ€»æ,168,317,35,1.8,29,132
2014-05-29,295,÷ÿ∂»Œ€»æ,245,378,41,2.1,37,128
2014-05-30,197,÷–∂»Œ€»æ,148,249,31,1.6,27,142
2014-05-31,112,«·∂»Œ€»æ,85,148,25,1.3,19,116
2014-06-01,67,¡º,45,84,20,1.4,19,65
2014-06-02,59,¡º,42,67,34,1.5,20,70
2014-06-03,74,¡º,50,97,37,1.6,21,95
2014-06-04,93,¡º,65,137,42,1.6,29,98
2014-06-05,136,«·∂»Œ€»æ,104,177,35,1.7,30,132
2014-06-06,170,÷–∂»Œ€»æ,129,179,30,1.6,25,130
2014-06-07,177,÷–∂»Œ€»æ,134,197,36,2.1,28,143
2014-06-08,180,÷–∂»Œ€»æ,136,174,32,1.7,23,119
2014-06-09,86,¡º,64,98,31,1.3,17,110
2014-06-10,104,«·∂»Œ€»æ,59,158,30,1.3,20,138
2014-06-11,95,¡º,71,108,30,1.6,26,135
2014-06-12,112,«·∂»Œ€»æ,85,123,31,1.6,26,126
2014-06-13,104,«·∂»Œ€»æ,79,150,33,1.8,31,143
2014-06-14,146,«·∂»Œ€»æ,112,188,28,1.9,28,144
2014-06-15,159,÷–∂»Œ€»æ,121,161,26,1.8,29,112
2014-06-16,93,¡º,70,88,25,1.6,25,70
2014-06-17,54,¡º,38,58,29,1.7,22,61
2014-06-18,91,¡º,68,96,26,1.5,21,86
2014-06-19,114,«·∂»Œ€»æ,86,89,27,1.4,18,101
2014-06-20,112,«·∂»Œ€»æ,84,116,24,1.4,21,92
2014-06-21,124,«·∂»Œ€»æ,94,114,22,1.2,19,36
2014-06-22,69,¡º,51,66,26,1.3,15,89
2014-06-23,69,¡º,50,77,26,1.3,18,80
2014-06-24,85,¡º,63,98,24,1.5,16,97
2014-06-25,62,¡º,45,63,19,1.2,13,87
2014-06-26,37,”≈,26,26,19,1.4,16,50
2014-06-27,59,¡º,42,66,16,1.2,12,51
2014-06-28,94,¡º,70,105,18,1.6,20,83
2014-06-29,144,«·∂»Œ€»æ,110,158,18,2,27,61
2014-06-30,116,«·∂»Œ€»æ,88,117,13,1.4,16,70
2014-07-01,86,¡º,64,82,14,1.3,17,56
2014-07-02,52,¡º,35,54,15,1.5,16,46
2014-07-03,74,¡º,54,89,16,1.6,20,77
2014-07-04,135,«·∂»Œ€»æ,103,126,15,1.4,17,67
2014-07-05,32,”≈,23,29,15,1.2,15,55
2014-07-06,48,”≈,22,48,22,1.2,17,43
2014-07-07,69,¡º,50,81,15,1.2,20,78
2014-07-08,109,«·∂»Œ€»æ,82,109,12,0.9,15,88
2014-07-09,85,¡º,63,99,15,1.1,20,74
2014-07-10,109,«·∂»Œ€»æ,82,129,14,1.3,23,79
2014-07-11,131,«·∂»Œ€»æ,100,168,15,1.6,25,87
2014-07-12,72,¡º,52,75,7,1.2,17,69
2014-07-13,67,¡º,49,69,9,1.1,15,51
2014-07-14,57,¡º,41,64,12,1.1,16,55
2014-07-15,52,¡º,31,54,8,1,10,47
2014-07-16,33,”≈,16,33,6,0.9,7,35
2014-07-17,57,¡º,28,63,14,1.2,16,27
2014-07-18,91,¡º,68,101,6,1,16,64
2014-07-19,93,¡º,70,100,5,1.1,12,76
2014-07-20,100,¡º,75,112,6,1.2,17,83
2014-07-21,84,¡º,62,108,5,1.1,14,77
2014-07-22,86,¡º,64,107,6,1,10,79
2014-07-23,59,¡º,41,69,7,0.7,9,78
2014-07-24,47,”≈,25,47,4,0.6,6,55
2014-07-25,80,¡º,59,96,5,1.4,9,50
2014-07-26,128,«·∂»Œ€»æ,97,137,11,1.3,15,58
2014-07-27,68,¡º,49,67,6,1.2,11,55
2014-07-28,58,¡º,41,66,7,1.2,10,71
2014-07-29,98,¡º,73,115,6,1.3,14,82
2014-07-30,84,¡º,62,105,10,1.3,15,79
2014-07-31,60,¡º,36,70,8,1.1,15,73
2014-08-01,38,”≈,22,38,5,0.7,8,40
2014-08-02,62,¡º,32,73,17,1.4,13,43
2014-08-03,78,¡º,57,105,15,1.2,13,67
2014-08-04,103,«·∂»Œ€»æ,77,118,7,1.2,15,76
2014-08-05,96,¡º,72,113,7,1.2,16,74
2014-08-06,90,¡º,67,106,6,1.4,16,60
2014-08-07,71,¡º,52,78,8,1.2,12,46
2014-08-08,45,”≈,22,45,14,1.2,15,30
2014-08-09,50,”≈,25,50,10,0.8,12,25
2014-08-10,59,¡º,31,68,19,1.2,17,43
2014-08-11,75,¡º,55,93,7,1,13,68
2014-08-12,82,¡º,60,86,7,0.9,12,62
2014-08-13,55,¡º,39,57,5,1,17,47
2014-08-14,50,”≈,26,51,11,1.3,25,46
2014-08-15,70,¡º,51,83,9,1.2,22,67
2014-08-16,69,¡º,50,73,8,1,22,68
2014-08-17,41,”≈,29,41,6,0.6,19,61
2014-08-18,54,¡º,33,57,8,0.9,29,39
2014-08-19,54,¡º,35,59,7,0.9,19,55
2014-08-20,65,¡º,47,75,9,0.9,19,60
2014-08-21,63,¡º,45,72,7,0.9,20,66
2014-08-22,76,¡º,55,97,10,1,21,66
