日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,55,良,18,60,19,1.1,10,38
2015-01-01,25,优,10,25,14,0.9,7,39
2015-01-02,22,优,8,22,13,1,7,38
2015-01-03,66,良,25,81,20,1.6,13,38
2015-01-04,139,轻度污染,72,227,56,2.9,20,44
2015-01-05,150,轻度污染,68,250,39,3,19,58
2015-01-06,35,优,7,19,9,0.4,6,69
2015-01-07,29,优,7,18,13,0.7,4,57
2015-01-08,20,优,7,20,22,0.8,6,34
2015-01-09,36,优,12,36,27,1.1,10,32
2015-01-10,44,优,14,44,32,1.3,10,32
2015-01-11,42,优,14,42,29,1.4,9,32
2015-01-12,30,优,9,30,25,1.1,7,32
2015-01-13,58,良,21,65,30,2,17,35
2015-01-14,66,良,27,82,46,1.9,24,38
2015-01-15,67,良,30,84,57,1.9,27,50
2015-01-16,59,良,23,69,48,2.7,20,33
2015-01-17,24,优,8,24,32,1.1,10,37
2015-01-18,60,良,26,70,37,2.6,23,46
2015-01-19,29,优,11,29,27,1.4,16,46
2015-01-20,66,良,26,81,43,1.6,22,50
2015-01-21,75,良,33,99,48,2.1,25,25
2015-01-22,67,良,26,84,52,1.8,25,33
2015-01-23,71,良,30,92,43,1.8,25,30
2015-01-24,102,轻度污染,54,155,69,2.9,32,31
2015-01-25,113,轻度污染,56,175,73,3,31,28
2015-01-26,105,轻度污染,55,160,79,3.7,27,33
2015-01-27,23,优,9,21,39,1.2,11,45
2015-01-28,25,优,11,23,24,0.8,11,49
2015-01-29,60,良,30,70,53,1.9,35,50
2015-01-30,56,良,29,61,42,1.9,29,45
2015-01-31,39,优,13,39,26,1.1,16,53
2015-02-01,42,优,18,42,31,1.2,24,47
2015-02-02,49,优,23,49,45,1.1,26,58
2015-02-03,67,良,37,85,58,1.9,39,51
2015-02-04,76,良,42,103,73,2,44,46
2015-02-05,72,良,38,93,53,1.5,35,53
2015-02-06,74,良,39,97,51,1.4,40,41
2015-02-07,71,良,34,93,59,1.5,29,58
2015-02-08,27,优,8,20,17,0.5,7,54
2015-02-09,32,优,8,25,21,0.5,7,64
2015-02-10,36,优,8,19,17,0.4,6,71
2015-02-11,28,优,9,26,31,0.6,12,56
2015-02-12,48,优,19,48,58,1.1,24,55
