日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,174,中度污染,132,181,12,2.3,49,54
2015-01-01,51,良,36,52,4,1.3,13,54
2015-01-02,40,优,24,40,4,0.9,13,65
2015-01-03,128,轻度污染,97,142,12,2.4,41,59
2015-01-04,251,重度污染,201,234,23,4.7,63,33
2015-01-05,210,重度污染,160,235,14,3.4,57,29
2015-01-06,79,良,58,84,5,1.5,18,50
2015-01-07,34,优,20,34,3,0.7,10,55
2015-01-08,34,优,21,34,3,0.8,9,59
2015-01-09,91,良,68,89,9,2,20,56
2015-01-10,138,轻度污染,106,135,11,2.5,24,51
2015-01-11,59,良,38,69,5,1.2,11,58
2015-01-12,53,良,32,56,5,1.2,12,60
2015-01-13,157,中度污染,120,193,17,2.7,31,48
2015-01-14,75,良,55,93,9,1.7,17,65
2015-01-15,106,轻度污染,80,113,11,1.8,19,65
2015-01-16,67,良,45,84,10,1.5,23,71
2015-01-17,45,优,19,37,7,0.5,4,90
2015-01-18,53,良,30,57,10,1,11,83
2015-01-19,49,优,25,49,6,0.5,7,74
2015-01-20,94,良,62,137,17,1.6,28,76
2015-01-21,160,中度污染,122,174,16,2.5,36,53
2015-01-22,180,中度污染,136,201,20,2.8,34,54
2015-01-23,169,中度污染,128,189,16,2.8,46,72
2015-01-24,199,中度污染,149,206,19,2.7,73,88
2015-01-25,189,中度污染,143,187,19,2.5,48,43
2015-01-26,129,轻度污染,99,149,19,1.4,25,69
2015-01-27,46,优,22,46,8,0.6,5,74
2015-01-28,38,优,21,36,10,0.6,9,75
2015-01-29,133,轻度污染,102,158,24,2.1,47,68
2015-01-30,154,中度污染,118,164,20,2.5,27,69
2015-01-31,56,良,40,62,11,1.1,32,72
2015-02-01,125,轻度污染,95,140,18,2.4,41,60
2015-02-02,106,轻度污染,80,100,15,1.7,27,81
2015-02-03,108,轻度污染,82,131,15,1.9,36,59
2015-02-04,159,中度污染,121,204,18,3.3,50,39
2015-02-05,118,轻度污染,90,142,14,1.9,39,67
2015-02-06,120,轻度污染,91,140,14,1.9,42,62
2015-02-07,92,良,69,104,10,1.1,65,69
2015-02-08,56,良,40,40,7,0.7,12,69
2015-02-09,46,优,29,46,5,0.5,8,78
2015-02-10,40,优,17,28,7,0.5,7,79
2015-02-11,70,良,51,71,11,1.2,23,79
2015-02-12,144,轻度污染,110,137,15,2.3,39,61
2015-02-13,89,良,66,94,13,1.8,28,80
2015-02-14,57,良,33,64,9,0.7,14,83
2015-02-15,64,良,43,77,10,1,24,78
2015-02-16,88,良,66,92,10,1.1,25,76
2015-02-17,69,良,50,68,11,1,25,78
2015-02-18,54,良,30,57,16,0.7,14,80
2015-02-19,102,轻度污染,76,107,18,1.3,24,81
2015-02-20,122,轻度污染,93,128,11,1.7,26,83
2015-02-21,54,良,35,58,9,0.5,17,97
2015-02-22,73,良,35,96,7,0.5,14,97
2015-02-23,142,轻度污染,94,234,8,1.1,15,98
2015-02-24,59,良,42,56,7,0.9,17,100
2015-02-25,114,轻度污染,86,116,10,1.8,33,93
2015-02-26,150,轻度污染,115,138,16,1.5,43,78
2015-02-27,51,良,35,51,6,0.7,16,88
2015-02-28,91,良,68,95,14,1.1,32,104
2015-03-01,78,良,58,79,12,0.7,20,82
2015-03-02,112,轻度污染,85,111,13,1,29,105
2015-03-03,76,良,56,82,11,0.7,21,101
2015-03-04,51,良,31,52,8,0.4,14,94
2015-03-05,63,良,45,73,11,0.8,16,90
2015-03-06,92,良,68,105,13,1.5,39,95
2015-03-07,87,良,65,108,14,1.2,25,108
2015-03-08,68,良,47,86,12,1,22,99
2015-03-09,62,良,20,42,7,0.4,9,114
2015-03-10,71,良,15,49,4,0.3,4,125
2015-03-11,81,良,14,44,4,0.3,4,137
2015-03-12,84,良,18,29,6,0.6,5,141
2015-03-13,91,良,36,60,8,0.7,15,149
2015-03-14,91,良,65,107,10,1.3,26,149
2015-03-15,92,良,65,133,12,1.4,27,116
2015-03-16,105,轻度污染,72,161,10,1,22,104
2015-03-17,71,良,40,64,5,0.7,11,125
2015-03-18,103,轻度污染,45,83,7,1,18,163
2015-03-19,79,良,54,87,7,1.1,19,135
2015-03-20,65,良,44,81,8,0.9,14,102
2015-03-21,68,良,39,86,8,0.8,13,102
2015-03-22,52,良,24,54,4,0.4,6,90
2015-03-23,45,优,16,44,3,0.3,7,89
2015-03-24,51,良,19,49,4,0.5,13,101
2015-03-25,88,良,59,126,10,1.1,38,122
2015-03-26,109,轻度污染,73,168,11,1.1,39,131
2015-03-27,115,轻度污染,103,283,14,1.3,42,130
2015-03-28,56,良,40,61,5,0.7,32,102
2015-03-29,58,良,42,56,5,0.8,22,93
2015-03-30,103,轻度污染,78,117,9,1.1,35,94
2015-03-31,49,优,26,47,5,0.6,19,98
2015-04-01,71,良,52,81,6,1,23,116
2015-04-02,70,良,51,89,4,0.7,24,98
2015-04-03,45,优,23,42,4,0.4,15,89
2015-04-04,42,优,22,42,3,0.4,14,84
2015-04-05,51,良,24,52,3,0.5,16,77
2015-04-06,46,优,24,37,4,0.5,9,91
2015-04-07,46,优,21,36,5,0.6,13,91
2015-04-08,64,良,34,79,7,0.8,25,92
2015-04-09,75,良,55,80,7,0.7,29,86
2015-04-10,63,良,44,76,7,0.9,31,87
2015-04-11,52,良,32,53,5,0.9,20,102
2015-04-12,68,良,42,86,10,0.7,29,110
2015-04-13,80,良,48,111,11,0.8,35,105
2015-04-14,86,良,45,122,13,0.9,33,117
2015-04-15,78,良,51,106,14,0.9,30,122
2015-04-16,84,良,61,118,11,0.7,25,90
2015-04-17,81,良,60,92,8,0.8,24,79
2015-04-18,40,优,28,38,7,0.5,17,77
2015-04-19,63,良,42,76,12,0.9,25,101
2015-04-20,102,轻度污染,72,155,12,1.1,33,111
2015-04-21,56,良,34,62,9,0.6,16,88
2015-04-22,65,良,44,81,12,0.7,23,115
2015-04-23,82,良,44,113,12,0.6,18,101
2015-04-24,55,良,26,60,8,0.7,14,105
2015-04-25,102,轻度污染,64,153,12,1.4,30,122
2015-04-26,112,轻度污染,74,142,17,1.4,26,173
2015-04-27,59,良,25,54,15,0.6,13,111
2015-04-28,67,良,37,85,16,0.7,20,118
2015-04-29,105,轻度污染,64,148,18,1.1,27,166
2015-04-30,80,良,46,110,12,0.5,11,129
2015-05-01,73,良,36,93,10,0.7,17,127
2015-05-02,83,良,62,92,8,0.6,15,117
2015-05-03,90,良,62,130,11,0.9,18,131
2015-05-04,62,良,28,74,7,0.5,12,98
2015-05-05,57,良,25,63,5,0.6,12,99
2015-05-06,45,优,19,39,3,0.4,5,90
2015-05-07,45,优,14,29,3,0.4,6,89
2015-05-08,47,优,17,34,3,0.6,8,94
2015-05-09,55,良,21,49,5,0.7,11,106
2015-05-10,71,良,18,49,4,0.4,6,125
2015-05-11,78,良,31,69,6,0.7,12,133
2015-05-12,54,良,32,43,3,0.5,11,105
2015-05-13,58,良,23,44,4,0.6,12,110
2015-05-14,40,优,21,38,3,0.5,11,80
2015-05-15,45,优,25,43,7,0.9,9,89
2015-05-16,43,优,25,37,4,0.4,12,85
2015-05-17,47,优,27,47,3,0.6,12,88
2015-05-18,54,良,26,58,3,0.4,9,102
2015-05-19,45,优,24,36,3,0.5,8,90
2015-05-20,68,良,40,86,5,0.8,15,103
2015-05-21,76,良,47,102,7,0.8,16,97
2015-05-22,68,良,37,86,4,0.6,13,100
2015-05-23,63,良,34,77,3,0.5,11,89
2015-05-24,61,良,33,72,3,0.5,10,95
2015-05-25,43,优,29,36,3,0.7,8,86
2015-05-26,54,良,37,58,6,0.6,13,93
2015-05-27,65,良,42,80,9,0.7,18,110
2015-05-28,87,良,65,124,11,0.8,22,120
2015-05-29,99,良,74,111,9,0.6,17,116
2015-05-30,48,优,33,45,7,0.3,8,87
2015-05-31,56,良,34,62,9,0.5,16,103
2015-06-01,63,良,45,58,7,0.5,12,85
2015-06-02,57,良,37,65,7,0.7,14,79
2015-06-03,53,良,34,55,6,0.8,11,69
2015-06-04,64,良,41,78,7,0.6,12,78
2015-06-05,52,良,31,54,6,0.4,11,66
2015-06-06,51,良,33,51,6,0.5,12,94
2015-06-07,57,良,41,53,6,0.5,17,68
2015-06-08,55,良,39,61,7,0.4,13,87
2015-06-09,71,良,52,85,8,0.6,18,94
2015-06-10,72,良,53,82,8,0.6,16,94
2015-06-11,64,良,46,70,7,0.5,12,95
