»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,95,¡º,53,139,30,0.7,30,110
2015-01-01,68,¡º,42,87,33,0.5,31,73
2015-01-02,87,¡º,65,94,49,0.8,36,68
2015-01-03,113,«·∂»Œ€»æ,85,119,62,0.8,46,84
2015-01-04,107,«·∂»Œ€»æ,81,125,69,1.1,45,107
2015-01-05,135,«·∂»Œ€»æ,103,144,129,1.1,61,65
2015-01-06,141,«·∂»Œ€»æ,108,44,27,1.3,44,40
2015-01-07,52,¡º,37,39,22,0.9,31,60
2015-01-08,74,¡º,54,79,37,1,33,60
2015-01-09,103,«·∂»Œ€»æ,77,106,58,1.1,38,74
2015-01-10,143,«·∂»Œ€»æ,109,143,53,1.4,53,61
2015-01-11,155,÷–∂»Œ€»æ,119,159,79,1.3,57,66
2015-01-12,131,«·∂»Œ€»æ,100,110,43,1,55,47
2015-01-13,57,¡º,41,15,31,0.6,32,52
2015-01-14,48,”≈,33,41,15,0.7,29,49
2015-01-15,50,”≈,31,50,18,0.7,29,63
2015-01-16,67,¡º,49,67,30,0.8,31,83
2015-01-17,96,¡º,72,104,42,1,37,118
2015-01-18,200,÷–∂»Œ€»æ,150,167,73,1.3,54,69
2015-01-19,120,«·∂»Œ€»æ,91,132,58,1.1,45,109
2015-01-20,89,¡º,66,100,40,0.8,46,71
2015-01-21,89,¡º,66,94,30,0.9,41,111
2015-01-22,74,¡º,49,98,31,0.8,38,93
2015-01-23,95,¡º,71,110,78,0.8,49,81
2015-01-24,92,¡º,69,115,75,1.2,49,103
2015-01-25,103,«·∂»Œ€»æ,77,110,67,1,62,55
2015-01-26,210,÷ÿ∂»Œ€»æ,160,180,15,1.4,53,31
2015-01-27,88,¡º,65,75,15,1.8,57,19
2015-01-28,28,”≈,19,28,26,0.8,36,24
2015-01-29,16,”≈,11,15,14,0.8,27,15
2015-01-30,30,”≈,21,28,12,0.6,25,18
2015-01-31,90,¡º,67,79,34,0.8,33,39
2015-02-01,104,«·∂»Œ€»æ,78,96,43,1,38,28
2015-02-02,70,¡º,51,64,37,1.1,42,22
2015-02-03,48,”≈,34,44,16,1,31,22
2015-02-04,91,¡º,68,102,23,1.1,46,52
2015-02-05,78,¡º,58,96,38,0.7,43,110
2015-02-06,78,¡º,58,96,35,0.9,45,110
2015-02-07,83,¡º,61,102,42,0.9,42,98
2015-02-08,92,¡º,69,105,33,0.7,40,129
2015-02-09,63,¡º,37,75,37,0.5,29,114
2015-02-10,68,¡º,46,86,42,0.7,42,99
2015-02-11,80,¡º,55,90,31,1,38,136
2015-02-12,83,¡º,58,99,24,1.1,36,139
2015-02-13,77,¡º,51,105,38,0.7,31,128
2015-02-14,84,¡º,62,116,33,0.7,34,93
2015-02-15,58,¡º,38,66,24,0.7,24,88
2015-02-16,92,¡º,69,116,23,1.7,23,137
2015-02-17,118,«·∂»Œ€»æ,89,152,25,1.5,27,138
2015-02-18,106,«·∂»Œ€»æ,80,137,29,1.2,20,124
2015-02-19,116,«·∂»Œ€»æ,87,157,33,0.9,15,135
2015-02-20,71,¡º,52,76,21,1,15,99
2015-02-21,27,”≈,16,23,14,0.9,14,54
2015-02-22,43,”≈,28,43,14,0.9,12,80
2015-02-23,55,¡º,39,51,15,1.2,15,59
2015-02-24,41,”≈,26,41,16,1.1,11,45
2015-02-25,35,”≈,23,35,19,1.2,20,37
2015-02-26,29,”≈,6,11,15,0.6,13,58
2015-02-27,36,”≈,8,14,16,0.8,10,71
2015-02-28,37,”≈,5,10,17,0.5,11,73
2015-03-01,44,”≈,11,21,12,0.5,8,87
2015-03-02,33,”≈,18,30,13,0.6,16,66
2015-03-03,33,”≈,21,33,14,0.7,17,65
2015-03-04,62,¡º,39,73,18,0.7,23,72
2015-03-05,34,”≈,13,25,15,0.6,19,68
2015-03-06,28,”≈,19,28,12,0.7,16,36
2015-03-07,44,”≈,25,44,20,0.9,23,31
2015-03-08,21,”≈,13,21,15,0.8,27,17
2015-03-09,50,”≈,25,45,17,0.8,18,100
2015-03-10,57,¡º,39,65,28,0.7,20,95
2015-03-11,64,¡º,44,79,56,1,27,82
2015-03-12,67,¡º,35,85,26,0.7,29,116
2015-03-13,56,¡º,26,61,21,0.6,27,96
2015-03-14,55,¡º,39,61,37,0.8,36,63
2015-03-15,51,¡º,35,53,48,1.2,38,54
2015-03-16,54,¡º,34,57,47,1.4,40,30
2015-03-17,58,¡º,34,66,43,1.2,27,86
2015-03-18,43,”≈,17,39,17,0.7,17,86
2015-03-19,40,”≈,8,19,14,0.9,17,80
2015-03-20,44,”≈,25,44,16,1.3,23,63
2015-03-21,45,”≈,22,42,14,1,19,90
2015-03-22,68,¡º,33,72,41,1.1,28,121
2015-03-23,67,¡º,41,84,42,0.9,21,110
2015-03-24,72,¡º,24,75,42,0.7,20,126
