»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,82,¡º,39,114,19,0.8,23,75
2015-01-01,72,¡º,37,93,25,0.8,38,57
2015-01-02,75,¡º,55,96,26,0.9,40,44
2015-01-03,104,«·∂»Œ€»æ,78,135,61,1.4,60,39
2015-01-04,121,«·∂»Œ€»æ,91,147,53,1.5,44,98
2015-01-05,134,«·∂»Œ€»æ,102,154,50,1.7,44,85
2015-01-06,219,÷ÿ∂»Œ€»æ,169,215,32,2.7,46,48
2015-01-07,103,«·∂»Œ€»æ,78,138,26,2.4,50,53
2015-01-08,147,«·∂»Œ€»æ,113,163,34,2.3,56,72
2015-01-09,190,÷–∂»Œ€»æ,143,215,37,2.8,74,67
2015-01-10,210,÷ÿ∂»Œ€»æ,160,213,39,2.7,74,71
2015-01-11,183,÷–∂»Œ€»æ,138,184,31,2.2,64,89
2015-01-12,187,÷–∂»Œ€»æ,141,188,39,2,61,52
2015-01-13,117,«·∂»Œ€»æ,89,118,25,1.4,46,49
2015-01-14,100,¡º,75,97,10,1.2,41,69
2015-01-15,114,«·∂»Œ€»æ,86,114,14,1.3,43,57
2015-01-16,123,«·∂»Œ€»æ,94,132,22,1.2,37,89
2015-01-17,148,«·∂»Œ€»æ,113,152,38,1.4,40,100
2015-01-18,143,«·∂»Œ€»æ,109,155,36,1.6,45,81
2015-01-19,170,÷–∂»Œ€»æ,129,179,29,1.7,49,82
2015-01-20,125,«·∂»Œ€»æ,95,136,52,1.7,62,70
2015-01-21,130,«·∂»Œ€»æ,99,174,30,1.6,49,75
2015-01-22,118,«·∂»Œ€»æ,89,134,36,1.5,38,82
2015-01-23,98,¡º,73,106,32,1.4,45,62
2015-01-24,109,«·∂»Œ€»æ,82,123,32,1.5,44,85
2015-01-25,242,÷ÿ∂»Œ€»æ,192,261,22,2.9,49,42
2015-01-26,256,÷ÿ∂»Œ€»æ,206,270,19,3.3,42,27
2015-01-27,129,«·∂»Œ€»æ,99,128,12,2.2,24,52
2015-01-28,39,”≈,27,31,5,1,19,33
2015-01-29,63,¡º,45,52,6,1.3,20,34
2015-01-30,82,¡º,60,71,20,1.3,20,46
2015-01-31,108,«·∂»Œ€»æ,81,93,12,1.6,22,66
2015-02-01,120,«·∂»Œ€»æ,91,110,13,1.9,33,56
2015-02-02,108,«·∂»Œ€»æ,82,97,10,1.9,35,33
2015-02-03,120,«·∂»Œ€»æ,91,108,5,1.8,24,53
2015-02-04,194,÷–∂»Œ€»æ,146,170,31,2.4,38,104
2015-02-05,219,÷ÿ∂»Œ€»æ,169,204,43,2.6,45,111
2015-02-06,114,«·∂»Œ€»æ,86,120,42,2,56,86
2015-02-07,146,«·∂»Œ€»æ,112,150,33,2.4,61,57
2015-02-08,167,÷–∂»Œ€»æ,127,168,41,2.3,42,81
2015-02-09,59,¡º,42,65,23,1.6,35,74
2015-02-10,79,¡º,58,83,34,1.8,40,80
2015-02-11,150,«·∂»Œ€»æ,115,152,23,2.4,41,104
2015-02-12,184,÷–∂»Œ€»æ,139,185,21,2.7,45,109
2015-02-13,185,÷–∂»Œ€»æ,140,174,19,2.4,35,136
2015-02-14,157,÷–∂»Œ€»æ,120,162,17,2.4,34,105
2015-02-15,103,«·∂»Œ€»æ,78,107,9,2.4,32,87
2015-02-16,146,«·∂»Œ€»æ,112,171,12,2.9,28,101
2015-02-17,195,÷–∂»Œ€»æ,146,224,17,2.9,31,142
2015-02-18,158,÷–∂»Œ€»æ,120,182,15,2.5,18,120
2015-02-19,167,÷–∂»Œ€»æ,127,182,38,2.1,19,90
2015-02-20,57,¡º,40,51,2,1.9,8,69
2015-02-21,67,¡º,48,50,5,2,15,71
2015-02-22,114,«·∂»Œ€»æ,86,109,4,2.5,17,63
2015-02-23,93,¡º,69,86,4,2.2,13,73
2015-02-24,104,«·∂»Œ€»æ,79,98,9,2.6,20,59
2015-02-25,75,¡º,55,66,2,2.6,17,48
2015-02-26,58,¡º,41,50,6,2.1,21,51
2015-02-27,45,”≈,32,39,2,2,13,67
2015-02-28,34,”≈,16,21,9,1.7,11,68
2015-03-01,68,¡º,50,61,12,2.1,26,81
2015-03-02,87,¡º,65,82,19,2.3,29,85
2015-03-03,97,¡º,64,144,9,2,23,88
2015-03-04,76,¡º,47,103,10,1.9,21,82
2015-03-05,63,¡º,41,77,8,2,16,72
2015-03-06,115,«·∂»Œ€»æ,87,109,18,2.3,27,59
2015-03-07,99,¡º,74,103,20,2.4,32,93
2015-03-08,68,¡º,49,67,12,2.4,29,75
2015-03-09,112,«·∂»Œ€»æ,85,114,17,2.5,33,93
2015-03-10,148,«·∂»Œ€»æ,114,146,11,1.9,27,88
2015-03-11,74,¡º,54,81,34,1.4,45,76
2015-03-12,101,«·∂»Œ€»æ,76,108,31,1.6,33,114
2015-03-13,91,¡º,68,101,19,1.5,34,109
2015-03-14,100,¡º,75,105,23,1.7,41,66
2015-03-15,106,«·∂»Œ€»æ,80,107,13,2.2,33,39
2015-03-16,91,¡º,68,94,20,2.3,37,65
2015-03-17,54,¡º,36,58,9,2,22,54
2015-03-18,24,”≈,17,22,8,2.1,20,36
2015-03-19,39,”≈,27,36,4,1.9,20,41
2015-03-20,49,”≈,35,43,3,1.8,19,65
2015-03-21,100,¡º,75,101,14,2.1,46,111
2015-03-22,87,¡º,65,95,14,1.8,30,122
2015-03-23,78,¡º,55,105,21,1.5,23,134
2015-03-24,78,¡º,50,107,21,1.4,34,103
2015-03-25,76,¡º,42,82,27,1.3,36,131
2015-03-26,62,¡º,43,70,21,1.3,33,114
2015-03-27,70,¡º,48,61,2,1.4,18,110
2015-03-28,81,¡º,60,88,20,2.1,52,108
2015-03-29,91,¡º,68,103,11,2.2,26,86
2015-03-30,58,¡º,41,63,11,2,23,83
2015-03-31,67,¡º,48,73,15,1.9,19,100
2015-04-01,73,¡º,53,85,17,1.7,18,105
2015-04-02,48,”≈,23,36,10,2,18,96
2015-04-03,55,¡º,39,60,11,2.3,27,73
2015-04-04,46,”≈,32,42,5,2.7,18,75
2015-04-05,42,”≈,30,37,2,2.5,11,80
2015-04-06,54,¡º,39,47,2,2.2,12,94
2015-04-07,65,¡º,47,64,2,1.9,11,81
2015-04-08,43,”≈,28,39,21,1.8,17,86
2015-04-09,62,¡º,45,61,19,2,27,94
2015-04-10,87,¡º,65,89,21,2.6,49,134
2015-04-11,104,«·∂»Œ€»æ,78,112,25,2.7,42,163
2015-04-12,81,¡º,56,111,16,2,25,116
2015-04-13,65,¡º,27,70,12,1.6,22,118
2015-04-14,88,¡º,42,70,19,1.9,23,146
2015-04-15,78,¡º,57,96,29,2.3,40,118
2015-04-16,89,¡º,66,95,15,2.3,21,139
2015-04-17,94,¡º,70,118,24,2.3,26,131
2015-04-18,92,¡º,68,99,21,2.4,26,125
2015-04-19,69,¡º,29,88,14,3,13,80
2015-04-20,46,”≈,18,28,32,1.9,15,92
2015-04-21,83,¡º,39,57,8,1.7,26,140
2015-04-22,88,¡º,58,87,18,2.1,34,146
2015-04-23,94,¡º,70,105,34,2.3,52,113
2015-04-24,116,«·∂»Œ€»æ,88,137,24,2.1,51,118
2015-04-25,114,«·∂»Œ€»æ,86,127,21,1.6,36,171
2015-04-26,127,«·∂»Œ€»æ,74,108,33,1.5,45,190
2015-04-27,88,¡º,64,96,26,1.4,32,145
2015-04-28,84,¡º,62,92,18,1.5,25,128
2015-04-29,99,¡º,63,109,10,1.5,17,159
2015-04-30,112,«·∂»Œ€»æ,56,81,19,1.3,28,173
2015-05-01,90,¡º,67,105,19,1.6,32,140
2015-05-02,47,”≈,29,43,4,1.5,15,94
2015-05-03,82,¡º,45,56,5,1.6,18,138
2015-05-04,72,¡º,53,72,11,1.6,23,116
2015-05-05,98,¡º,63,84,22,1.7,25,158
2015-05-06,111,«·∂»Œ€»æ,84,107,22,1.9,31,158
2015-05-07,98,¡º,73,100,17,1.9,23,134
2015-05-08,66,¡º,48,65,4,2,15,88
2015-05-09,103,«·∂»Œ€»æ,66,86,13,1.7,24,163
2015-05-10,96,¡º,72,97,15,1.7,26,142
2015-05-11,63,¡º,40,66,30,1.3,14,115
2015-05-12,74,¡º,41,94,7,1.3,24,129
2015-05-13,74,¡º,55,92,28,1.4,33,95
2015-05-14,69,¡º,50,74,20,1.6,30,73
2015-05-15,44,”≈,29,43,3,1.6,12,87
2015-05-16,75,¡º,50,67,7,1.7,11,130
2015-05-17,109,«·∂»Œ€»æ,74,100,25,2.2,26,170
2015-05-18,142,«·∂»Œ€»æ,108,130,8,2.5,28,130
2015-05-19,132,«·∂»Œ€»æ,100,126,6,3.2,31,155
2015-05-20,124,«·∂»Œ€»æ,94,125,7,2.7,21,157
2015-05-21,132,«·∂»Œ€»æ,41,66,15,1.6,19,195
2015-05-22,136,«·∂»Œ€»æ,82,118,15,2,22,200
2015-05-23,121,«·∂»Œ€»æ,91,114,8,2.1,20,141
2015-05-24,170,÷–∂»Œ€»æ,114,147,21,2.4,36,235
2015-05-25,170,÷–∂»Œ€»æ,129,184,41,2.5,43,178
2015-05-26,133,«·∂»Œ€»æ,101,132,3,1.9,11,138
2015-05-27,113,«·∂»Œ€»æ,86,107,6,2,11,101
2015-05-28,130,«·∂»Œ€»æ,99,120,36,2.7,21,130
2015-05-29,74,¡º,54,74,3,2.8,14,97
2015-05-30,78,¡º,32,37,9,2.6,12,134
2015-05-31,89,¡º,66,97,15,3,31,97
2015-06-01,111,«·∂»Œ€»æ,84,107,14,2.2,19,107
2015-06-02,56,¡º,39,61,1,2,18,92
2015-06-03,47,”≈,33,46,6,1.7,24,72
2015-06-04,64,¡º,46,64,20,1.9,30,89
2015-06-05,71,¡º,36,50,3,1.4,21,125
2015-06-06,116,«·∂»Œ€»æ,49,83,5,1.6,21,178
2015-06-07,84,¡º,33,49,3,1.3,13,141
2015-06-08,48,”≈,20,28,1,1.4,13,95
2015-06-09,83,¡º,48,66,5,2.1,25,139
2015-06-10,78,¡º,50,73,7,2,24,134
2015-06-11,93,¡º,47,88,3,1.5,22,152
2015-06-12,132,«·∂»Œ€»æ,49,113,14,1.6,28,195
2015-06-13,108,«·∂»Œ€»æ,66,124,21,1.8,28,169
2015-06-14,59,¡º,32,58,4,1.3,14,111
2015-06-15,51,¡º,27,53,7,1.5,14,82
2015-06-16,68,¡º,46,70,2,1.8,17,122
2015-06-17,42,”≈,15,31,2,1.8,11,84
2015-06-18,60,¡º,25,38,7,1.9,16,112
2015-06-19,110,«·∂»Œ€»æ,62,80,17,2.3,22,171
2015-06-20,89,¡º,48,69,7,1.1,14,147
2015-06-21,81,¡º,54,68,2,1,7,137
2015-06-22,78,¡º,39,47,4,1.1,13,133
2015-06-23,79,¡º,49,70,4,1.2,15,135
2015-06-24,73,¡º,45,65,2,1.1,16,128
2015-06-25,52,¡º,29,54,12,1.1,17,84
2015-06-26,62,¡º,31,50,3,1.3,10,114
2015-06-27,52,¡º,33,54,2,0.9,12,83
2015-06-28,70,¡º,29,47,1,1.1,10,124
