»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,72,¡º,38,93,26,0.5,16,72
2015-01-01,72,¡º,52,94,33,0.5,17,79
2015-01-02,72,¡º,53,95,29,0.5,17,68
2015-01-03,64,¡º,38,77,51,0.4,17,62
2015-01-04,116,«·∂»Œ€»æ,85,182,41,1.1,25,84
2015-01-05,78,¡º,57,95,21,0.5,19,82
2015-01-06,56,¡º,40,58,17,0.4,13,87
2015-01-07,55,¡º,34,59,45,0.3,16,82
2015-01-08,96,¡º,72,107,32,0.5,20,76
2015-01-09,58,¡º,38,66,49,0.4,20,76
2015-01-10,60,¡º,37,70,40,0.5,18,74
2015-01-11,61,¡º,44,70,31,0.5,17,65
2015-01-12,55,¡º,32,61,31,0.4,15,68
2015-01-13,64,¡º,37,78,25,0.6,17,43
2015-01-14,65,¡º,42,80,20,0.7,17,46
2015-01-15,85,¡º,63,113,14,0.7,17,66
2015-01-16,98,¡º,74,136,25,0.9,23,57
2015-01-17,196,÷–∂»Œ€»æ,75,342,19,0.8,19,63
2015-01-18,59,¡º,30,69,20,0.6,14,52
2015-01-19,56,¡º,33,63,26,0.6,16,46
2015-01-20,68,¡º,32,85,19,0.6,14,51
2015-01-21,62,¡º,39,74,41,0.8,19,47
2015-01-22,59,¡º,34,67,33,0.7,19,37
2015-01-23,69,¡º,43,88,63,0.7,24,32
2015-01-24,91,¡º,68,123,39,0.9,21,41
2015-01-25,106,«·∂»Œ€»æ,68,162,27,0.9,19,86
2015-01-26,105,«·∂»Œ€»æ,68,159,35,0.9,22,84
2015-01-27,101,«·∂»Œ€»æ,60,152,29,0.8,17,85
2015-01-28,117,«·∂»Œ€»æ,89,162,28,0.7,22,79
2015-01-29,113,«·∂»Œ€»æ,85,153,35,0.9,24,71
2015-01-30,118,«·∂»Œ€»æ,89,155,22,1,21,74
2015-01-31,101,«·∂»Œ€»æ,76,117,30,0.5,22,82
2015-02-01,74,¡º,49,99,39,0.8,20,74
2015-02-02,100,¡º,75,140,35,1.1,23,72
2015-02-03,105,«·∂»Œ€»æ,79,125,19,0.8,17,88
2015-02-04,113,«·∂»Œ€»æ,86,121,18,0.8,18,87
2015-02-05,110,«·∂»Œ€»æ,83,106,20,0.9,20,84
2015-02-06,132,«·∂»Œ€»æ,100,146,36,1.1,26,86
2015-02-08,57,¡º,15,64,13,0.5,18,46
2015-02-09,66,¡º,40,81,16,0.1,15,72
2015-02-10,113,«·∂»Œ€»æ,50,176,16,0.5,13,80
2015-02-11,82,¡º,41,114,24,0.8,15,79
2015-02-12,58,¡º,31,65,26,0.8,14,76
2015-02-13,67,¡º,33,83,30,0.6,15,71
2015-02-14,75,¡º,41,100,19,0.7,11,98
2015-02-15,179,÷–∂»Œ€»æ,67,308,46,0.8,15,99
2015-02-16,82,¡º,36,113,30,0.4,11,92
2015-02-17,62,¡º,36,74,36,0.4,11,77
2015-02-18,79,¡º,53,109,20,0.8,12,102
2015-02-19,134,«·∂»Œ€»æ,103,174,29,1.2,17,99
2015-02-20,129,«·∂»Œ€»æ,75,208,26,0.8,14,97
2015-02-21,111,«·∂»Œ€»æ,63,173,29,0.7,13,89
2015-02-22,89,¡º,47,128,20,0.5,11,101
2015-02-23,95,¡º,45,139,22,0.2,10,97
2015-02-24,116,«·∂»Œ€»æ,67,182,39,1.4,17,88
2015-02-25,82,¡º,48,115,19,0.8,11,88
2015-02-26,99,¡º,64,148,18,0.6,13,81
2015-02-27,109,«·∂»Œ€»æ,73,169,15,0.9,14,75
2015-02-28,115,«·∂»Œ€»æ,67,181,19,0.6,15,81
2015-03-01,103,«·∂»Œ€»æ,68,156,31,1.1,19,83
2015-03-02,125,«·∂»Œ€»æ,87,199,26,0.9,17,108
2015-03-03,259,÷ÿ∂»Œ€»æ,87,391,25,1,13,95
2015-03-04,245,÷ÿ∂»Œ€»æ,94,381,17,0.8,13,94
2015-03-05,113,«·∂»Œ€»æ,60,176,16,1.8,12,96
2015-03-06,102,«·∂»Œ€»æ,64,154,24,1.1,14,103
2015-03-07,88,¡º,57,126,33,1,15,115
2015-03-08,79,¡º,44,109,18,0.6,13,114
2015-03-09,105,«·∂»Œ€»æ,57,159,16,2.6,12,111
2015-03-10,131,«·∂»Œ€»æ,77,212,25,0.2,16,112
2015-03-11,97,¡º,48,144,14,1,12,112
2015-03-12,104,«·∂»Œ€»æ,43,157,49,0.9,16,92
2015-03-13,123,«·∂»Œ€»æ,67,195,19,1.6,15,120
2015-03-14,206,÷ÿ∂»Œ€»æ,89,354,25,1.1,13,101
2015-03-15,154,÷–∂»Œ€»æ,74,258,22,1.7,14,94
2015-03-16,122,«·∂»Œ€»æ,60,194,31,1,15,110
2015-03-17,128,«·∂»Œ€»æ,78,206,14,2.2,13,110
2015-03-18,144,«·∂»Œ€»æ,79,238,19,1.8,18,111
2015-03-19,107,«·∂»Œ€»æ,74,165,15,1.9,15,109
2015-03-20,115,«·∂»Œ€»æ,69,180,16,0.8,14,94
2015-03-21,110,«·∂»Œ€»æ,61,169,23,1.6,14,108
2015-03-22,91,¡º,65,132,16,1.8,14,94
2015-03-23,89,¡º,51,127,11,2.5,11,102
2015-03-24,75,¡º,45,100,12,0.8,11,105
2015-03-26,78,¡º,49,106,19,0.5,15,122
2015-03-27,100,¡º,59,99,13,0.4,13,122
2015-03-28,153,÷–∂»Œ€»æ,69,256,12,0.8,12,112
2015-03-29,89,¡º,41,128,13,0.9,12,94
2015-03-30,101,«·∂»Œ€»æ,57,152,16,2.8,16,103
2015-03-31,116,«·∂»Œ€»æ,71,183,13,0.6,12,136
2015-04-01,228,÷ÿ∂»Œ€»æ,178,322,16,0.6,14,129
2015-04-02,110,«·∂»Œ€»æ,60,170,6,0.4,9,103
2015-04-03,166,÷–∂»Œ€»æ,85,281,10,0.6,11,93
2015-04-04,171,÷–∂»Œ€»æ,99,293,8,0.7,12,86
2015-04-05,141,«·∂»Œ€»æ,73,231,7,0.4,11,96
2015-04-06,75,¡º,55,71,6,0.2,10,109
2015-04-07,67,¡º,48,75,11,0.2,10,110
2015-04-08,71,¡º,46,91,7,0.5,9,101
2015-04-09,72,¡º,53,91,8,0.5,10,110
2015-04-10,68,¡º,50,80,12,0.4,10,106
2015-04-11,68,¡º,49,86,7,0.3,10,113
2015-04-12,54,¡º,28,58,7,0.2,9,105
2015-04-13,58,¡º,33,66,7,0.2,10,101
2015-04-14,94,¡º,53,138,23,0.3,14,102
2015-04-15,95,¡º,44,140,12,0.2,11,104
2015-04-16,129,«·∂»Œ€»æ,61,208,10,0.1,10,108
2015-04-17,136,«·∂»Œ€»æ,79,222,12,0.4,14,125
2015-04-18,78,¡º,57,87,5,0.4,8,121
2015-04-19,81,¡º,42,112,3,0.3,8,118
2015-04-20,69,¡º,45,89,5,0.2,8,113
2015-04-21,70,¡º,39,62,5,0.3,8,124
2015-04-22,71,¡º,43,66,6,0.2,10,125
2015-04-23,78,¡º,48,75,7,0.6,10,134
2015-04-24,76,¡º,50,79,6,0.1,8,131
2015-04-25,76,¡º,55,101,5,2.5,10,116
2015-04-26,78,¡º,40,106,9,1.3,8,124
2015-04-27,76,¡º,35,62,5,2.4,7,131
2015-04-28,85,¡º,44,62,5,0.5,8,142
2015-04-29,76,¡º,43,69,7,0.5,8,131
2015-04-30,67,¡º,49,77,4,0.2,12,108
2015-05-01,80,¡º,54,110,9,0.3,10,115
2015-05-02,84,¡º,62,89,8,0.2,9,135
2015-05-03,74,¡º,51,35,6,1,6,129
2015-05-04,67,¡º,49,40,7,0.8,9,117
2015-05-05,70,¡º,51,84,8,0.1,9,118
2015-05-06,136,«·∂»Œ€»æ,73,222,11,0.1,9,134
2015-05-07,174,÷–∂»Œ€»æ,85,298,7,2.3,8,118
2015-05-08,80,¡º,39,110,7,0.3,9,124
2015-05-09,82,¡º,50,114,7,1.7,8,124
2015-05-10,111,«·∂»Œ€»æ,58,171,9,0.7,8,127
2015-05-11,73,¡º,33,61,5,1.7,8,128
2015-05-12,64,¡º,46,70,5,1,8,115
2015-05-13,90,¡º,43,80,10,0.2,8,148
2015-05-14,89,¡º,64,124,16,0.5,11,147
2015-05-15,83,¡º,62,107,10,2.5,9,125
2015-05-16,83,¡º,61,88,8,2.1,10,115
2015-05-17,65,¡º,47,77,7,1.4,9,118
2015-05-18,91,¡º,62,131,8,1.5,8,120
2015-05-19,94,¡º,62,138,7,1.6,7,135
2015-05-20,97,¡º,72,121,10,3.2,13,133
2015-05-21,103,«·∂»Œ€»æ,77,101,9,2.6,12,92
2015-05-22,90,¡º,67,75,8,1.8,9,121
2015-05-23,72,¡º,52,69,8,1.4,8,115
2015-05-24,61,¡º,27,45,6,0.8,7,113
2015-05-25,62,¡º,24,41,5,2.9,9,114
2015-05-26,68,¡º,32,57,4,4.9,10,121
2015-05-27,69,¡º,50,80,4,0,12,101
2015-05-28,76,¡º,56,100,2,0,11,81
2015-05-29,61,¡º,42,71,5,0,11,106
2015-05-30,61,¡º,42,71,3,0,11,111
2015-05-31,59,¡º,42,38,2,0,8,100
2015-06-01,59,¡º,42,48,3,0,9,93
2015-06-02,67,¡º,44,85,3,0,10,86
2015-06-03,62,¡º,40,75,7,0.6,13,84
2015-06-04,74,¡º,38,97,10,0,9,116
2015-06-05,65,¡º,30,68,9,0,8,118
2015-06-06,62,¡º,29,75,11,0.1,9,110
2015-06-07,86,¡º,50,121,12,0.1,11,107
2015-06-08,71,¡º,41,91,7,0.2,9,105
