日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,84,良,60,119,10,0.2,25,42
2015-01-01,52,良,34,55,7,0.1,24,37
2015-01-02,45,优,32,45,6,0.2,26,37
2015-01-03,53,良,37,47,6,0.3,27,38
2015-01-04,78,良,57,75,6,0.5,29,40
2015-01-05,103,轻度污染,77,91,5,0.5,29,34
2015-01-06,127,轻度污染,97,161,7,0.9,26,29
2015-01-07,52,良,35,54,5,0.6,22,28
2015-01-08,62,良,44,57,8,0.6,24,33
2015-01-09,75,良,55,70,6,0.5,26,33
2015-01-10,83,良,62,74,7,0.4,29,31
2015-01-11,81,良,60,67,6,0.4,27,35
2015-01-12,108,轻度污染,81,92,8,0.4,20,40
2015-01-13,46,优,31,46,5,0.1,14,33
2015-01-14,22,优,14,22,5,0.1,15,37
2015-01-15,44,优,31,34,6,0.2,16,30
2015-01-16,57,良,40,59,5,0.2,17,31
2015-01-17,112,轻度污染,84,124,7,0.4,18,39
2015-01-18,136,轻度污染,104,63,7,0.4,16,38
2015-01-19,86,良,64,79,6,0.3,18,35
2015-01-20,65,良,47,61,6,0.2,17,34
2015-01-21,60,良,43,47,6,0.3,17,32
2015-04-10,71,良,52,60,6,0.2,16,44
2015-04-11,74,良,54,63,6,0.2,15,46
2015-04-12,73,良,54,66,7,0.2,15,50
2015-04-13,53,良,32,55,5,0.1,14,49
2015-04-14,48,优,30,48,6,0.1,13,47
2015-04-15,56,良,40,59,5,0.1,16,43
2015-04-16,58,良,41,63,6,0.1,15,49
2015-04-17,77,良,56,83,6,0.2,15,47
2015-04-18,75,良,55,73,6,0.2,14,38
2015-04-19,50,优,33,50,5,0.2,12,32
2015-04-20,31,优,14,31,5,0.1,13,34
2015-04-21,51,良,35,51,5,0.1,14,38
2015-04-22,48,优,34,48,5,0.1,14,39
2015-04-23,53,良,37,56,6,0.2,15,40
2015-04-24,66,良,47,61,6,0.2,14,34
2015-04-25,60,良,43,64,5,0.2,11,42
2015-04-26,49,优,34,49,7,0.1,8,74
2015-04-27,54,良,38,55,6,0.1,8,81
2015-04-28,63,良,45,60,6,0.2,6,74
2015-04-29,63,良,45,62,7,0.2,6,87
2015-04-30,50,优,35,48,6,0.1,8,84
2015-05-01,59,良,42,62,6,0.1,8,92
2015-05-02,43,优,30,40,6,0.2,8,74
2015-05-03,44,优,29,41,7,0.1,6,88
2015-05-04,77,良,57,72,6,0.2,7,85
2015-05-05,75,良,55,74,6,0.2,6,84
2015-05-06,55,良,39,50,6,0.2,8,71
2015-05-07,56,良,40,48,6,0.1,8,72
2015-05-08,49,优,34,45,5,0.2,8,59
2015-05-09,49,优,34,45,5,0.2,8,77
2015-05-10,57,良,40,53,5,0.2,8,73
2015-05-11,31,优,13,21,5,0.1,6,61
2015-05-12,42,优,24,42,9,0.1,7,65
2015-05-13,46,优,32,46,6,0.1,9,57
2015-05-14,41,优,29,32,7,0.1,8,45
2015-05-15,24,优,14,22,7,0.1,9,47
2015-05-16,28,优,19,28,7,0.1,11,53
2015-05-17,42,优,29,36,7,0.1,11,54
2015-05-18,47,优,33,32,9,0.2,11,39
2015-05-19,26,优,17,24,8,0.2,9,52
2015-05-20,69,良,51,66,9,0.2,9,85
2015-05-21,51,良,36,51,9,0.1,10,73
2015-05-22,57,良,39,50,10,0.2,14,108
2015-05-23,104,轻度污染,78,97,11,0.2,14,136
2015-05-24,126,轻度污染,96,111,10,0.3,15,117
2015-05-25,93,良,69,82,8,0.2,14,113
2015-05-26,102,轻度污染,77,89,11,0.2,14,108
2015-05-27,80,良,59,67,6,0.2,11,59
2015-05-28,57,良,36,65,5,0.3,12,48
