»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,96,¡º,54,143,33,1.2,35,58
2015-01-01,74,¡º,36,98,27,1.1,36,45
2015-01-02,85,¡º,58,120,63,1.6,61,29
2015-01-03,103,«·∂»Œ€»æ,77,140,68,1.9,70,33
2015-01-04,143,«·∂»Œ€»æ,110,182,86,2.2,73,61
2015-01-05,160,÷–∂»Œ€»æ,122,251,56,2.2,73,52
2015-01-06,212,÷ÿ∂»Œ€»æ,162,217,17,2.3,49,20
2015-01-07,162,÷–∂»Œ€»æ,124,184,36,2.5,54,35
2015-01-08,181,÷–∂»Œ€»æ,137,205,46,2.9,67,41
2015-01-09,221,÷ÿ∂»Œ€»æ,171,262,76,3.4,87,29
2015-01-10,227,÷ÿ∂»Œ€»æ,177,258,66,2.8,85,42
2015-01-11,210,÷ÿ∂»Œ€»æ,160,234,54,2.9,80,52
2015-01-12,195,÷–∂»Œ€»æ,147,226,38,2.6,78,35
2015-01-13,105,«·∂»Œ€»æ,79,135,25,1.7,47,36
2015-01-14,133,«·∂»Œ€»æ,101,157,20,1.9,58,38
2015-01-15,106,«·∂»Œ€»æ,80,134,30,1.4,65,42
2015-01-16,140,«·∂»Œ€»æ,107,156,33,1.7,69,61
2015-01-17,142,«·∂»Œ€»æ,109,169,38,1.4,65,76
2015-01-18,154,÷–∂»Œ€»æ,118,189,49,1.7,79,49
2015-01-19,162,÷–∂»Œ€»æ,124,205,54,2,86,58
2015-01-20,107,«·∂»Œ€»æ,81,146,52,1.5,77,64
2015-01-21,133,«·∂»Œ€»æ,101,207,57,2,60,58
2015-01-22,111,«·∂»Œ€»æ,84,141,37,1.4,47,62
2015-01-23,96,¡º,72,129,52,1.5,61,58
2015-01-24,112,«·∂»Œ€»æ,81,174,55,1.5,61,66
2015-01-25,246,÷ÿ∂»Œ€»æ,196,289,30,2.7,66,22
2015-01-26,275,÷ÿ∂»Œ€»æ,225,301,28,3.2,55,9
2015-01-27,141,«·∂»Œ€»æ,108,149,10,2.2,36,23
2015-01-28,42,”≈,27,42,11,1,25,24
2015-01-29,64,¡º,46,63,9,1.3,28,21
