日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,31,优,17,29,33,0.4,18,61
2015-01-01,33,优,16,26,30,0.3,13,66
2015-01-02,36,优,17,31,33,0.5,18,72
2015-01-03,64,良,45,77,46,0.9,30,40
2015-01-04,121,轻度污染,91,144,61,1.3,33,27
2015-01-05,86,良,64,98,44,0.9,24,43
2015-01-06,32,优,15,32,31,0.3,14,55
2015-01-07,34,优,16,26,36,0.3,15,67
2015-01-08,39,优,23,39,39,0.5,21,65
2015-01-09,40,优,25,40,46,0.5,22,58
2015-01-10,35,优,21,35,40,0.5,18,58
2015-01-11,34,优,19,31,40,0.4,17,67
2015-01-12,61,良,44,68,53,0.9,26,56
2015-01-13,55,良,39,57,47,0.6,23,56
2015-01-14,42,优,23,42,35,0.5,21,65
2015-01-15,37,优,22,37,38,0.3,16,71
2015-01-16,35,优,19,35,41,0.4,18,66
2015-01-17,38,优,22,38,33,0.4,18,65
2015-01-18,39,优,20,39,40,0.4,20,66
2015-01-19,45,优,27,45,54,0.6,22,62
2015-01-20,58,良,41,62,46,0.6,21,55
2015-01-21,78,良,58,92,46,0.9,30,43
2015-01-22,119,轻度污染,90,139,47,1.2,37,35
2015-01-23,125,轻度污染,95,140,55,1.3,35,47
2015-01-24,79,良,58,85,44,0.7,26,53
2015-01-25,75,良,55,77,47,0.8,24,55
2015-01-26,65,良,44,80,37,0.6,22,62
2015-01-27,48,优,19,48,33,0.4,21,61
2015-01-28,38,优,22,38,41,0.4,22,62
2015-01-29,82,良,60,95,64,1,34,39
2015-01-30,49,优,29,49,35,0.7,20,62
2015-01-31,55,良,37,59,38,0.8,26,52
2015-02-01,68,良,50,79,37,0.9,27,51
2015-02-02,53,良,34,56,32,0.7,23,53
2015-02-03,53,良,33,56,33,0.6,21,57
2015-02-04,47,优,26,47,26,0.5,21,66
2015-02-05,44,优,28,44,39,0.5,18,67
2015-02-06,58,良,34,67,24,0.5,22,66
2015-02-07,37,优,13,37,18,0.2,12,68
2015-02-08,37,优,17,32,31,0.3,17,73
2015-02-09,34,优,16,27,25,0.3,15,68
2015-02-10,40,优,12,26,20,0.3,12,79
2015-02-11,42,优,13,30,23,0.3,14,83
2015-02-12,38,优,13,26,21,0.3,13,76
2015-02-13,39,优,21,38,30,0.5,19,77
2015-02-14,39,优,18,38,25,0.5,19,78
2015-02-15,52,良,31,54,37,0.6,18,76
2015-02-16,73,良,54,96,36,0.9,30,64
2015-02-17,47,优,24,47,28,0.5,19,78
2015-02-18,42,优,23,40,33,0.4,16,83
2015-02-19,70,良,42,90,63,0.7,23,85
2015-02-20,54,良,36,58,35,0.5,21,94
2015-02-21,53,良,31,56,29,0.5,20,85
2015-02-22,45,优,16,34,31,0.3,30,89
2015-02-23,44,优,13,34,24,0.2,21,87
2015-02-24,41,优,25,38,32,0.5,40,82
