日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,75,良,55,94,35,0.7,43,87
2015-01-01,94,良,70,128,39,0.8,37,81
2015-01-02,97,良,72,144,64,1,49,64
2015-01-03,85,良,63,118,51,0.9,48,78
2015-01-04,54,良,35,59,17,0.9,22,86
2015-01-05,59,良,42,69,16,1.1,33,74
2015-01-06,83,良,61,76,32,1.2,30,40
2015-01-07,79,良,58,76,26,1,26,49
2015-01-08,68,良,50,64,29,1,27,50
2015-01-09,52,良,37,46,20,0.8,27,40
2015-01-10,63,良,46,55,26,0.9,31,41
2015-01-11,53,良,37,46,17,0.8,32,52
2015-01-12,66,良,48,64,32,0.8,34,63
2015-01-13,104,轻度污染,78,109,27,1.1,49,71
2015-01-14,93,良,70,96,26,1.1,47,61
2015-01-15,115,轻度污染,87,121,40,1.3,58,39
2015-01-16,108,轻度污染,81,111,53,1,39,77
2015-01-17,124,轻度污染,94,129,31,0.8,42,66
2015-01-18,93,良,70,88,21,0.8,35,66
2015-01-19,96,良,72,95,33,0.9,50,37
2015-01-20,119,轻度污染,90,134,51,1.2,51,25
2015-01-21,86,良,64,95,23,1,40,67
2015-01-22,80,良,59,96,26,1,36,96
2015-01-23,81,良,60,80,44,0.9,39,107
2015-01-24,58,良,34,48,6,0.6,18,110
2015-01-25,68,良,49,66,24,0.9,38,55
2015-01-26,49,优,34,44,22,1.1,30,15
2015-01-27,39,优,27,35,16,1.2,25,13
2015-01-28,15,优,10,11,7,1.6,24,18
2015-01-29,13,优,9,13,6,0.8,17,19
2015-01-30,41,优,29,38,11,0.7,21,50
2015-01-31,24,优,16,21,18,0.9,23,45
2015-02-01,22,优,14,22,8,1,24,24
2015-02-02,18,优,13,16,7,1,23,14
2015-02-03,23,优,16,23,9,0.9,26,20
2015-02-04,53,良,37,47,16,0.8,25,60
2015-02-05,78,良,57,70,30,0.9,40,78
2015-02-06,77,良,57,78,31,0.9,53,69
2015-02-07,62,良,45,63,31,0.7,37,69
2015-02-08,55,良,39,56,28,0.7,35,91
2015-02-09,76,良,56,74,41,0.8,38,84
2015-02-10,120,轻度污染,91,119,52,1.1,51,63
2015-02-11,98,良,73,99,36,1.1,52,79
2015-02-12,61,良,44,65,26,0.9,39,95
2015-02-13,64,良,46,60,16,1,38,87
2015-02-14,42,优,9,13,8,1,12,84
2015-02-15,40,优,20,30,16,0.9,27,80
2015-02-16,65,良,47,65,19,1.1,31,48
2015-02-17,63,良,45,64,13,0.9,26,59
2015-02-18,49,优,34,48,21,0.8,19,88
2015-02-19,46,优,32,43,19,0.8,12,87
2015-02-20,38,优,17,25,10,0.7,9,76
2015-02-21,32,优,11,20,8,0.8,9,63
2015-02-22,30,优,20,30,8,0.7,11,55
2015-02-23,33,优,16,26,9,0.7,11,66
2015-02-24,35,优,21,35,15,0.8,18,49
2015-02-25,25,优,14,25,14,0.8,15,30
2015-02-26,25,优,13,22,11,0.7,21,49
2015-02-27,18,优,10,18,14,0.7,16,28
2015-02-28,24,优,6,12,6,0.7,15,47
2015-03-01,35,优,24,35,9,0.6,19,62
2015-03-02,48,优,32,48,15,0.7,29,57
2015-03-03,40,优,28,40,26,0.7,28,51
2015-03-04,55,良,28,61,17,0.6,26,57
2015-03-05,27,优,6,12,6,0.6,17,53
2015-03-06,29,优,16,23,8,0.5,19,58
2015-03-07,39,优,26,39,13,0.6,28,51
2015-03-08,34,优,18,28,16,0.7,28,68
2015-03-09,50,优,30,50,19,0.7,29,66
2015-03-10,55,良,38,60,13,0.7,23,81
2015-03-11,20,优,12,19,10,0.9,24,40
2015-03-12,37,优,24,37,15,0.8,31,74
2015-03-13,35,优,18,35,14,1,29,60
2015-03-14,42,优,24,42,14,1,30,45
2015-03-15,37,优,23,37,10,0.9,20,41
2015-03-16,50,优,29,50,15,1,32,54
2015-03-17,58,良,34,60,14,0.9,19,109
2015-03-18,59,良,40,68,12,0.9,19,105
2015-03-19,33,优,17,33,8,1.1,16,49
2015-03-20,30,优,7,15,8,0.8,17,59
2015-03-21,44,优,19,35,11,0.7,28,87
2015-03-22,50,优,32,50,13,0.8,27,62
2015-03-23,39,优,27,38,9,0.8,30,69
2015-03-24,55,良,39,58,10,0.8,24,85
2015-03-25,72,良,53,64,13,0.9,40,60
2015-03-26,46,优,29,46,16,0.9,28,42
2015-03-27,38,优,21,31,6,0.7,19,30
2015-03-28,54,良,38,49,13,0.8,25,27
2015-03-29,61,良,43,61,13,1.1,36,26
2015-03-30,50,优,33,51,13,0.8,18,81
2015-03-31,47,优,26,35,5,0.5,5,94
2015-04-01,63,良,35,49,6,0.6,6,115
2015-04-02,83,良,39,50,8,0.6,7,139
2015-04-03,88,良,39,55,10,0.6,15,145
2015-04-04,96,良,51,69,14,0.8,16,155
2015-04-05,51,良,31,42,8,0.9,12,101
2015-04-06,36,优,11,15,6,1,18,72
