日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,54,良,28,56,132,0.9,44,105
2015-01-01,56,良,33,61,99,0.9,28,102
2015-01-02,56,良,32,62,81,1,35,97
2015-01-03,82,良,26,47,45,0.8,18,138
2015-01-04,73,良,19,35,16,0.8,13,128
2015-01-05,39,优,18,28,15,0.8,17,78
2015-01-06,30,优,18,30,23,1,17,50
2015-01-07,51,良,34,53,27,1.1,18,59
2015-01-08,36,优,23,36,29,0.9,18,65
2015-01-09,29,优,15,25,19,0.7,14,58
2015-01-10,33,优,22,33,29,0.7,17,56
2015-01-11,27,优,16,27,19,0.6,19,54
2015-01-12,38,优,18,30,55,0.5,13,75
2015-01-13,53,良,27,45,30,0.7,23,104
2015-01-14,55,良,38,60,43,0.7,30,101
2015-01-15,61,良,44,70,74,1.1,47,70
2015-01-16,63,良,46,69,84,0.7,31,96
2015-01-17,54,良,38,57,43,0.7,23,89
2015-01-18,54,良,38,55,29,0.6,16,73
2015-01-19,53,良,36,56,39,0.7,19,71
2015-01-20,54,良,38,58,28,0.8,24,42
2015-01-21,50,优,30,50,45,0.9,30,96
2015-01-22,67,良,30,47,27,0.7,24,120
2015-01-23,69,良,38,56,17,0.7,12,123
2015-01-24,71,良,27,42,8,0.6,9,125
2015-01-25,56,良,29,62,17,0.8,27,81
2015-01-26,46,优,29,46,24,1.1,22,23
2015-01-27,29,优,18,29,19,1,16,15
2015-01-28,15,优,4,8,14,1.5,18,23
2015-01-29,10,优,5,9,10,0.8,15,20
2015-01-30,35,优,13,19,16,0.6,12,69
2015-01-31,31,优,11,17,24,0.8,13,61
2015-02-01,24,优,8,14,21,0.8,15,48
2015-02-02,17,优,10,17,22,1,21,21
2015-02-03,22,优,7,12,14,0.8,13,43
2015-02-04,38,优,17,27,19,0.8,14,76
2015-02-05,53,良,33,45,33,0.8,16,104
2015-02-06,67,良,35,52,52,0.7,16,120
2015-02-07,57,良,34,50,47,0.7,18,108
2015-02-08,67,良,25,38,26,0.6,13,120
2015-02-09,63,良,30,45,30,0.6,15,116
2015-02-10,71,良,52,73,31,0.9,22,102
2015-02-11,62,良,44,68,41,1,26,114
2015-02-12,77,良,30,13,22,1.2,35,132
2015-02-13,81,良,60,15,12,1.3,20,120
2015-02-14,47,优,5,11,2,1.3,13,93
2015-02-15,47,优,6,14,6,0.9,14,94
2015-02-16,57,良,41,60,23,1.2,20,91
2015-02-17,31,优,18,30,6,1.1,15,61
2015-02-18,49,优,13,24,5,1,13,97
2015-02-19,44,优,17,28,4,0.7,11,87
2015-02-20,46,优,9,15,3,0.6,12,91
2015-02-21,45,优,7,15,3,0.8,11,90
2015-02-22,24,优,7,12,6,0.8,11,48
2015-02-23,31,优,8,15,8,1,14,61
2015-02-24,20,优,7,14,12,1.2,19,40
2015-02-25,23,优,13,20,34,0.9,16,46
2015-02-26,29,优,6,9,8,0.7,14,58
2015-02-27,22,优,6,12,18,1.1,15,44
2015-02-28,27,优,3,5,32,0.9,12,53
2015-03-01,43,优,14,17,77,0.9,16,86
2015-03-02,39,优,11,15,44,1,19,78
2015-03-03,36,优,16,25,82,0.9,18,72
2015-03-04,37,优,14,23,58,0.8,18,74
2015-03-05,30,优,5,8,89,1,16,59
2015-03-06,33,优,7,11,96,1.1,15,65
2015-03-07,30,优,10,15,65,0.9,17,59
2015-03-08,50,优,13,19,85,1,20,100
2015-03-09,41,优,21,30,109,1.2,29,81
2015-03-10,46,优,21,31,78,1,19,92
2015-03-11,30,优,13,20,90,1.3,20,59
2015-03-12,59,良,13,22,32,1,19,111
2015-03-13,49,优,11,16,32,0.9,16,97
2015-03-14,30,优,13,20,60,1.1,22,59
2015-03-15,28,优,13,22,83,1.2,22,44
2015-03-16,36,优,15,21,59,1,18,71
2015-03-17,73,良,21,32,30,0.9,15,127
2015-03-18,61,良,29,41,65,0.9,18,113
2015-03-19,41,优,22,32,117,1.1,22,82
2015-03-20,31,优,9,13,84,1,17,62
2015-03-21,53,良,9,15,44,0.8,18,103
2015-03-22,37,优,21,32,87,0.9,40,73
2015-03-23,39,优,12,19,71,0.8,18,77
2015-03-24,43,优,20,31,130,1,22,86
2015-03-25,33,优,14,22,23,0.9,15,66
2015-03-26,30,优,6,10,53,0.8,9,59
2015-03-27,24,优,9,15,52,0.9,12,41
2015-03-28,24,优,11,20,71,0.8,26,15
2015-03-29,26,优,15,26,49,0.9,18,50
2015-03-30,46,优,12,28,36,0.7,14,92
2015-03-31,50,优,4,20,4,0.3,4,99
2015-04-01,73,良,6,34,3,0.3,5,127
2015-04-02,93,良,14,36,5,0.4,7,152
2015-04-03,100,良,14,36,7,0.4,8,160
2015-04-04,96,良,14,35,5,0.4,6,155
2015-04-05,93,良,18,44,21,0.6,9,151
2015-04-06,37,优,8,20,59,0.9,15,73
2015-04-07,40,优,3,12,55,0.9,11,79
2015-04-08,53,良,6,16,44,0.6,10,104
2015-04-09,44,优,13,27,99,0.5,14,87
2015-04-10,61,良,9,26,63,0.4,15,113
2015-04-11,46,优,17,37,110,0.5,19,92
2015-04-12,89,良,8,41,85,0.5,29,147
2015-04-13,93,良,22,80,94,0.5,34,152
2015-04-14,105,轻度污染,19,26,59,0.4,13,165
2015-04-15,110,轻度污染,14,23,31,0.4,16,171
2015-04-16,64,良,18,29,23,0.4,13,117
2015-04-17,56,良,15,27,8,0.4,7,107
2015-04-18,36,优,16,36,3,0.5,5,55
2015-04-19,40,优,14,40,73,0.6,15,64
2015-04-20,29,优,7,20,57,0.5,15,58
2015-04-21,37,优,14,37,80,0.5,18,67
2015-04-22,41,优,17,41,121,0.5,28,47
2015-04-23,33,优,14,33,57,0.4,14,46
2015-04-24,34,优,14,34,80,0.3,16,47
2015-04-25,38,优,14,35,49,0.4,25,75
2015-04-26,44,优,18,44,79,0.4,35,45
2015-04-27,51,良,20,51,41,0.4,18,30
2015-04-28,40,优,16,40,31,0.5,19,48
2015-04-29,45,优,17,45,27,0.4,21,44
2015-04-30,24,优,6,18,8,0.3,7,48
2015-05-01,35,优,5,22,16,0.4,7,69
2015-05-02,43,优,4,20,40,0.3,18,86
2015-05-03,34,优,13,34,70,0.5,26,56
2015-05-04,25,优,4,15,74,0.5,12,43
2015-05-05,25,优,8,22,56,0.4,14,49
2015-05-06,36,优,12,30,42,0.4,13,71
2015-05-07,36,优,14,36,40,0.6,25,52
2015-05-08,51,良,7,52,56,0.8,14,66
2015-05-09,28,优,12,23,43,1.1,25,55
2015-05-10,33,优,7,15,7,1,8,65
2015-05-11,28,优,5,12,35,1,11,56
2015-05-12,36,优,6,11,17,1,8,71
2015-05-13,33,优,7,14,11,1.1,8,65
2015-05-14,31,优,7,15,8,1,4,62
2015-05-15,27,优,9,15,30,1.1,8,54
2015-05-16,37,优,14,26,48,1.2,10,73
2015-05-17,23,优,13,23,12,1.1,7,46
2015-05-18,37,优,6,15,39,1.2,12,74
2015-05-19,29,优,9,17,20,1.2,19,58
2015-05-20,22,优,6,14,56,1.2,13,44
2015-05-21,29,优,19,29,44,1.3,19,47
2015-05-22,30,优,10,20,53,1.5,16,60
2015-05-23,29,优,5,10,63,1.2,10,57
2015-05-24,30,优,9,18,45,1.6,17,59
2015-05-25,26,优,10,18,21,1.2,18,52
2015-05-26,29,优,8,20,29,1.5,12,58
2015-05-27,20,优,9,19,52,1,10,39
2015-05-28,29,优,12,24,16,0.7,13,57
2015-05-29,30,优,7,18,23,0.5,9,60
2015-05-30,26,优,4,11,35,0.6,8,51
2015-05-31,19,优,5,14,46,0.7,9,38
2015-06-01,29,优,4,12,4,0.4,4,58
2015-06-02,28,优,4,12,2,0.2,5,56
2015-06-03,26,优,3,14,4,0.4,13,51
2015-06-04,18,优,8,18,51,0.7,13,32
2015-06-05,30,优,2,10,57,0.7,15,59
2015-06-06,22,优,7,16,20,0.6,19,43
2015-06-07,23,优,4,13,35,0.5,12,46
2015-06-08,21,优,6,12,51,0.6,8,42
2015-06-09,25,优,4,11,23,0.4,6,50
2015-06-10,18,优,3,10,25,0.5,9,36
2015-06-11,30,优,7,14,37,0.5,11,60
2015-06-12,27,优,2,8,12,0.5,9,54
2015-06-13,25,优,3,8,11,0.3,8,49
2015-06-14,52,良,37,16,34,0.5,11,66
2015-06-15,21,优,0,5,9,0.5,5,42
2015-06-16,23,优,3,9,2,0.2,3,46
2015-06-17,24,优,9,16,2,0.4,4,48
2015-06-18,20,优,6,12,6,0.5,6,40
2015-06-19,29,优,13,22,27,0.7,9,58
2015-06-20,27,优,9,23,14,0.7,9,53
2015-06-21,31,优,7,18,7,0.5,7,62
2015-06-22,35,优,15,35,43,0.5,11,62
2015-06-23,45,优,14,45,10,0.4,9,62
2015-06-24,32,优,9,28,11,0.4,9,63
2015-06-25,24,优,7,23,4,0.2,6,48
2015-06-26,26,优,7,19,3,0.3,3,51
2015-06-27,37,优,14,37,5,0.3,4,66
2015-06-28,51,良,15,52,4,0.3,4,75
2015-06-29,59,良,19,68,5,0.3,5,76
2015-06-30,47,优,21,47,6,0.5,5,89
2015-07-01,38,优,17,37,18,0.7,10,76
2015-07-02,52,良,30,54,17,0.9,15,76
2015-07-03,34,优,22,34,24,0.9,11,63
2015-07-04,47,优,22,34,43,0.7,11,93
2015-07-05,42,优,22,37,52,0.6,16,83
2015-07-06,53,良,25,45,42,0.7,17,103
2015-07-07,76,良,37,62,23,0.3,19,131
