日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,100,良,75,112,49,0.6,26,75
2015-01-01,75,良,55,78,27,0.5,23,78
2015-01-02,60,良,42,69,19,0.6,27,85
2015-01-03,69,良,47,88,19,0.6,17,102
2015-01-04,83,良,62,100,16,0.8,28,70
2015-01-05,73,良,53,75,14,0.8,25,47
2015-01-06,66,良,48,74,18,0.9,22,34
2015-01-07,61,良,43,72,22,0.8,17,44
2015-01-08,74,良,54,78,18,0.9,21,41
2015-01-09,29,优,21,8,9,1.1,19,35
2015-01-10,65,良,47,39,15,1.1,18,37
2015-01-11,53,良,38,34,26,1.1,20,37
2015-01-12,65,良,47,55,19,1.1,24,42
2015-01-13,48,优,33,48,18,1.1,21,56
2015-01-14,85,良,63,88,48,1.1,24,55
2015-01-15,50,优,35,45,12,1,13,60
2015-01-16,73,良,53,77,14,1.1,20,50
2015-01-17,82,良,60,76,13,1.2,17,51
2015-01-18,47,优,33,21,14,1.4,18,42
2015-01-19,35,优,25,32,14,1.5,15,35
2015-01-20,33,优,23,33,12,1.5,15,37
2015-01-21,73,良,54,90,17,1.7,26,39
2015-01-22,66,良,48,82,12,1.7,21,52
2015-01-23,89,良,66,63,9,1.5,19,46
2015-01-24,48,优,34,28,8,1.4,14,76
2015-01-25,73,良,52,97,16,1.8,30,67
2015-01-26,53,良,35,55,12,1.6,15,67
2015-01-27,40,优,24,40,12,1.5,9,71
2015-01-28,49,优,25,49,11,1.6,14,74
2015-01-29,56,良,25,61,10,1.9,22,64
2015-01-30,39,优,22,39,9,2.4,16,40
2015-01-31,21,优,6,5,7,2.1,9,36
2015-02-01,21,优,6,4,10,2.1,8,29
2015-02-02,30,优,14,30,19,2,16,22
2015-02-03,17,优,6,15,15,1.7,15,23
2015-02-04,28,优,11,28,20,1.9,24,16
2015-02-05,34,优,12,34,18,1.9,25,27
2015-02-06,53,良,29,56,19,1.9,14,34
2015-02-07,59,良,39,68,15,2,32,26
2015-02-08,54,良,32,57,24,2,25,27
2015-02-09,57,良,37,64,17,2,23,37
2015-02-10,34,优,18,34,14,2.1,26,37
2015-02-11,57,良,35,63,26,2.2,29,33
2015-02-12,94,良,63,138,16,2.4,31,30
2015-02-13,63,良,40,76,15,2.1,27,29
2015-02-14,28,优,16,28,12,2,14,38
2015-02-15,44,优,18,44,12,2.1,26,34
2015-02-16,57,良,26,64,15,2.1,31,27
2015-02-17,59,良,32,69,17,2.1,21,28
2015-02-18,54,良,32,59,25,2,12,32
2015-02-19,57,良,35,64,21,1.9,5,38
2015-02-20,41,优,12,41,20,1.9,9,34
2015-02-21,24,优,5,24,22,1.8,9,28
2015-02-22,41,优,7,32,24,2.1,15,82
2015-02-23,46,优,15,46,30,2.6,25,82
2015-02-24,52,良,17,54,29,2.4,27,74
2015-02-25,47,优,14,47,29,2.4,23,81
2015-02-26,52,良,23,54,26,1.8,19,80
2015-02-27,45,优,12,45,20,0.5,10,88
2015-02-28,51,良,19,51,22,0.6,21,86
2015-03-01,34,优,12,34,21,0.6,14,56
2015-03-02,53,良,24,56,20,0.7,23,93
2015-03-03,44,优,22,44,21,0.6,20,87
2015-03-04,43,优,18,43,23,0.7,14,71
2015-03-05,43,优,23,43,18,0.7,15,66
2015-03-06,24,优,8,24,18,0.6,16,42
