日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,54,良,29,58,27,1,28,82
2015-01-01,64,良,42,79,44,1.2,32,97
2015-01-02,69,良,46,87,44,1.3,35,81
2015-01-03,79,良,53,109,36,1.5,42,71
2015-01-04,74,良,42,98,33,1.7,40,63
2015-01-05,86,良,58,123,39,2.1,46,33
2015-01-06,72,良,49,94,27,1.8,33,49
2015-01-07,44,优,31,42,14,1.9,18,42
2015-01-08,43,优,26,43,19,1.6,19,85
2015-01-09,62,良,40,73,35,1.3,32,70
2015-01-10,70,良,50,89,38,1.2,35,65
2015-01-11,70,良,51,80,28,1.2,29,62
2015-01-12,48,优,34,48,18,1,19,73
2015-01-13,36,优,10,11,9,1.1,15,71
2015-01-14,34,优,11,17,9,1.1,13,67
2015-01-15,50,优,29,50,18,1.3,23,58
2015-01-16,62,良,44,71,27,1.4,27,48
2015-01-17,58,良,41,62,28,1.3,25,82
2015-01-18,68,良,49,69,22,1.3,20,83
2015-01-19,71,良,51,92,28,1.5,32,88
2015-01-20,83,良,61,117,23,1.5,45,87
2015-01-21,77,良,57,100,24,1.1,46,88
2015-01-22,75,良,48,99,23,0.9,42,84
2015-01-23,78,良,54,107,23,1,50,83
2015-01-24,85,良,63,110,24,1.1,56,67
2015-01-25,93,良,70,67,13,1.1,48,23
2015-01-26,63,良,46,46,13,1,32,47
2015-01-27,54,良,38,57,9,1.1,29,51
2015-01-28,56,良,40,51,12,1.1,34,39
2015-01-29,53,良,31,57,16,1.1,30,71
2015-01-30,40,优,22,40,17,1.1,25,44
2015-01-31,44,优,30,44,19,1.2,27,23
2015-02-01,36,优,25,35,12,1.1,25,22
2015-02-02,52,良,32,53,15,1.1,29,29
2015-02-03,60,良,42,69,33,1.2,27,52
2015-02-04,39,优,28,36,14,1.3,21,36
2015-02-05,37,优,26,35,9,1.2,17,36
2015-02-06,60,良,43,68,21,1.2,30,81
2015-02-07,91,良,68,99,35,1.5,47,48
2015-02-08,66,良,48,70,17,1.1,23,105
2015-02-09,93,良,69,100,18,1.1,34,102
2015-02-10,91,良,68,109,28,1,40,100
2015-02-11,92,良,69,106,23,1,39,99
2015-02-12,72,良,53,87,14,1,37,83
2015-02-13,60,良,34,70,14,0.8,37,97
2015-02-14,70,良,49,89,21,1,42,95
2015-02-15,83,良,61,72,17,1.3,48,58
2015-02-16,50,优,35,36,8,1.1,28,65
2015-02-17,49,优,34,43,5,1.1,20,76
2015-02-18,70,良,51,58,12,1.2,19,66
2015-02-19,104,轻度污染,78,93,26,1.2,19,58
2015-02-20,59,良,42,67,7,1,19,68
2015-02-21,30,优,18,25,5,0.9,13,60
2015-02-22,29,优,12,17,13,0.8,14,57
2015-02-23,26,优,18,25,5,1,16,45
2015-02-24,25,优,15,23,5,1.1,14,49
2015-02-25,26,优,12,19,3,1,11,51
2015-02-26,40,优,23,31,5,1,11,79
2015-02-27,36,优,11,16,4,0.9,16,72
2015-02-28,34,优,14,22,4,0.9,13,68
2015-03-01,30,优,7,13,9,1,11,59
2015-03-02,38,优,27,37,16,1.2,24,39
2015-03-03,47,优,33,41,7,1.4,27,23
2015-03-04,13,优,7,10,6,1.2,19,26
2015-03-05,35,优,24,32,15,1.2,22,29
2015-03-06,19,优,13,18,10,1.3,20,25
2015-03-07,25,优,15,25,12,1.4,20,22
2015-03-08,37,优,26,37,8,1.3,21,57
2015-03-09,44,优,25,38,8,1.3,16,88
2015-03-10,42,优,21,25,9,1.1,15,84
2015-03-11,26,优,9,15,11,1,20,52
2015-03-12,29,优,9,20,15,0.8,17,57
2015-03-13,37,优,19,32,15,0.8,19,73
2015-03-14,42,优,29,42,9,0.9,19,71
2015-03-15,63,良,45,61,11,1,25,73
2015-03-16,52,良,33,55,11,1.2,22,50
2015-03-17,49,优,31,49,10,0.9,15,80
2015-03-18,47,优,30,47,9,0.8,16,70
2015-03-19,57,良,40,63,11,0.9,17,107
2015-03-20,75,良,55,83,16,1.1,22,90
2015-03-21,62,良,44,67,14,1.1,18,96
2015-03-22,59,良,43,55,21,1.2,19,72
2015-03-23,51,良,36,47,14,0.8,15,80
2015-03-24,35,优,19,34,7,0.6,10,70
2015-03-25,37,优,14,35,13,0.6,12,74
2015-03-26,29,优,20,27,9,0.7,16,58
2015-03-27,37,优,22,22,8,0.9,20,73
2015-03-28,43,优,19,38,13,1.1,16,85
2015-03-29,62,良,45,65,13,1.1,20,110
2015-03-30,68,良,43,67,14,1.2,24,121
2015-03-31,53,良,29,56,12,1.2,20,46
2015-04-01,55,良,32,60,15,1.1,22,76
2015-04-02,42,优,24,42,8,0.7,15,65
2015-04-03,39,优,23,38,6,0.6,12,78
2015-04-04,47,优,26,47,9,0.6,18,77
2015-04-05,58,良,42,62,10,0.7,25,102
2015-04-06,64,良,46,64,10,0.8,23,80
2015-04-07,34,优,18,34,8,0.7,18,55
2015-04-08,18,优,12,16,7,0.9,13,32
2015-04-09,22,优,16,21,14,1,19,27
2015-04-10,18,优,12,18,10,1,16,25
2015-04-11,22,优,15,21,6,0.9,14,22
2015-04-12,38,优,23,38,15,0.9,19,62
2015-04-13,62,良,33,75,12,0.7,20,110
2015-04-14,67,良,32,69,16,0.7,30,120
2015-04-15,84,良,38,72,18,0.8,36,141
2015-04-16,110,轻度污染,45,85,23,0.9,37,171
2015-04-17,112,轻度污染,59,97,22,0.9,41,173
2015-04-18,73,良,33,58,14,0.7,26,128
2015-04-19,53,良,32,55,7,0.9,20,66
2015-04-20,38,优,27,30,6,1,19,72
2015-04-21,25,优,17,22,7,1.1,15,50
2015-04-22,46,优,22,36,11,1,21,92
2015-04-23,61,良,43,73,29,1,33,99
2015-04-24,72,良,38,64,17,1.2,31,126
2015-04-25,68,良,49,71,26,1.2,32,115
2015-04-26,75,良,55,84,25,1.1,32,104
2015-04-27,68,良,45,77,13,1.2,35,121
2015-04-28,58,良,37,59,11,1.1,20,109
2015-04-29,60,良,21,42,12,1,25,112
2015-04-30,68,良,37,66,16,1.1,31,121
2015-05-01,44,优,30,44,7,1.2,23,76
2015-05-02,35,优,21,35,7,1.1,12,49
2015-05-03,46,优,20,38,7,1.1,19,91
2015-05-04,50,优,29,50,9,1.4,24,54
2015-05-05,41,优,15,23,5,1.2,21,82
2015-05-06,29,优,16,29,6,1.2,33,46
2015-05-07,47,优,25,47,7,1.1,17,93
2015-05-08,30,优,17,30,7,1,22,59
2015-05-09,30,优,19,30,6,1,26,31
2015-05-10,37,优,22,37,7,0.9,21,61
2015-05-11,38,优,22,38,7,0.8,15,59
2015-05-12,66,良,10,32,8,0.6,19,119
2015-05-13,59,良,31,64,12,0.9,36,111
2015-05-14,56,良,40,58,13,1,29,68
2015-05-15,40,优,20,40,12,1,20,67
2015-05-16,31,优,16,30,10,0.9,17,62
2015-05-17,31,优,15,30,11,1.1,23,61
2015-05-18,21,优,11,21,7,1.1,23,39
2015-05-19,24,优,12,24,8,1.1,17,45
2015-05-20,23,优,12,20,7,1.1,22,46
2015-05-21,48,优,11,15,5,0.5,10,96
2015-05-22,43,优,13,23,7,0.6,18,85
2015-05-23,23,优,14,22,6,1,31,45
2015-05-24,25,优,11,18,6,1.1,30,50
2015-05-25,35,优,24,22,8,1,27,49
2015-05-26,25,优,14,18,6,1,25,50
2015-05-27,24,优,12,24,7,1,22,44
2015-05-28,29,优,13,29,5,0.8,18,55
2015-05-29,35,优,15,35,5,0.9,19,65
2015-05-30,33,优,17,32,4,0.8,16,65
2015-05-31,38,优,13,22,5,0.8,17,75
2015-06-01,29,优,11,22,5,0.8,19,57
2015-06-02,26,优,12,26,6,0.8,16,45
2015-06-03,30,优,12,30,6,0.7,17,60
2015-06-04,43,优,20,43,10,0.7,22,86
2015-06-05,33,优,19,33,8,0.8,21,57
2015-06-06,35,优,16,30,8,0.9,21,69
2015-06-07,30,优,15,30,7,0.7,16,60
2015-06-08,34,优,13,23,7,0.6,10,67
2015-06-09,33,优,13,27,7,0.6,12,66
2015-06-10,39,优,12,25,6,0.7,17,78
2015-06-11,40,优,12,27,6,0.7,15,79
2015-06-12,45,优,12,25,7,0.7,13,90
2015-06-13,39,优,12,25,8,0.7,15,77
2015-06-14,31,优,14,31,9,0.7,15,51
2015-06-15,31,优,13,31,9,0.7,14,59
2015-06-16,34,优,15,34,11,0.7,17,66
2015-06-17,43,优,18,40,12,0.8,20,85
2015-06-18,41,优,18,40,9,0.7,21,81
2015-06-19,54,良,23,45,12,0.7,19,105
2015-06-20,63,良,22,36,11,0.7,15,115
2015-06-21,52,良,14,23,7,0.6,11,102
2015-06-22,26,优,10,23,7,0.6,15,52
2015-06-23,26,优,11,24,6,0.7,16,51
2015-06-24,27,优,13,27,6,0.7,15,47
2015-06-25,24,优,12,24,7,0.7,11,46
2015-06-26,26,优,10,26,5,0.7,10,47
2015-06-27,30,优,13,30,5,0.7,11,58
2015-06-28,34,优,14,32,6,0.7,12,67
2015-06-29,37,优,17,37,7,0.8,16,64
2015-06-30,43,优,19,41,8,0.8,16,86
2015-07-01,44,优,20,41,6,0.8,12,87
2015-07-02,39,优,19,39,6,0.7,17,74
2015-07-03,44,优,19,44,5,0.9,24,53
2015-07-04,51,良,28,53,6,0.7,17,72
2015-07-05,37,优,21,35,5,0.7,16,73
